date,FL892090005.Q,FL152010005.Q,LM155035005.Q,FL165015205.Q,FL165013765.Q,FL155111005.Q,FL112010005.Q,LM115035005.Q,FL115015205.Q,FL115013765.Q,FL115020005.Q,FL662090205.Q,LM883164105.Q,LM103164103.Q,LM793164105.Q,FL312010095.Q,FL315014665.Q,FL315013265.Q,FL315013765.Q,FL212010095.Q,FL215014665.Q,FL215013265.Q,FL215013765.Q,FL882090265.Q,FL264194005.Q,LM263164103.Q,FL264190005.Q,FL264090005.Q,LM263064105.Q,FL264090035.Q,FL892090005.Q,FC892090005.Q,PC892090005.Q,FL152090005.Q,FC152090005.Q,PC152090005.Q
1945:Q4,722358.42,189327.00,134635.00,436.00,257.00,53999.00,188688.42,151675.65,10964.00,1942.00,24106.77,0.00,151910.00,103694.00,48216.00,121820.00,44090.00,73721.00,4009.00,69459.00,68195.00,995.00,269.00,1154.00,14670.00,942.00,13728.00,13516.00,2700.00,10816.00,722358.42,ND,ND,802371.93,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,802913.00,220716.00,158074.00,590.00,292.00,61760.00,227820.00,179671.00,13075.00,2162.00,32912.00,0.00,145655.00,97302.00,48353.00,125866.00,52804.00,68348.00,4714.00,77807.00,76397.00,1100.00,310.00,5049.00,17246.00,1001.00,16245.00,12197.00,2690.00,9507.00,802913.00,80554.00,11.15,880340.00,77968.00,9.72
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,917542.00,280815.00,206381.00,768.00,310.00,73356.00,262959.00,206256.00,17091.00,2507.00,37106.00,0.00,143857.00,95116.00,48741.00,124862.00,60489.00,59149.00,5224.00,93276.00,91510.00,1450.00,316.00,11773.00,24007.00,972.00,23035.00,12234.00,2480.00,9754.00,917542.00,114630.00,14.28,978160.00,97820.00,11.11
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,970601.00,313687.00,229359.00,944.00,310.00,83074.00,281245.00,218473.00,21749.00,2667.00,38356.00,0.00,143064.00,94141.00,48923.00,117151.00,62245.00,49069.00,5837.00,101525.00,99427.00,1787.00,311.00,13929.00,26898.00,944.00,25954.00,12969.00,2305.00,10664.00,970601.00,53059.00,5.78,1030033.00,51874.00,5.30
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,997377.00,340071.00,246931.00,1043.00,315.00,91782.00,284459.00,223629.00,23749.00,2777.00,34305.00,0.00,153076.00,103822.00,49254.00,108447.00,60787.00,41212.00,6448.00,96913.00,94767.00,1832.00,314.00,14411.00,28170.00,708.00,27462.00,13759.00,2490.00,11269.00,997377.00,26776.00,2.76,1070986.00,40953.00,3.98
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1097731.00,387298.00,278126.00,1346.00,345.00,107481.00,304100.00,236563.00,28421.00,3009.00,36106.00,0.00,176353.00,126681.00,49672.00,107462.00,63227.00,36843.00,7392.00,109248.00,106651.00,2257.00,340.00,13270.00,29906.00,1175.00,28731.00,16636.00,2925.00,13711.00,1097731.00,100353.00,10.06,1162447.00,91461.00,8.54
