date,FL152000005.Q,FL152010005.Q,LM155035005.Q,LM155035015.Q,LM165035005.Q,FL165015205.Q,FL165013765.Q,FL155111005.Q,FL154090005.Q,FL153091003.Q,FL153020005.Q,FL153030005.Q,FL153034005.Q,FL154022005.Q,FL163069103.Q,FL153061105.Q,FL153061705.Q,FL153062005.Q,FL153063005.Q,FL154023005.Q,FL153069005.Q,FL153065005.Q,FL163066223.Q,LM153064105.Q,LM153064205.Q,FL153040005.Q,FL153050005.Q,FL152090205.Q,FL153090005.Q,FL154190005.Q,FL163162003.Q,FL154123005.Q,FL153165105.Q,FL153166000.Q,FL153168005.Q,FL153169005.Q,FL163165505.Q,FL163170003.Q,FL543077073.Q,FL152090005.Q,FL893131573.Q,FL154023205.Q,LM154023223.Q,FL154023213.Q,FL155012605.Q,FL155012665.Q,FL165012665.Q,FL165013665.Q,FA156012005.Q,FL152090006.Q,FL155035065.Q,FL155035066.Q
1945:Q4,832955.93,189327.00,134635.00,116049.00,18586.00,436.00,257.00,53999.00,643628.93,0.00,55366.00,50230.00,0.00,78843.00,0.00,66517.00,61.00,3869.00,8396.00,12883.00,694.00,12189.00,0.00,144855.00,1245.00,39560.00,57011.00,197384.93,6251.00,30584.00,0.00,29442.00,18706.00,6800.00,290.00,3330.00,316.00,504.00,638.00,802371.93,ND,ND,ND,ND,107863.00,102928.00,4935.00,9751.00,ND,ND,97343.00,83.88
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,917781.00,220716.00,158074.00,133422.00,24652.00,590.00,292.00,61760.00,697065.00,0.00,60564.00,56568.00,0.00,76574.00,85.00,65127.00,93.00,3817.00,7452.00,14444.00,733.00,13711.00,0.00,138515.00,1298.00,43360.00,64505.00,234183.00,7054.00,37441.00,0.00,36067.00,23100.00,9777.00,174.00,2602.00,414.00,671.00,703.00,880340.00,ND,ND,ND,ND,134926.00,128991.00,5935.00,13307.00,165458.00,532.06,110322.00,82.69
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1024628.00,280815.00,206381.00,177473.00,28908.00,768.00,310.00,73356.00,743813.00,0.00,60444.00,60047.00,0.00,76418.00,103.00,65065.00,148.00,4458.00,6644.00,15730.00,660.00,15070.00,0.00,136405.00,1413.00,46510.00,71873.00,267381.00,7592.00,46468.00,0.00,44913.00,28267.00,13298.00,156.00,2686.00,506.00,771.00,784.00,978160.00,ND,ND,ND,ND,161750.00,155001.00,6749.00,16162.00,174826.00,559.50,149206.00,84.07
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
