date,FL152000005.Q,FL152010005.Q,FL154090005.Q,FL154000025.Q,FL154022005.Q,FL154023005.Q,LM153064475.Q,LM153064105.Q,LM153064175.Q,LM543064153.Q,LM573064175.Q,LM343064123.Q,LM223064213.Q,LM653064155.Q,FL153099475.Q,FL154190005.Q,FL152090005.Q,FL153064476.Q,FL153064486.Q
1945:Q4,832955.93,189327.00,643628.93,105596.00,78843.00,12883.00,145888.00,144855.00,1033.00,0.00,0.00,0.00,0.00,1033.00,300418.93,30584.00,802371.93,17.51,22.67
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,917781.00,220716.00,697065.00,117132.00,76574.00,14444.00,139559.00,138515.00,1044.00,0.00,0.00,0.00,0.00,1044.00,349356.00,37441.00,880340.00,15.21,20.02
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1024628.00,280815.00,743813.00,120491.00,76418.00,15730.00,137558.00,136405.00,1153.00,0.00,0.00,0.00,0.00,1153.00,393616.00,46468.00,978160.00,13.43,18.49
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1085142.00,313687.00,771455.00,120331.00,77463.00,16922.00,136712.00,135486.00,1226.00,0.00,0.00,0.00,0.00,1226.00,420027.00,55109.00,1030033.00,12.60,17.72
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1134395.00,340071.00,794324.00,121167.00,77594.00,17695.00,145165.00,142455.00,2710.00,0.00,0.00,0.00,0.00,2710.00,432703.00,63409.00,1070986.00,12.80,18.28
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1239348.00,387298.00,852050.00,126111.00,78538.00,18660.00,167593.00,164696.00,2897.00,0.00,0.00,0.00,0.00,2897.00,461148.00,76901.00,1162447.00,13.52,19.67
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1356850.00,430936.00,925914.00,135524.00,78323.00,19516.00,187921.00,184698.00,3223.00,0.00,275.00,0.00,0.00,2948.00,504630.00,85567.00,1271283.00,13.85,20.30
1952:Q1,1375547.00,437119.00,938428.00,135920.00,80979.00,19400.00,189706.00,186383.00,3323.00,0.00,289.00,0.00,0.00,3034.00,512423.00,86307.00,1289240.00,13.79,20.22
1952:Q2,1401592.00,448851.00,952741.00,136445.00,82987.00,19608.00,195988.00,192556.00,3432.00,0.00,312.00,0.00,0.00,3120.00,517713.00,90493.00,1311099.00,13.98,20.57
1952:Q3,1417841.00,453492.00,964349.00,140790.00,84828.00,19803.00,195646.00,192065.00,3581.00,0.00,320.00,0.00,0.00,3261.00,523282.00,93522.00,1324319.00,13.80,20.29
1952:Q4,1425965.00,464001.00,961964.00,145156.00,85382.00,20003.00,184802.00,181107.00,3695.00,0.00,369.00,0.00,0.00,3326.00,526621.00,97960.00,1328005.00,12.96,19.21
1953:Q1,1438457.00,472953.00,965504.00,147804.00,85999.00,20356.00,181495.00,177857.00,3638.00,0.00,383.00,0.00,0.00,3255.00,529850.00,100274.00,1338183.00,12.62,18.80
1953:Q2,1444832.00,481977.00,962855.00,147207.00,89516.00,20525.00,172187.00,168582.00,3605.00,0.00,408.00,0.00,0.00,3197.00,533420.00,104767.00,1340065.00,11.92,17.88
1953:Q3,1461883.00,493038.00,968845.00,151424.00,90016.00,20683.00,167452.00,163848.00,3604.00,0.00,434.00,0.00,0.00,3170.00,539270.00,107296.00,1354587.00,11.45,17.28
