date,FL102000005.Q,FL102010005.Q,LM105035005.Q,FL105015205.Q,FL105013765.Q,FL105020015.Q,FL104090005.Q,FL103091003.Q,FL103020005.Q,FL103030003.Q,FL103034003.Q,FL102051003.Q,FL104022005.Q,FL103069100.Q,FL103061103.Q,FL103061703.Q,FL103062003.Q,FL104023005.Q,FL103065003.Q,FL103066005.Q,LM103064203.Q,FL103070005.Q,FL103092005.Q,FL103090005.Q,FL104190005.Q,FL104122005.Q,FL103169100.Q,FL103162000.Q,FL103163003.Q,FL104123005.Q,FL103168005.Q,FL103169005.Q,FL103165005.Q,FL103170005.Q,FL103178000.Q,FL103192005.Q,FL103190005.Q,FL102090005.Q,FL105012665.Q,FL105013665.Q,LM103164103.Q,FL104104006.Q,FL104104016.Q,FL103164106.Q,FL102000115.Q,FL102010115.Q,FL105035045.Q,FL105013213.Q,FL105013715.Q,FL105020000.Q,FL102090115.Q,FL105012613.Q,FL105013613.Q,FL104104026.Q
1945:Q4,286322.02,217385.58,142811.35,32441.00,5846.00,36287.23,68936.44,33.00,19111.47,900.00,0.00,0.00,18760.00,0.00,18508.00,0.00,252.00,2799.00,5.00,2794.00,0.00,19821.00,6990.00,521.97,70344.85,24000.00,95.00,0.00,23905.00,20652.67,8912.32,3199.47,8540.88,13718.28,10105.00,1493.00,375.90,215977.17,2193.00,93162.00,103694.00,20.67,43.06,48.01,193305.44,124369.00,66478.00,26895.00,4744.00,26252.00,122960.59,1111.00,57867.00,36.31
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,312351.00,245007.00,159407.00,39250.00,6662.00,39688.00,67344.00,68.00,19666.00,900.00,0.00,0.00,13124.00,32.00,12779.00,0.00,313.00,3331.00,10.00,3321.00,0.00,22579.00,6971.00,705.00,80331.00,24995.00,137.00,0.00,24858.00,24894.00,12505.00,3054.00,9335.00,20069.00,8147.00,1481.00,744.00,232021.00,2634.00,112721.00,97302.00,21.50,51.27,41.94,210959.00,143615.00,70160.00,30534.00,5393.00,37528.00,130628.00,1129.00,60755.00,38.19
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,362902.00,286835.00,187736.00,47231.00,7773.00,44094.00,76067.00,51.00,21594.00,900.00,0.00,0.00,12770.00,129.00,12291.00,0.00,350.00,4135.00,16.00,4119.00,0.00,27554.00,8088.00,975.00,93182.00,27843.00,172.00,0.00,27671.00,28937.00,15574.00,2869.00,10495.00,23427.00,10333.00,1571.00,1071.00,269719.00,3004.00,134204.00,95116.00,21.05,59.70,35.26,237334.00,161267.00,74131.00,36452.00,6083.00,44601.00,144152.00,1168.00,64261.00,39.39
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
