date,FA384104005.Q,FA154104005.Q,FA153165105.Q,FA153166000.Q,FA144104005.Q,FA104104005.Q,FA314104005.Q,FA214104005.Q,FA794104005.Q,FA264104005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-9240.00,6625.00,4394.00,2977.00,7166.00,5301.00,-23079.00,48.00,-447.00,2646.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,12721.00,8846.00,5167.00,3521.00,8653.00,6914.00,-6408.00,1630.00,15.00,3981.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,12435.00,8510.00,5155.00,3034.00,7407.00,6093.00,-4886.00,1404.00,2041.00,1427.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,15681.00,8198.00,4332.00,3042.00,2965.00,1583.00,3617.00,901.00,1316.00,173.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,26673.00,13322.00,7594.00,4573.00,9154.00,6048.00,-395.00,4592.00,2718.00,148.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,22874.00,8504.00,6444.00,1403.00,11722.00,8429.00,272.00,2376.00,816.00,641.00
1952:Q1,36350.00,10342.00,6584.00,2386.00,6492.00,4456.00,11188.00,8328.00,-2500.00,876.00
1952:Q2,37866.00,13062.00,6384.00,6382.00,9132.00,5711.00,4880.00,10792.00,5496.00,884.00
1952:Q3,32438.00,11594.00,6672.00,4542.00,9624.00,7121.00,6456.00,4764.00,-1016.00,308.00
1952:Q4,31270.00,13874.00,7136.00,7378.00,9676.00,7622.00,2768.00,4952.00,5524.00,-216.00
1953:Q1,34053.00,17729.00,7508.00,7897.00,7040.00,6454.00,4408.00,4876.00,-1644.00,-132.00
1953:Q2,30237.00,13417.00,8356.00,3529.00,6028.00,3794.00,5804.00,4988.00,2976.00,-656.00
1953:Q3,40333.00,9833.00,7188.00,3097.00,6592.00,4225.00,18880.00,5028.00,4472.00,212.00
1953:Q4,14857.00,9253.00,7016.00,1845.00,-576.00,937.00,1108.00,5072.00,2164.00,700.00
1954:Q1,19693.00,8461.00,6836.00,-739.00,6112.00,4400.00,8.00,5112.00,-4064.00,196.00
1954:Q2,25357.00,12605.00,10780.00,1249.00,4704.00,1499.00,2748.00,5300.00,3948.00,-444.00
1954:Q3,24489.00,11077.00,7624.00,1305.00,8676.00,4591.00,-540.00,5276.00,380.00,168.00
