date,LA384104005.Q,LA154104005.Q,LA153165105.Q,LA153166000.Q,LA144104005.Q,LA104104005.Q,LA314104005.Q,LA214104005.Q,LA794104005.Q,LA264104005.Q
1945:Q4,352402.00,29442.00,18706.00,6800.00,55940.00,44652.67,254385.00,12635.00,5692.00,5667.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,343964.00,36067.00,23100.00,9777.00,63908.00,49889.00,231306.00,12683.00,5245.00,8313.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,356685.00,44913.00,28267.00,13298.00,72561.00,56780.00,224898.00,14313.00,5260.00,12289.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,369120.00,53423.00,33422.00,16332.00,79968.00,62811.00,220012.00,15717.00,7301.00,13703.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,384801.00,61621.00,37754.00,19374.00,82933.00,64394.00,223629.00,16618.00,8617.00,13797.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,411471.00,74943.00,45348.00,23947.00,92084.00,70439.00,223234.00,21210.00,11335.00,13916.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,434345.00,83447.00,51792.00,25350.00,103806.00,78868.00,223506.00,23586.00,12151.00,14568.00
1952:Q1,443433.00,86033.00,53438.00,25947.00,105429.00,79984.00,226303.00,25668.00,11526.00,14774.00
1952:Q2,452899.00,89298.00,55034.00,27542.00,107712.00,81411.00,227523.00,28366.00,12900.00,14949.00
1952:Q3,461009.00,92197.00,56702.00,28678.00,110118.00,83192.00,229137.00,29557.00,12646.00,15014.00
1952:Q4,468826.00,95665.00,58486.00,30522.00,112537.00,85098.00,229829.00,30795.00,14027.00,15044.00
1953:Q1,477339.00,100097.00,60363.00,32496.00,114297.00,86711.00,230931.00,32014.00,13616.00,15214.00
