date,FA165000005.A,FA164090005.A,FA163020005.A,FA163030005.A,FA163034005.A,FA162051005.A,FA164022005.A,FA163069103.A,FA163061105.A,FA163061705.A,FA163062005.A,FA163063005.A,FA164023005.A,FA163065005.A,FA163067005.A,FA163064105.A,FA163064205.A,FA163070005.A,FA162090205.A,FA163093005.A,FA164190005.A,FA163162003.A,FA164123005.A,FA163168003.A,FA163169385.A,FA163165505.A,FA163170003.A,FA163193005.A
1988,56374.00,73712.00,519.00,-158.00,-13072.00,384.00,55708.00,38211.00,6432.00,4460.00,5.00,6600.00,2032.00,-802.00,2834.00,5187.00,-993.00,2834.00,-135.00,18572.00,17338.00,1491.00,5993.00,1580.00,-9.00,4422.00,2435.00,7419.00
1989,44979.00,78604.00,-1013.00,5352.00,4920.00,3138.00,20974.00,-5676.00,13776.00,2625.00,524.00,9725.00,3760.00,927.00,2833.00,16134.00,2573.00,2833.00,-3856.00,20956.00,33625.00,3151.00,8540.00,1357.00,-47.00,7230.00,16173.00,5761.00
1990,24328.00,56400.00,1312.00,-6165.00,-1160.00,-2248.00,22876.00,5777.00,4758.00,4602.00,-491.00,8230.00,1922.00,-682.00,2604.00,15014.00,1156.00,2604.00,-6041.00,24526.00,32072.00,2979.00,8857.00,1357.00,267.00,7233.00,9344.00,10892.00
1991,10790.00,48384.00,4012.00,10412.00,32921.00,-1257.00,-17506.00,-35158.00,6066.00,3600.00,49.00,7937.00,1941.00,-59.00,2000.00,-18615.00,-3307.00,2000.00,15246.00,20537.00,37594.00,3817.00,10532.00,1605.00,376.00,8551.00,9414.00,13831.00
1992,24476.00,54180.00,1222.00,-2380.00,3961.00,5978.00,10029.00,-5824.00,6816.00,3146.00,246.00,5645.00,2036.00,891.00,1145.00,18611.00,661.00,1145.00,10592.00,1180.00,29704.00,2380.00,7623.00,1234.00,-189.00,6577.00,5871.00,13831.00
1993,11886.00,46019.00,1657.00,-1533.00,-13782.00,545.00,24602.00,12364.00,5060.00,2338.00,333.00,4507.00,1704.00,917.00,787.00,8868.00,-658.00,1812.00,7016.00,15001.00,34133.00,1061.00,12755.00,2005.00,64.00,10686.00,5990.00,14328.00
1994,54570.00,78544.00,-2548.00,183.00,1097.00,200.00,16743.00,4676.00,6356.00,2937.00,382.00,2392.00,1882.00,-142.00,2024.00,45086.00,1514.00,2073.00,160.00,10130.00,23974.00,3186.00,-833.00,-154.00,142.00,-821.00,5167.00,16454.00
1995,50045.00,86462.00,2277.00,208.00,1244.00,227.00,37931.00,2015.00,16372.00,7565.00,96.00,11883.00,2394.00,874.00,1520.00,-10419.00,1345.00,1565.00,10214.00,37956.00,36417.00,221.00,-778.00,-105.00,-114.00,-559.00,7860.00,29114.00
1996,87085.00,123388.00,8265.00,1055.00,9408.00,1390.00,36098.00,4090.00,13858.00,6403.00,26.00,11721.00,4070.00,632.00,3438.00,21009.00,2358.00,3460.00,8391.00,24446.00,36303.00,6081.00,4904.00,771.00,29.00,4104.00,8026.00,17293.00
1997,12929.00,51110.00,2866.00,311.00,-1780.00,5.00,22501.00,1294.00,8863.00,4096.00,-59.00,8307.00,4378.00,629.00,3749.00,-30600.00,-953.00,2608.00,9698.00,38327.00,38181.00,7131.00,3460.00,572.00,-164.00,3052.00,8892.00,18698.00
1998,6028.00,59522.00,3098.00,1092.00,7078.00,1293.00,35513.00,3048.00,11604.00,5363.00,135.00,15363.00,5425.00,862.00,4563.00,-40685.00,400.00,4563.00,12493.00,24689.00,53494.00,11758.00,11635.00,1854.00,-99.00,9879.00,8745.00,21357.00
1999,-4856.00,29879.00,2331.00,638.00,3810.00,697.00,45859.00,4696.00,17532.00,8105.00,132.00,15394.00,1932.00,822.00,1110.00,-67447.00,-3338.00,1110.00,12022.00,31155.00,34735.00,10413.00,3135.00,476.00,122.00,2537.00,4142.00,17045.00
2000,43934.00,112403.00,5088.00,760.00,4544.00,830.00,30862.00,12446.00,5408.00,2500.00,42.00,10466.00,6018.00,1716.00,4302.00,15406.00,-975.00,4302.00,16278.00,24988.00,68469.00,5759.00,13512.00,2180.00,-287.00,11618.00,3816.00,45383.00
