date,FA116300005.Q,FA116000105.Q,FA116000105.Q,FA115050005.Q,FA115019005.Q,FA115020005.Q,FA115000005.Q,FA114090005.Q,FA113020005.Q,FA113030003.Q,FA113034003.Q,FA114022005.Q,FA113061003.Q,FA113062003.Q,FA114023005.Q,FA113065005.Q,FA113066003.Q,FA113070003.Q,FA113090005.Q,FA113076005.Q,FA113092405.Q,FA113093005.Q,FA114190005.Q,FA114123005.Q,FA113168005.Q,FA113169005.Q,FA113165005.Q,FA113170005.Q,FA113178003.Q,FA115114005.Q,FA113193003.Q,FA112090205.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3905.00,3905.00,3905.00,5946.00,5826.00,120.00,-2041.00,1895.00,604.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,90.00,1005.00,196.00,234.00,-38.00,0.00,3936.00,1865.00,827.00,146.00,892.00,1498.00,0.00,1.00,0.00,571.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,4902.00,4902.00,4902.00,6932.00,8623.00,-1691.00,-2030.00,814.00,150.00,0.00,0.00,0.00,0.00,0.00,112.00,0.00,112.00,311.00,241.00,261.00,-20.00,0.00,2844.00,1739.00,647.00,362.00,730.00,1016.00,0.00,1.00,0.00,88.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,5822.00,5822.00,5822.00,13147.00,10388.00,2759.00,-7325.00,-56.00,-470.00,0.00,0.00,0.00,0.00,0.00,121.00,0.00,121.00,70.00,224.00,221.00,2.00,0.00,7269.00,1314.00,13.00,327.00,975.00,1131.00,0.00,4.00,0.00,4820.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,6425.00,6425.00,6425.00,9308.00,10004.00,-696.00,-2883.00,171.00,-128.00,0.00,0.00,0.00,0.00,0.00,64.00,0.00,64.00,61.00,175.00,172.00,3.00,0.00,3055.00,1382.00,-132.00,278.00,1236.00,260.00,0.00,1.00,0.00,1412.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
