date,FA206010105.Q,FA206210001.Q,FA206240001.Q,FA206231001.Q,FA206601001.Q,FA206150105.Q,FA206403105.Q,FA206402101.Q,FA206900005.Q,FA206901001.Q,FA206404001.Q,FA206403001.Q,FA206130001.Q,FA206402001.Q,FA206006005.Q,FA206300003.Q,FA205440005.Q,FA206000105.Q,FA205090005.Q,FA205019001.Q,FA205420003.Q,FA215000005.Q,FA214090005.Q,FA213020005.Q,FA213030005.Q,FA213034003.Q,FA212051003.Q,FA214022005.Q,FA213069103.Q,FA213061105.Q,FA213061703.Q,FA213062003.Q,FA213063003.Q,FA213065005.Q,FA213064103.Q,FA213064203.Q,FA213070003.Q,FA213078005.Q,FA213093003.Q,FA214190005.Q,FA213162005.Q,FA213162400.Q,FA213162200.Q,FA213169203.Q,FA213170003.Q,FA223073045.Q,FA217005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,12465.00,859.00,9141.00,462.00,155.00,388.00,1094.00,366.00,11679.00,9508.00,1468.00,0.00,703.00,0.00,786.00,1571.00,-236.00,2593.00,1329.00,1629.00,70.00,-370.00,437.00,867.00,179.00,0.00,0.00,-757.00,0.00,-352.00,-100.00,-305.00,0.00,25.00,0.00,0.00,123.00,0.00,0.00,807.00,69.00,1.00,68.00,-21.00,146.00,613.00,1264.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,14188.00,997.00,10442.00,604.00,175.00,439.00,1191.00,340.00,14118.00,11326.00,2045.00,0.00,747.00,0.00,70.00,1874.00,-320.00,2264.00,2514.00,2890.00,90.00,-466.00,1803.00,733.00,159.00,0.00,0.00,675.00,0.00,711.00,3.00,-39.00,0.00,25.00,0.00,0.00,211.00,0.00,0.00,2269.00,1611.00,199.00,1412.00,19.00,-132.00,771.00,-250.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
