date,FA716000105.Q,FA715013005.Q,FA714090005.Q,FA713011005.Q,FA713014003.Q,FA713012003.Q,FA713022003.Q,FA713068705.Q,FA713068703.Q,FA763069143.Q,FA712051000.Q,FA714022005.Q,FA713069603.Q,FA713061100.Q,FA713061113.Q,FA713061125.Q,FA713061705.Q,FA713061903.Q,FA713061703.Q,FA713068005.Q,FA713068303.Q,FA713068665.Q,FA713068505.Q,FA713068473.Q,FA713064103.Q,FA713090005.Q,FA713091103.Q,FA713093005.Q,FA714190005.Q,FA713113003.Q,FA703025005.Q,FA713120005.Q,FA713123005.Q,FA713123023.Q,FA713123030.Q,FA713123043.Q,FA713124003.Q,FA713122605.Q,FA713125005.Q,FA712151003.Q,FA712151103.Q,FA712151115.Q,FA713190005.Q,FA713164003.Q,FA713193005.Q,FA717005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,85.00,4.00,-329.00,464.00,0.00,223.00,2.00,-186.00,-186.00,0.00,0.00,-912.00,0.00,-912.00,1046.00,-1958.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,99.00,0.00,-19.00,0.00,-19.00,-410.00,224.00,177.00,-737.00,-599.00,-15.00,-584.00,0.00,0.00,-398.00,260.00,0.00,0.00,0.00,-74.00,10.00,-84.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,10.00,5.00,1101.00,1946.00,0.00,0.00,-45.00,18.00,18.00,0.00,0.00,-791.00,0.00,-791.00,-4011.00,3220.00,0.00,0.00,0.00,-96.00,0.00,0.00,0.00,-96.00,0.00,69.00,0.00,69.00,1092.00,1760.00,170.00,-1087.00,-459.00,-936.00,477.00,0.00,0.00,-374.00,-254.00,0.00,0.00,0.00,249.00,9.00,240.00,-4.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,57.00,4.00,2464.00,1488.00,0.00,27.00,6.00,-1.00,-1.00,0.00,0.00,774.00,0.00,774.00,-6665.00,7439.00,0.00,0.00,0.00,139.00,0.00,0.00,0.00,139.00,0.00,31.00,0.00,31.00,2404.00,2580.00,-238.00,63.00,242.00,-11.00,253.00,0.00,0.00,227.00,-406.00,0.00,0.00,0.00,-1.00,5.00,-6.00,-7.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
