date,FA476000105.Q,FA475013005.Q,FA474090005.Q,FA473013003.Q,FA472050053.Q,FA474022005.Q,FA473069153.Q,FA473061105.Q,FA473061705.Q,FA473062005.Q,FA473063005.Q,FA474023000.Q,FA473068005.Q,FA473065100.Q,FA473066000.Q,FA473064205.Q,FA473090005.Q,FA474190005.Q,FA474110005.Q,FA473139000.Q,FA473127003.Q,FA473131005.Q,FA473135003.Q,FA472150053.Q,FA473169333.Q,FA473193005.Q,FA477005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,11.00,1.00,53.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.00,0.00,41.00,13.00,0.00,-1.00,52.00,-19.00,63.00,0.00,63.00,0.00,0.00,0.00,8.00,9.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,15.00,1.00,102.00,0.00,0.00,15.00,0.00,15.00,0.00,0.00,0.00,89.00,0.00,68.00,21.00,0.00,-2.00,97.00,9.00,81.00,0.00,81.00,0.00,0.00,0.00,7.00,9.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,22.00,3.00,113.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,105.00,0.00,77.00,28.00,0.00,-2.00,107.00,2.00,93.00,0.00,93.00,0.00,0.00,0.00,12.00,13.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,29.00,4.00,129.00,0.00,0.00,7.00,0.00,7.00,0.00,0.00,0.00,124.00,0.00,43.00,81.00,0.00,-2.00,121.00,7.00,98.00,0.00,98.00,0.00,0.00,0.00,16.00,17.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,39.00,5.00,156.00,0.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00,152.00,0.00,57.00,95.00,0.00,-4.00,145.00,-25.00,149.00,0.00,149.00,0.00,0.00,0.00,21.00,23.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,44.00,5.00,61.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,56.00,0.00,3.00,53.00,0.00,-5.00,51.00,-199.00,225.00,0.00,225.00,0.00,0.00,0.00,25.00,29.00
1952:Q1,49.00,5.00,268.00,0.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00,248.00,0.00,-192.00,440.00,0.00,12.00,252.00,24.00,208.00,0.00,208.00,0.00,0.00,0.00,20.00,28.00
1952:Q2,53.00,5.00,204.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,216.00,0.00,188.00,28.00,0.00,-16.00,192.00,-132.00,292.00,0.00,292.00,0.00,0.00,0.00,32.00,36.00
1952:Q3,57.00,4.00,220.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,220.00,0.00,-176.00,396.00,0.00,-4.00,208.00,-128.00,304.00,0.00,304.00,0.00,0.00,0.00,32.00,41.00
1952:Q4,57.00,5.00,252.00,0.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00,264.00,0.00,120.00,144.00,0.00,-20.00,236.00,-92.00,300.00,0.00,300.00,0.00,0.00,0.00,28.00,36.00
1953:Q1,62.00,10.00,436.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,416.00,0.00,20.00,396.00,0.00,16.00,408.00,128.00,260.00,0.00,260.00,0.00,0.00,0.00,20.00,24.00
1953:Q2,70.00,10.00,272.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,284.00,0.00,132.00,152.00,0.00,-16.00,252.00,-240.00,456.00,0.00,456.00,0.00,0.00,0.00,36.00,40.00
1953:Q3,78.00,10.00,292.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,288.00,0.00,-168.00,456.00,0.00,0.00,264.00,-116.00,340.00,0.00,340.00,0.00,0.00,0.00,40.00,40.00
1953:Q4,94.00,10.00,236.00,0.00,0.00,12.00,0.00,12.00,0.00,0.00,0.00,256.00,0.00,-12.00,268.00,0.00,-32.00,208.00,-132.00,292.00,0.00,292.00,0.00,0.00,0.00,48.00,56.00
1954:Q1,95.00,10.00,280.00,0.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00,260.00,0.00,-88.00,348.00,0.00,12.00,264.00,-48.00,248.00,0.00,248.00,0.00,0.00,0.00,64.00,69.00
1954:Q2,95.00,10.00,204.00,0.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00,220.00,0.00,380.00,-160.00,0.00,-24.00,192.00,-228.00,356.00,0.00,356.00,0.00,0.00,0.00,64.00,73.00
1954:Q3,96.00,10.00,224.00,0.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00,220.00,0.00,-164.00,384.00,0.00,-4.00,208.00,-304.00,452.00,0.00,452.00,0.00,0.00,0.00,60.00,70.00
1954:Q4,104.00,10.00,208.00,0.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00,220.00,0.00,-32.00,252.00,0.00,-20.00,196.00,-224.00,340.00,0.00,340.00,0.00,0.00,0.00,80.00,82.00
1955:Q1,104.00,13.00,372.00,0.00,0.00,12.00,0.00,12.00,0.00,0.00,0.00,352.00,0.00,396.00,-44.00,0.00,8.00,332.00,72.00,208.00,0.00,208.00,0.00,0.00,0.00,52.00,51.00
1955:Q2,112.00,14.00,368.00,0.00,0.00,16.00,0.00,16.00,0.00,0.00,0.00,368.00,0.00,152.00,216.00,0.00,-16.00,336.00,-212.00,480.00,0.00,480.00,0.00,0.00,0.00,68.00,66.00
1955:Q3,124.00,15.00,400.00,0.00,0.00,16.00,0.00,16.00,0.00,0.00,0.00,388.00,0.00,-72.00,460.00,0.00,-4.00,360.00,-268.00,560.00,0.00,560.00,0.00,0.00,0.00,68.00,69.00
1955:Q4,132.00,15.00,328.00,0.00,0.00,16.00,0.00,16.00,0.00,0.00,0.00,340.00,0.00,-8.00,348.00,0.00,-28.00,288.00,-160.00,388.00,0.00,388.00,0.00,0.00,0.00,60.00,77.00
1956:Q1,133.00,12.00,384.00,0.00,0.00,16.00,0.00,16.00,0.00,0.00,0.00,372.00,0.00,-8.00,380.00,0.00,-4.00,352.00,-200.00,476.00,0.00,476.00,0.00,0.00,0.00,76.00,89.00
1956:Q2,137.00,12.00,380.00,0.00,0.00,16.00,0.00,16.00,0.00,0.00,0.00,372.00,0.00,508.00,-136.00,0.00,-8.00,344.00,-176.00,436.00,0.00,436.00,0.00,0.00,0.00,84.00,89.00
1956:Q3,146.00,14.00,400.00,0.00,0.00,16.00,0.00,16.00,0.00,0.00,0.00,388.00,0.00,-208.00,596.00,0.00,-4.00,360.00,-176.00,444.00,0.00,444.00,0.00,0.00,0.00,92.00,92.00
1956:Q4,150.00,14.00,416.00,0.00,0.00,12.00,0.00,12.00,0.00,0.00,0.00,436.00,0.00,-16.00,452.00,0.00,-32.00,380.00,-220.00,516.00,0.00,516.00,0.00,0.00,0.00,84.00,100.00
1957:Q1,154.00,17.00,432.00,0.00,0.00,16.00,0.00,16.00,0.00,0.00,0.00,432.00,0.00,344.00,88.00,0.00,-16.00,392.00,-156.00,460.00,0.00,460.00,0.00,0.00,0.00,88.00,97.00
1957:Q2,163.00,17.00,484.00,0.00,0.00,16.00,0.00,16.00,0.00,0.00,0.00,476.00,0.00,32.00,444.00,0.00,-8.00,444.00,-104.00,444.00,0.00,444.00,0.00,0.00,0.00,104.00,106.00
1957:Q3,179.00,18.00,520.00,0.00,0.00,16.00,0.00,16.00,0.00,0.00,0.00,508.00,0.00,-144.00,652.00,0.00,-4.00,472.00,-112.00,472.00,0.00,472.00,0.00,0.00,0.00,112.00,113.00
1957:Q4,196.00,17.00,372.00,0.00,0.00,12.00,0.00,12.00,0.00,0.00,0.00,384.00,0.00,-236.00,620.00,0.00,-24.00,332.00,-284.00,492.00,0.00,492.00,0.00,0.00,0.00,124.00,139.00
1958:Q1,192.00,19.00,164.00,0.00,0.00,16.00,0.00,16.00,0.00,0.00,0.00,164.00,0.00,304.00,-140.00,0.00,-16.00,136.00,-484.00,480.00,0.00,480.00,0.00,0.00,0.00,140.00,145.00
1958:Q2,190.00,18.00,264.00,0.00,0.00,16.00,0.00,16.00,0.00,0.00,0.00,256.00,0.00,-144.00,400.00,0.00,-8.00,232.00,-364.00,464.00,0.00,464.00,0.00,0.00,0.00,132.00,140.00
1958:Q3,190.00,17.00,276.00,0.00,0.00,16.00,0.00,16.00,0.00,0.00,0.00,264.00,0.00,132.00,132.00,0.00,-4.00,240.00,-400.00,508.00,0.00,508.00,0.00,0.00,0.00,132.00,137.00
1958:Q4,194.00,18.00,372.00,0.00,0.00,12.00,0.00,12.00,0.00,0.00,0.00,384.00,0.00,-184.00,568.00,0.00,-24.00,344.00,-288.00,500.00,0.00,500.00,0.00,0.00,0.00,132.00,148.00
1959:Q1,190.00,19.00,528.00,0.00,0.00,12.00,0.00,12.00,0.00,0.00,0.00,536.00,0.00,424.00,112.00,0.00,-20.00,472.00,-192.00,556.00,36.00,520.00,0.00,0.00,0.00,108.00,115.00
1959:Q2,190.00,20.00,624.00,0.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00,624.00,0.00,24.00,600.00,0.00,-8.00,568.00,-80.00,548.00,4.00,544.00,0.00,0.00,0.00,100.00,114.00
1959:Q3,194.00,21.00,812.00,0.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00,824.00,0.00,196.00,628.00,0.00,-20.00,752.00,48.00,596.00,0.00,596.00,0.00,0.00,0.00,108.00,113.00
1959:Q4,210.00,21.00,672.00,0.00,0.00,12.00,0.00,12.00,0.00,0.00,0.00,672.00,0.00,-112.00,784.00,0.00,-12.00,612.00,-96.00,588.00,0.00,588.00,0.00,0.00,0.00,120.00,129.00
1960:Q1,205.00,21.00,792.00,0.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00,808.00,0.00,716.00,92.00,0.00,-24.00,744.00,92.00,520.00,4.00,516.00,0.00,0.00,0.00,132.00,136.00
1960:Q2,201.00,22.00,764.00,0.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00,764.00,0.00,-100.00,864.00,0.00,-8.00,716.00,64.00,532.00,0.00,532.00,0.00,0.00,0.00,120.00,131.00
1960:Q3,181.00,21.00,632.00,0.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00,640.00,0.00,-128.00,768.00,0.00,-16.00,576.00,-56.00,528.00,0.00,528.00,0.00,0.00,0.00,104.00,104.00
1960:Q4,170.00,21.00,492.00,0.00,0.00,16.00,0.00,16.00,0.00,0.00,0.00,488.00,0.00,-84.00,572.00,0.00,-12.00,448.00,-224.00,580.00,4.00,576.00,0.00,0.00,0.00,92.00,105.00
1961:Q1,174.00,21.00,392.00,0.00,0.00,16.00,0.00,16.00,0.00,0.00,0.00,388.00,0.00,564.00,-176.00,0.00,-12.00,348.00,-360.00,604.00,0.00,604.00,0.00,0.00,0.00,104.00,109.00
1961:Q2,174.00,22.00,392.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,384.00,0.00,-268.00,652.00,0.00,-12.00,348.00,-360.00,612.00,0.00,612.00,0.00,0.00,0.00,96.00,108.00
1961:Q3,166.00,22.00,400.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,408.00,0.00,356.00,52.00,0.00,-28.00,352.00,-424.00,680.00,0.00,680.00,0.00,0.00,0.00,96.00,96.00
