date,FA546000105.Q,FA545013005.Q,FA544090005.Q,FA543020005.Q,FA543034005.Q,FA542051073.Q,FA544022005.Q,FA543069105.Q,FA543061105.Q,FA543061705.Q,FA543062005.Q,FA543063005.Q,FA544023005.Q,FA543069005.Q,FA543065005.Q,FA543064105.Q,FA543064205.Q,FA543092073.Q,FA543090005.Q,FA543092473.Q,FA543077073.Q,FA543093005.Q,FA544190005.Q,FA542151073.Q,FA543164173.Q,FA543169373.Q,FA543140005.Q,FA543150005.Q,FA543178073.Q,FA543192073.Q,FA543190005.Q,FA543194733.Q,FA673090543.Q,FA543195005.Q,FA593095005.Q,FA543193005.Q,FA547005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,355.00,27.00,3531.00,-6.00,0.00,0.00,2743.00,0.00,1046.00,0.00,-108.00,1805.00,451.00,-68.00,519.00,267.00,0.00,4.00,72.00,0.00,65.00,7.00,3331.00,0.00,0.00,0.00,2635.00,400.00,-4.00,1.00,299.00,0.00,0.00,216.00,0.00,83.00,128.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,195.00,34.00,3449.00,246.00,0.00,0.00,1420.00,0.00,-1595.00,0.00,-5.00,3020.00,1563.00,43.00,1520.00,150.00,0.00,4.00,66.00,0.00,81.00,-15.00,3420.00,0.00,0.00,0.00,2545.00,500.00,-20.00,1.00,394.00,0.00,0.00,116.00,0.00,278.00,132.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
