date,FA576330005.Q,FA575013005.Q,FA574090005.Q,FA573020005.Q,FA573030005.Q,FA573034005.Q,FA572051005.Q,FA574022005.Q,FA573069105.Q,FA573061105.Q,FA573061705.Q,FA573063005.Q,FA573065005.Q,FA573064105.Q,FA573064205.Q,FA573090005.Q,FA573095005.Q,FA573074005.Q,FA573073005.Q,FA573093005.Q,FA574190005.Q,FA574090045.Q,FA574090055.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0.00,1.00,1379.00,20.00,0.00,0.00,0.00,249.00,0.00,49.00,0.00,200.00,22.00,0.00,0.00,1088.00,0.00,0.00,1179.00,-91.00,1380.00,1382.00,-3.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1.00,0.00,1518.00,30.00,0.00,0.00,0.00,251.00,0.00,51.00,0.00,200.00,20.00,0.00,0.00,1217.00,0.00,0.00,1017.00,200.00,1517.00,1345.00,173.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1.00,1.00,1364.00,30.00,0.00,0.00,0.00,249.00,0.00,49.00,0.00,200.00,20.00,0.00,0.00,1065.00,0.00,0.00,865.00,200.00,1364.00,1192.00,172.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1.00,1.00,1270.00,43.00,0.00,0.00,0.00,300.00,0.00,100.00,0.00,200.00,20.00,0.00,0.00,907.00,0.00,0.00,771.00,136.00,1270.00,1123.00,147.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1.00,2.00,1001.00,60.00,0.00,0.00,0.00,273.00,0.00,45.00,0.00,228.00,20.00,0.00,0.00,648.00,0.00,0.00,844.00,-196.00,1002.00,885.00,116.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1.00,2.00,4563.00,65.00,0.00,0.00,0.00,755.00,0.00,100.00,0.00,655.00,18.00,0.00,0.00,3725.00,0.00,0.00,3695.00,30.00,4564.00,4389.00,174.00
1952:Q1,0.00,1.00,5971.00,4.00,1468.00,0.00,332.00,972.00,0.00,168.00,0.00,804.00,24.00,600.00,0.00,2571.00,0.00,556.00,1371.00,644.00,5972.00,4451.00,1520.00
1952:Q2,0.00,1.00,4607.00,-36.00,56.00,0.00,12.00,972.00,0.00,-16.00,0.00,988.00,28.00,624.00,0.00,2951.00,0.00,24.00,2819.00,108.00,4608.00,4075.00,532.00
1952:Q3,0.00,1.00,4607.00,-36.00,60.00,0.00,16.00,1108.00,0.00,-60.00,0.00,1168.00,32.00,648.00,0.00,2779.00,0.00,24.00,2655.00,100.00,4608.00,4043.00,564.00
1952:Q4,0.00,1.00,4959.00,-8.00,60.00,0.00,12.00,1344.00,0.00,44.00,0.00,1300.00,32.00,700.00,0.00,2819.00,0.00,36.00,2723.00,60.00,4960.00,4327.00,632.00
1953:Q1,0.00,2.00,5298.00,36.00,64.00,0.00,4.00,1392.00,0.00,136.00,0.00,1256.00,40.00,716.00,0.00,3046.00,0.00,28.00,2978.00,40.00,5300.00,4654.00,644.00
1953:Q2,0.00,2.00,5698.00,72.00,68.00,0.00,8.00,1368.00,0.00,216.00,0.00,1152.00,44.00,744.00,0.00,3394.00,0.00,32.00,3362.00,0.00,5700.00,5050.00,648.00
1953:Q3,0.00,2.00,5790.00,76.00,68.00,0.00,0.00,1248.00,0.00,212.00,0.00,1036.00,44.00,788.00,0.00,3566.00,0.00,28.00,3534.00,4.00,5792.00,5146.00,644.00
1953:Q4,0.00,2.00,5494.00,40.00,68.00,0.00,4.00,1088.00,0.00,64.00,72.00,952.00,44.00,864.00,0.00,3386.00,0.00,36.00,3350.00,0.00,5496.00,4858.00,636.00
