date,FA574090055.Q,FA573020033.Q,FA573030033.Q,FA573034055.Q,FA572051033.Q,FA574022035.Q,FA573069133.Q,FA573061133.Q,FA573061733.Q,FA573063033.Q,FA573065033.Q,FA573064133.Q,FA573064255.Q,FA573090055.Q,FA573095505.Q,FA573074033.Q,FA573093033.Q,FA574090055.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-3.00,0.00,0.00,0.00,0.00,52.00,0.00,12.00,0.00,40.00,0.00,0.00,0.00,-55.00,0.00,0.00,-55.00,-3.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,173.00,0.00,0.00,0.00,0.00,53.00,0.00,13.00,0.00,40.00,0.00,0.00,0.00,120.00,0.00,0.00,120.00,173.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,172.00,0.00,0.00,0.00,0.00,52.00,0.00,12.00,0.00,40.00,0.00,0.00,0.00,120.00,0.00,0.00,120.00,172.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,147.00,0.00,0.00,0.00,0.00,65.00,0.00,25.00,0.00,40.00,0.00,0.00,0.00,82.00,0.00,0.00,82.00,147.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,116.00,0.00,0.00,0.00,0.00,57.00,0.00,11.00,0.00,46.00,0.00,0.00,0.00,59.00,0.00,0.00,59.00,116.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,174.00,0.00,0.00,0.00,0.00,156.00,0.00,25.00,0.00,131.00,0.00,0.00,0.00,18.00,0.00,0.00,18.00,174.00
1952:Q1,1520.00,0.00,688.00,0.00,0.00,204.00,0.00,44.00,0.00,160.00,0.00,240.00,0.00,388.00,0.00,0.00,388.00,1520.00
1952:Q2,532.00,0.00,28.00,0.00,0.00,192.00,0.00,-4.00,0.00,196.00,0.00,248.00,0.00,64.00,0.00,0.00,64.00,532.00
1952:Q3,564.00,0.00,28.00,0.00,0.00,220.00,0.00,-16.00,0.00,236.00,0.00,256.00,0.00,60.00,0.00,0.00,60.00,564.00
1952:Q4,632.00,0.00,28.00,0.00,0.00,272.00,0.00,12.00,0.00,260.00,0.00,296.00,0.00,36.00,0.00,0.00,36.00,632.00
1953:Q1,644.00,0.00,32.00,0.00,0.00,280.00,0.00,32.00,0.00,248.00,0.00,308.00,0.00,24.00,0.00,0.00,24.00,644.00
1953:Q2,648.00,0.00,32.00,0.00,0.00,288.00,0.00,56.00,0.00,232.00,0.00,328.00,0.00,0.00,0.00,0.00,0.00,648.00
1953:Q3,644.00,0.00,32.00,0.00,0.00,260.00,0.00,52.00,0.00,208.00,0.00,348.00,0.00,4.00,0.00,0.00,4.00,644.00
1953:Q4,636.00,0.00,32.00,0.00,0.00,220.00,0.00,16.00,16.00,188.00,0.00,384.00,0.00,0.00,0.00,0.00,0.00,636.00
1954:Q1,692.00,0.00,36.00,0.00,0.00,224.00,0.00,16.00,-4.00,212.00,0.00,416.00,0.00,16.00,0.00,0.00,16.00,692.00
1954:Q2,712.00,0.00,36.00,0.00,0.00,232.00,0.00,-8.00,0.00,240.00,0.00,428.00,0.00,16.00,0.00,0.00,16.00,712.00
1954:Q3,780.00,0.00,36.00,0.00,0.00,268.00,0.00,4.00,-4.00,268.00,0.00,452.00,0.00,24.00,0.00,0.00,24.00,780.00
1954:Q4,896.00,0.00,36.00,0.00,0.00,312.00,0.00,28.00,-4.00,288.00,0.00,504.00,0.00,44.00,0.00,0.00,44.00,896.00
1955:Q1,1000.00,0.00,40.00,0.00,0.00,316.00,0.00,60.00,4.00,252.00,0.00,568.00,0.00,76.00,0.00,0.00,76.00,1000.00
1955:Q2,1160.00,0.00,44.00,0.00,0.00,308.00,0.00,104.00,0.00,204.00,0.00,724.00,0.00,84.00,0.00,0.00,84.00,1160.00
1955:Q3,1288.00,0.00,44.00,0.00,0.00,264.00,0.00,96.00,4.00,164.00,0.00,872.00,0.00,108.00,0.00,0.00,108.00,1288.00
1955:Q4,1320.00,0.00,44.00,0.00,0.00,180.00,0.00,36.00,4.00,140.00,0.00,972.00,0.00,124.00,0.00,0.00,124.00,1320.00
1956:Q1,1456.00,0.00,44.00,0.00,0.00,188.00,0.00,-24.00,12.00,200.00,0.00,1092.00,0.00,132.00,0.00,0.00,132.00,1456.00
1956:Q2,1544.00,0.00,52.00,0.00,0.00,232.00,0.00,-52.00,4.00,280.00,0.00,1080.00,0.00,180.00,0.00,0.00,180.00,1544.00
1956:Q3,1592.00,0.00,48.00,0.00,0.00,296.00,0.00,-80.00,4.00,372.00,0.00,1072.00,0.00,176.00,0.00,0.00,176.00,1592.00
1956:Q4,1692.00,0.00,52.00,0.00,0.00,384.00,0.00,-64.00,4.00,444.00,0.00,1132.00,0.00,124.00,0.00,0.00,124.00,1692.00
1957:Q1,1668.00,0.00,56.00,0.00,0.00,376.00,0.00,-76.00,16.00,436.00,0.00,1124.00,0.00,112.00,0.00,0.00,112.00,1668.00
1957:Q2,1720.00,0.00,56.00,0.00,0.00,340.00,0.00,-72.00,8.00,404.00,0.00,1272.00,0.00,52.00,0.00,0.00,52.00,1720.00
1957:Q3,1660.00,0.00,60.00,0.00,0.00,288.00,0.00,-68.00,8.00,348.00,0.00,1224.00,0.00,88.00,0.00,0.00,88.00,1660.00
1957:Q4,1600.00,0.00,60.00,0.00,0.00,252.00,0.00,-76.00,28.00,300.00,0.00,1200.00,0.00,88.00,0.00,0.00,88.00,1600.00
1958:Q1,1676.00,0.00,64.00,0.00,0.00,268.00,0.00,-48.00,24.00,292.00,0.00,1288.00,0.00,56.00,0.00,0.00,56.00,1676.00
1958:Q2,1816.00,0.00,64.00,0.00,0.00,288.00,0.00,20.00,-28.00,296.00,0.00,1436.00,0.00,28.00,0.00,0.00,28.00,1816.00
1958:Q3,2032.00,0.00,68.00,0.00,0.00,312.00,0.00,0.00,4.00,308.00,0.00,1628.00,0.00,24.00,0.00,0.00,24.00,2032.00
1958:Q4,2296.00,0.00,72.00,0.00,0.00,328.00,0.00,20.00,0.00,308.00,0.00,1848.00,0.00,48.00,0.00,0.00,48.00,2296.00
1959:Q1,2332.00,0.00,72.00,0.00,0.00,216.00,0.00,24.00,20.00,172.00,0.00,1940.00,0.00,104.00,0.00,0.00,104.00,2332.00
1959:Q2,2632.00,0.00,76.00,0.00,0.00,328.00,0.00,48.00,32.00,248.00,0.00,2124.00,0.00,104.00,0.00,0.00,104.00,2632.00
1959:Q3,2680.00,0.00,80.00,0.00,0.00,300.00,0.00,64.00,12.00,224.00,0.00,2148.00,0.00,152.00,0.00,0.00,152.00,2680.00
1959:Q4,2920.00,0.00,84.00,0.00,0.00,388.00,0.00,32.00,4.00,352.00,0.00,2324.00,0.00,124.00,0.00,0.00,124.00,2920.00
1960:Q1,2792.00,0.00,84.00,0.00,0.00,252.00,0.00,-84.00,68.00,268.00,0.00,2260.00,0.00,196.00,0.00,0.00,196.00,2792.00
1960:Q2,2892.00,0.00,88.00,0.00,0.00,212.00,0.00,-80.00,32.00,260.00,0.00,2420.00,0.00,172.00,0.00,0.00,172.00,2892.00
1960:Q3,2920.00,0.00,92.00,0.00,0.00,272.00,0.00,-48.00,-4.00,324.00,0.00,2336.00,0.00,220.00,0.00,0.00,220.00,2920.00
1960:Q4,3268.00,0.00,96.00,0.00,0.00,416.00,0.00,-4.00,-20.00,440.00,0.00,2648.00,0.00,108.00,0.00,0.00,108.00,3268.00
1961:Q1,3328.00,0.00,100.00,0.00,0.00,104.00,0.00,4.00,-8.00,108.00,0.00,3052.00,0.00,72.00,0.00,0.00,72.00,3328.00
1961:Q2,3672.00,0.00,104.00,0.00,0.00,320.00,0.00,20.00,-16.00,316.00,0.00,3136.00,0.00,112.00,0.00,0.00,112.00,3672.00
