date,FA344090005.Q,FA344022005.Q,FA343061105.Q,FA343061705.Q,FA343063005.Q,FA343064105.Q,FA343073005.Q,FA344090005.Q,FA344090045.Q,FA344090055.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3892.00,370.00,370.00,0.00,0.00,0.00,3522.00,3892.00,3892.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3435.00,823.00,823.00,0.00,0.00,0.00,2612.00,3435.00,3435.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,3633.00,823.00,823.00,0.00,0.00,0.00,2810.00,3633.00,3633.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,3962.00,1040.00,1040.00,0.00,0.00,0.00,2922.00,3962.00,3962.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,4729.00,784.00,784.00,0.00,0.00,0.00,3945.00,4729.00,4729.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,6291.00,710.00,710.00,0.00,0.00,0.00,5581.00,6291.00,6291.00,0.00
1952:Q1,6960.00,716.00,716.00,0.00,0.00,0.00,6244.00,6960.00,6960.00,0.00
1952:Q2,7100.00,748.00,748.00,0.00,0.00,0.00,6352.00,7100.00,7100.00,0.00
1952:Q3,7280.00,1928.00,1928.00,0.00,0.00,0.00,5352.00,7280.00,7280.00,0.00
1952:Q4,7352.00,440.00,440.00,0.00,0.00,0.00,6912.00,7352.00,7352.00,0.00
1953:Q1,7240.00,564.00,564.00,0.00,0.00,0.00,6676.00,7240.00,7240.00,0.00
1953:Q2,7356.00,476.00,476.00,0.00,0.00,0.00,6880.00,7356.00,7356.00,0.00
1953:Q3,7460.00,708.00,708.00,0.00,0.00,0.00,6752.00,7460.00,7460.00,0.00
1953:Q4,7480.00,372.00,372.00,0.00,0.00,0.00,7108.00,7480.00,7480.00,0.00
1954:Q1,7344.00,396.00,396.00,0.00,0.00,0.00,6948.00,7344.00,7344.00,0.00
1954:Q2,7464.00,356.00,356.00,0.00,0.00,0.00,7108.00,7464.00,7464.00,0.00
1954:Q3,7608.00,420.00,420.00,0.00,0.00,0.00,7188.00,7608.00,7608.00,0.00
1954:Q4,7688.00,500.00,500.00,0.00,0.00,0.00,7188.00,7688.00,7688.00,0.00
1955:Q1,7608.00,252.00,252.00,0.00,0.00,0.00,7356.00,7608.00,7608.00,0.00
