date,FA224090045.Q,FA223020043.Q,FA223030045.Q,FA223034043.Q,FA222051043.Q,FA224022045.Q,FA223069143.Q,FA223061143.Q,FA223061743.Q,FA223062043.Q,FA223063045.Q,FA223065043.Q,FA223064145.Q,FA223064243.Q,FA223090045.Q,FA223073045.Q,FA223093043.Q,FA224190043.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,883.00,8.00,0.00,0.00,0.00,258.00,0.00,152.00,0.00,86.00,20.00,3.00,1.00,0.00,613.00,613.00,0.00,883.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1106.00,8.00,0.00,0.00,0.00,321.00,0.00,189.00,0.00,102.00,30.00,4.00,2.00,0.00,771.00,771.00,0.00,1106.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1351.00,6.00,0.00,0.00,0.00,419.00,0.00,213.00,0.00,129.00,77.00,10.00,3.00,0.00,913.00,913.00,0.00,1351.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1560.00,10.00,0.00,0.00,0.00,502.00,0.00,184.00,0.00,183.00,135.00,17.00,7.00,0.00,1024.00,1024.00,0.00,1560.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1705.00,18.00,0.00,0.00,0.00,624.00,0.00,241.00,0.00,200.00,183.00,23.00,9.00,0.00,1031.00,1031.00,0.00,1706.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1877.00,19.00,0.00,0.00,0.00,699.00,0.00,420.00,0.00,163.00,116.00,30.00,12.00,0.00,1117.00,1117.00,0.00,1878.00
1952:Q1,2012.00,20.00,0.00,0.00,0.00,964.00,0.00,608.00,20.00,156.00,180.00,32.00,12.00,0.00,984.00,984.00,0.00,2012.00
1952:Q2,2068.00,20.00,0.00,0.00,0.00,708.00,0.00,312.00,20.00,172.00,204.00,36.00,16.00,0.00,1288.00,1288.00,0.00,2068.00
1952:Q3,2144.00,20.00,0.00,0.00,0.00,1360.00,0.00,660.00,20.00,176.00,504.00,36.00,16.00,0.00,712.00,712.00,0.00,2144.00
1952:Q4,2192.00,20.00,0.00,0.00,0.00,792.00,0.00,244.00,20.00,180.00,348.00,40.00,16.00,0.00,1324.00,1324.00,0.00,2192.00
1953:Q1,2187.00,24.00,0.00,0.00,0.00,1096.00,0.00,364.00,8.00,200.00,524.00,44.00,16.00,0.00,1007.00,1007.00,0.00,2188.00
1953:Q2,2255.00,36.00,0.00,0.00,0.00,1484.00,0.00,760.00,4.00,212.00,508.00,44.00,20.00,0.00,671.00,671.00,0.00,2256.00
1953:Q3,2331.00,36.00,0.00,0.00,0.00,1436.00,0.00,700.00,4.00,224.00,508.00,48.00,20.00,0.00,791.00,791.00,0.00,2332.00
1953:Q4,2391.00,28.00,0.00,0.00,0.00,892.00,0.00,120.00,4.00,244.00,524.00,52.00,20.00,0.00,1399.00,1399.00,0.00,2392.00
1954:Q1,2396.00,16.00,0.00,0.00,0.00,1536.00,0.00,732.00,12.00,252.00,540.00,56.00,24.00,0.00,764.00,764.00,0.00,2396.00
1954:Q2,2480.00,8.00,0.00,0.00,0.00,1628.00,0.00,764.00,12.00,264.00,588.00,60.00,24.00,0.00,760.00,760.00,0.00,2480.00
1954:Q3,2560.00,0.00,0.00,0.00,0.00,1204.00,0.00,304.00,12.00,280.00,608.00,64.00,24.00,0.00,1268.00,1268.00,0.00,2560.00
1954:Q4,2612.00,-4.00,0.00,0.00,0.00,1224.00,0.00,292.00,16.00,296.00,620.00,64.00,24.00,0.00,1304.00,1304.00,0.00,2612.00
1955:Q1,2603.00,-12.00,0.00,0.00,0.00,1104.00,0.00,220.00,20.00,320.00,544.00,68.00,28.00,0.00,1415.00,1415.00,0.00,2604.00
1955:Q2,2683.00,-24.00,0.00,0.00,0.00,1084.00,0.00,160.00,20.00,344.00,560.00,68.00,28.00,0.00,1527.00,1527.00,0.00,2684.00
1955:Q3,2775.00,-24.00,0.00,0.00,0.00,1316.00,0.00,352.00,20.00,360.00,584.00,72.00,28.00,0.00,1383.00,1383.00,0.00,2776.00
1955:Q4,2839.00,-20.00,0.00,0.00,0.00,1404.00,0.00,400.00,20.00,364.00,620.00,68.00,28.00,0.00,1359.00,1359.00,0.00,2840.00
1956:Q1,2876.00,4.00,0.00,0.00,0.00,1820.00,0.00,852.00,8.00,372.00,588.00,72.00,32.00,0.00,948.00,948.00,0.00,2876.00
1956:Q2,2944.00,12.00,0.00,0.00,0.00,984.00,0.00,96.00,8.00,380.00,500.00,64.00,32.00,0.00,1852.00,1852.00,0.00,2944.00
1956:Q3,3044.00,20.00,0.00,0.00,0.00,932.00,0.00,104.00,8.00,392.00,428.00,76.00,36.00,0.00,1980.00,1980.00,0.00,3044.00
1956:Q4,3112.00,28.00,0.00,0.00,0.00,852.00,0.00,60.00,12.00,404.00,376.00,96.00,36.00,0.00,2100.00,2100.00,0.00,3112.00
1957:Q1,3116.00,40.00,0.00,0.00,0.00,1380.00,0.00,468.00,28.00,416.00,468.00,120.00,44.00,0.00,1532.00,1532.00,0.00,3116.00
1957:Q2,3228.00,56.00,0.00,0.00,0.00,1372.00,0.00,212.00,32.00,432.00,696.00,140.00,52.00,0.00,1608.00,1608.00,0.00,3228.00
1957:Q3,3360.00,56.00,0.00,0.00,0.00,1624.00,0.00,132.00,28.00,436.00,1028.00,156.00,52.00,0.00,1472.00,1472.00,0.00,3360.00
1957:Q4,3468.00,36.00,0.00,0.00,0.00,1352.00,0.00,-356.00,32.00,432.00,1244.00,164.00,56.00,0.00,1860.00,1860.00,0.00,3468.00
1958:Q1,3497.00,20.00,0.00,0.00,0.00,1916.00,0.00,184.00,20.00,436.00,1276.00,176.00,56.00,0.00,1329.00,1329.00,0.00,3496.00
1958:Q2,3625.00,12.00,0.00,0.00,0.00,968.00,0.00,-616.00,20.00,448.00,1116.00,188.00,56.00,0.00,2401.00,2401.00,0.00,3624.00
1958:Q3,3729.00,0.00,0.00,0.00,0.00,1516.00,0.00,40.00,20.00,432.00,1024.00,200.00,60.00,0.00,1953.00,1953.00,0.00,3728.00
1958:Q4,3769.00,-4.00,0.00,0.00,0.00,1636.00,0.00,244.00,20.00,380.00,992.00,220.00,60.00,0.00,1857.00,1857.00,0.00,3768.00
1959:Q1,3712.00,-12.00,0.00,0.00,0.00,1628.00,0.00,324.00,28.00,340.00,936.00,224.00,68.00,0.00,1804.00,1804.00,0.00,3712.00
1959:Q2,3784.00,-28.00,0.00,0.00,0.00,1276.00,0.00,96.00,32.00,304.00,844.00,220.00,76.00,0.00,2240.00,2240.00,0.00,3784.00
1959:Q3,3868.00,-28.00,0.00,0.00,0.00,2024.00,0.00,896.00,28.00,272.00,828.00,256.00,76.00,0.00,1540.00,1540.00,0.00,3868.00
1959:Q4,3940.00,-24.00,0.00,0.00,0.00,1544.00,0.00,448.00,28.00,236.00,832.00,324.00,80.00,0.00,2016.00,2016.00,0.00,3940.00
1960:Q1,3993.00,8.00,0.00,0.00,0.00,1972.00,0.00,804.00,52.00,216.00,900.00,396.00,80.00,0.00,1537.00,1537.00,0.00,3992.00
1960:Q2,4109.00,24.00,0.00,0.00,0.00,1516.00,0.00,244.00,48.00,204.00,1020.00,472.00,76.00,0.00,2021.00,2021.00,0.00,4108.00
1960:Q3,4301.00,28.00,0.00,0.00,0.00,1124.00,0.00,-284.00,52.00,148.00,1208.00,496.00,84.00,0.00,2569.00,2569.00,0.00,4300.00
1960:Q4,4461.00,28.00,0.00,0.00,0.00,1756.00,0.00,232.00,48.00,52.00,1424.00,468.00,104.00,0.00,2105.00,2105.00,0.00,4460.00
1961:Q1,4509.00,32.00,0.00,0.00,0.00,2220.00,0.00,576.00,72.00,-28.00,1600.00,456.00,128.00,0.00,1673.00,1673.00,0.00,4508.00
