date,FA224090055.Q,FA223034055.Q,FA223064255.Q,FA223090055.Q,FA223095505.Q,FA223093053.Q,FA224090055.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00
