date,FA413065005.Q,FA413065105.Q,FA413065405.Q,FA413065505.Q,FA413065605.Q,FA413065005.Q
1945:Q4,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND
1946:Q4,0.00,0.00,0.00,0.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND
1947:Q4,0.00,0.00,0.00,0.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND
1948:Q4,4.00,0.00,0.00,0.00,4.00,4.00
1949:Q1,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND
1949:Q4,3.00,0.00,0.00,0.00,3.00,3.00
1950:Q1,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND
1950:Q4,25.00,0.00,0.00,0.00,25.00,25.00
1951:Q1,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND
1951:Q4,11.00,0.00,0.00,0.00,11.00,11.00
1952:Q1,8.00,0.00,0.00,0.00,8.00,8.00
1952:Q2,8.00,0.00,0.00,0.00,8.00,8.00
1952:Q3,12.00,0.00,0.00,0.00,12.00,12.00
1952:Q4,12.00,0.00,0.00,0.00,12.00,12.00
1953:Q1,8.00,0.00,0.00,0.00,8.00,8.00
1953:Q2,4.00,0.00,0.00,0.00,4.00,4.00
1953:Q3,8.00,0.00,0.00,0.00,8.00,8.00
1953:Q4,8.00,0.00,0.00,0.00,8.00,8.00
1954:Q1,4.00,0.00,0.00,0.00,4.00,4.00
1954:Q2,4.00,0.00,0.00,0.00,4.00,4.00
1954:Q3,32.00,0.00,0.00,0.00,32.00,32.00
1954:Q4,32.00,0.00,0.00,0.00,32.00,32.00
1955:Q1,32.00,0.00,0.00,0.00,32.00,32.00
1955:Q2,36.00,0.00,0.00,0.00,36.00,36.00
1955:Q3,40.00,0.00,0.00,0.00,40.00,40.00
1955:Q4,44.00,0.00,0.00,0.00,44.00,44.00
1956:Q1,44.00,0.00,0.00,0.00,44.00,44.00
1956:Q2,44.00,0.00,0.00,0.00,44.00,44.00
1956:Q3,20.00,0.00,0.00,0.00,20.00,20.00
1956:Q4,24.00,0.00,0.00,0.00,24.00,24.00
1957:Q1,32.00,0.00,0.00,0.00,32.00,32.00
