date,FA616000105.Q,FA615013005.Q,FA614090005.Q,FA613020003.Q,FA613030003.Q,FA613063003.Q,FA614023005.Q,FA613069500.Q,FA613065000.Q,FA613066005.Q,FA613092003.Q,FA613090005.Q,FA614190005.Q,FA614122005.Q,FA613169100.Q,FA613163005.Q,FA614123005.Q,FA613168000.Q,FA613169005.Q,FA613178003.Q,FA613192003.Q,FA613190005.Q,FA613194003.Q,FA613193005.Q,FA617005005.Q,FA613066303.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,14.00,37.00,716.00,-6.00,-2.00,0.00,630.00,-53.00,99.00,584.00,4.00,90.00,867.00,205.00,143.00,62.00,494.00,494.00,0.00,9.00,0.00,159.00,0.00,159.00,128.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,24.00,29.00,685.00,-47.00,-16.00,0.00,689.00,-237.00,61.00,865.00,5.00,54.00,760.00,253.00,122.00,131.00,264.00,264.00,0.00,18.00,0.00,225.00,0.00,225.00,70.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,41.00,29.00,1105.00,131.00,44.00,0.00,946.00,110.00,-11.00,847.00,7.00,-23.00,1214.00,615.00,179.00,436.00,586.00,586.00,0.00,27.00,1.00,-15.00,0.00,-15.00,121.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,103.00,32.00,1112.00,84.00,28.00,0.00,931.00,-243.00,75.00,1099.00,9.00,60.00,1161.00,475.00,168.00,307.00,499.00,499.00,0.00,21.00,0.00,166.00,0.00,166.00,120.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,120.00,30.00,1718.00,126.00,42.00,0.00,1392.00,216.00,166.00,1010.00,10.00,148.00,1759.00,252.00,38.00,214.00,1182.00,1182.00,0.00,65.00,0.00,260.00,0.00,260.00,131.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,126.00,124.00,439.00,88.00,29.00,0.00,422.00,234.00,-98.00,286.00,12.00,-112.00,629.00,736.00,350.00,386.00,-77.00,-77.00,0.00,47.00,0.00,-77.00,0.00,-77.00,192.00,0.00
1952:Q1,145.00,160.00,292.00,20.00,8.00,0.00,580.00,-596.00,480.00,696.00,12.00,-328.00,1724.00,580.00,1016.00,-436.00,472.00,472.00,0.00,140.00,0.00,532.00,0.00,532.00,1417.00,0.00
1952:Q2,146.00,162.00,3332.00,24.00,8.00,0.00,2628.00,628.00,144.00,1856.00,12.00,660.00,2056.00,1068.00,740.00,328.00,584.00,584.00,0.00,-88.00,4.00,488.00,0.00,488.00,-1293.00,0.00
1952:Q3,159.00,149.00,2168.00,24.00,8.00,0.00,1976.00,876.00,232.00,868.00,12.00,148.00,1436.00,400.00,512.00,-112.00,524.00,524.00,0.00,112.00,4.00,396.00,0.00,396.00,-723.00,0.00
1952:Q4,144.00,161.00,3768.00,24.00,8.00,0.00,3332.00,816.00,112.00,2404.00,12.00,392.00,2688.00,-572.00,-852.00,280.00,2900.00,2900.00,0.00,-28.00,-4.00,392.00,0.00,392.00,-1097.00,0.00
1953:Q1,190.00,101.00,1596.00,16.00,4.00,0.00,2800.00,684.00,-468.00,2584.00,12.00,-1236.00,1360.00,2340.00,768.00,1572.00,-748.00,-748.00,0.00,-128.00,4.00,-108.00,0.00,-108.00,-147.00,0.00
