date,FA666000105.Q,FA665013005.Q,FA664090005.Q,FA663020003.Q,FA662051003.Q,FA664022005.Q,FA663069103.Q,FA663061105.Q,FA663061703.Q,FA663062003.Q,FA663063005.Q,FA663069005.Q,FA663064103.Q,FA663092003.Q,FA663090005.Q,FA664190005.Q,FA662151003.Q,FA663163003.Q,FA664123005.Q,FA663168005.Q,FA153067005.Q,FA663164103.Q,FA663170003.Q,FA663178003.Q,FA663192005.Q,FA663190005.Q,FA663194005.Q,FA663193005.Q,FA662090205.Q,FA667005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,31.00,30.00,-1600.00,229.00,0.00,-1067.00,0.00,-964.00,0.00,0.00,-103.00,-658.00,-104.00,4.00,-4.00,-1600.00,0.00,0.00,-1610.00,-1649.00,39.00,0.00,15.00,3.00,3.00,-11.00,0.00,-11.00,0.00,1.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,30.00,38.00,-792.00,-101.00,0.00,-743.00,0.00,-655.00,0.00,-97.00,9.00,42.00,10.00,6.00,-6.00,-791.00,0.00,0.00,-784.00,-711.00,-73.00,0.00,15.00,-7.00,3.00,-18.00,0.00,-18.00,0.00,-7.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,36.00,39.00,485.00,-71.00,0.00,584.00,0.00,558.00,0.00,24.00,2.00,-31.00,3.00,8.00,-8.00,485.00,0.00,0.00,486.00,492.00,-6.00,0.00,10.00,-1.00,-2.00,-8.00,0.00,-8.00,0.00,-3.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,53.00,51.00,535.00,-68.00,0.00,53.00,0.00,-117.00,0.00,-15.00,185.00,364.00,186.00,8.00,-8.00,523.00,0.00,0.00,520.00,472.00,48.00,0.00,15.00,3.00,4.00,-19.00,0.00,-19.00,0.00,-10.00
