date,FA086902005.Q,FA156901001.Q,FA155011001.Q,FA156901035.Q,FA156901041.Q,FA835019905.Q,FA835019005.Q,FA835013001.Q,FA165013005.Q,FA105013005.Q,FA115013005.Q,FA795013005.Q,FA835012001.Q,FA155012005.Q,FA105012005.Q,FA115012005.Q,FA645012063.Q,FA145020005.Q,FA105020005.Q,FA115020005.Q,FA266903005.Q,FA266903011.Q,FA266903001.Q,FA366902005.Q,FA366901005.Q,FA316901001.Q,FA206901001.Q,FA365019005.Q,FA315019001.Q,FA205019001.Q,FA266904005.Q,FA266904001.Q,FA266904101.Q,FA086902105.Q,FA155420003.Q,FA105420005.Q,FA315420003.Q,FA205420003.Q,FA265420005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,227812.00,144303.00,17113.00,69130.00,58060.00,33129.00,27118.00,19163.00,597.00,13306.00,4711.00,549.00,7955.00,6794.00,46.00,1115.00,0.00,6011.00,5891.00,120.00,7182.00,14156.00,6974.00,43198.00,38490.00,28982.00,9508.00,4708.00,3079.00,1629.00,652.00,1092.00,440.00,228464.00,0.00,-70.00,0.00,70.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,249945.00,161979.00,21833.00,77595.00,62551.00,37130.00,37680.00,25471.00,747.00,17213.00,6880.00,631.00,12209.00,10394.00,72.00,1743.00,0.00,-550.00,1141.00,-1691.00,10807.00,18740.00,7933.00,40029.00,34346.00,23020.00,11326.00,5683.00,2793.00,2890.00,1110.00,1597.00,487.00,251055.00,0.00,-90.00,0.00,90.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
