date,FA793120005.Q,FA713120005.Q,FA713123005.Q,FA713124003.Q,FA713122605.Q,FA713125005.Q,FA763127005.Q,FA763123005.Q,FA763122605.Q,FA763129205.Q,FA753127005.Q,FA753122603.Q,FA753129205.Q,FA743127003.Q,FA473127003.Q,FA793120005.Q,FA153020005.Q,FA143020005.Q,FA103020005.Q,FA113020005.Q,FA313020005.Q,FA213020005.Q,FA793020005.Q,FA513020003.Q,FA543020005.Q,FA573020005.Q,FA223020043.Q,FA633020000.Q,FA403020005.Q,FA613020003.Q,FA643020005.Q,FA663020003.Q,FA263020005.Q,FA263027003.Q,FA263025003.Q,FA903020005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-14577.00,-737.00,-599.00,0.00,-398.00,260.00,-13761.00,-21521.00,27.00,7733.00,-63.00,-26.00,-37.00,-16.00,0.00,-14577.00,5198.00,1159.00,555.00,604.00,-22723.00,867.00,436.00,189.00,-6.00,20.00,8.00,0.00,2.00,-6.00,0.00,229.00,-397.00,-397.00,0.00,883.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1105.00,-1087.00,-459.00,0.00,-374.00,-254.00,2243.00,-1646.00,-192.00,4081.00,-14.00,4.00,-18.00,-37.00,0.00,1105.00,-120.00,2105.00,1955.00,150.00,-552.00,733.00,315.00,182.00,246.00,30.00,8.00,0.00,-3.00,-47.00,0.00,-101.00,-562.00,-562.00,0.00,-814.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
