date,FA894122005.Q,FA893169175.Q,FA313161105.Q,FA893161705.Q,FA383162005.Q,FA893163005.Q,FA894122005.Q,FA384122005.Q,FA163162003.Q,FA104122005.Q,FA314122005.Q,FA213162005.Q,FA794122005.Q,FA764122005.Q,FA753169603.Q,FA403161705.Q,FA413065005.Q,FA674122005.Q,FA614122005.Q,FA644122005.Q,FA663163003.Q,FA734122005.Q,FA504122005.Q,FA264122005.Q,FA894122005.Q,FA384022005.Q,FA154022005.Q,FA104022005.Q,FA114022005.Q,FA314022005.Q,FA214022005.Q,FA794022005.Q,FA714022005.Q,FA764022005.Q,FA754022005.Q,FA744022003.Q,FA474022005.Q,FA514022005.Q,FA544022005.Q,FA574022005.Q,FA344022005.Q,FA224022045.Q,FA634022005.Q,FA654022005.Q,FA554022005.Q,FA564022005.Q,FA404022005.Q,FA674022005.Q,FA613063003.Q,FA644022005.Q,FA664022005.Q,FA734022605.Q,FA504022005.Q,FA264022005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-21534.00,258.00,-22876.00,92.00,69.00,923.00,-21534.00,-22015.00,0.00,995.00,-23079.00,69.00,573.00,58.00,15.00,295.00,0.00,0.00,205.00,0.00,0.00,0.00,0.00,-92.00,-21534.00,-8662.00,-2269.00,-5636.00,0.00,0.00,-757.00,-12140.00,-912.00,-14358.00,-17.00,-52.00,0.00,594.00,2743.00,249.00,370.00,258.00,0.00,32.00,6.00,0.00,5.00,0.00,0.00,0.00,-1067.00,0.00,9.00,-732.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,-1566.00,192.00,-6371.00,79.00,1611.00,2923.00,-1566.00,-1949.00,0.00,2848.00,-6408.00,1611.00,404.00,28.00,7.00,116.00,0.00,0.00,253.00,0.00,0.00,0.00,0.00,-21.00,-1566.00,165.00,-156.00,-354.00,0.00,0.00,675.00,-2388.00,-791.00,-4345.00,-1.00,-105.00,15.00,732.00,1420.00,251.00,823.00,321.00,0.00,5.00,60.00,0.00,-31.00,0.00,0.00,0.00,-743.00,0.00,1.00,657.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
