date,FA893169175.Q,FA893169105.Q,FA103169100.Q,FA263169105.Q,FA263169110.Q,FA263169123.Q,FA793169100.Q,FA763169103.Q,FA673169105.Q,FA613169100.Q,FA643169173.Q,FA733169103.Q,FA503169105.Q,FA703169605.Q,FA763169603.Q,FA753169603.Q,FA893169175.Q,FA163069103.Q,FA103069100.Q,FA213069103.Q,FA713069603.Q,FA763069175.Q,FA753069603.Q,FA473069153.Q,FA513069103.Q,FA543069105.Q,FA573069105.Q,FA223069143.Q,FA633069175.Q,FA653069100.Q,FA403069105.Q,FA663069103.Q,FA503069105.Q,FA263069103.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,258.00,185.00,42.00,0.00,0.00,0.00,143.00,0.00,0.00,143.00,0.00,0.00,0.00,73.00,58.00,15.00,258.00,85.00,32.00,0.00,0.00,94.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,9.00,16.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,192.00,157.00,35.00,0.00,0.00,0.00,122.00,0.00,0.00,122.00,0.00,0.00,0.00,35.00,28.00,7.00,192.00,18.00,97.00,0.00,0.00,62.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,6.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,171.00,173.00,-6.00,0.00,0.00,0.00,179.00,0.00,0.00,179.00,0.00,0.00,0.00,-2.00,-1.00,-1.00,171.00,131.00,51.00,0.00,0.00,-68.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,-1.00,49.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
