date,FA313161105.Q,FA313161205.Q,FA313161113.Q,FA313161275.Q,FA313161283.Q,FA313161305.Q,FA313161400.Q,FA213061120.Q,FA343061123.Q,FA343061145.Q,FA313161375.Q,FA893061105.Q,FA153061105.Q,FA313161400.Q,FA153061185.Q,FA103061103.Q,FA113061003.Q,FA213061105.Q,FA213061120.Q,FA213061103.Q,FA713061100.Q,FA713061113.Q,FA713061125.Q,FA763061100.Q,FA753061103.Q,FA743061103.Q,FA473061105.Q,FA513061103.Q,FA513061113.Q,FA513061125.Q,FA543061105.Q,FA543061113.Q,FA543061125.Q,FA573061105.Q,FA573061143.Q,FA573061133.Q,FA343061105.Q,FA343061165.Q,FA343061155.Q,FA223061143.Q,FA633061105.Q,FA633061110.Q,FA633061120.Q,FA653061105.Q,FA653061113.Q,FA653061125.Q,FA553061103.Q,FA563061103.Q,FA403061105.Q,FA673061103.Q,FA663061105.Q,FA733061103.Q,FA263061105.Q,FA263061110.Q,FA263061120.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-22876.00,-24462.00,-8172.00,-16290.00,0.00,1586.00,1216.00,0.00,0.00,370.00,0.00,-22876.00,-1390.00,1216.00,-2606.00,-5729.00,0.00,-352.00,0.00,-352.00,-912.00,1046.00,-1958.00,-15158.00,-44.00,-65.00,0.00,594.00,0.00,594.00,1046.00,0.00,1046.00,49.00,37.00,12.00,370.00,370.00,0.00,152.00,0.00,0.00,0.00,-5.00,0.00,-5.00,1.00,0.00,5.00,0.00,-964.00,0.00,-474.00,0.00,-474.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,-6371.00,-9279.00,-10664.00,1385.00,0.00,2908.00,2085.00,0.00,0.00,823.00,0.00,-6371.00,-62.00,2085.00,-2147.00,-488.00,0.00,711.00,0.00,711.00,-791.00,-4011.00,3220.00,-5636.00,-24.00,-96.00,15.00,591.00,0.00,591.00,-1595.00,0.00,-1595.00,51.00,38.00,13.00,823.00,823.00,0.00,189.00,0.00,0.00,0.00,12.00,0.00,12.00,15.00,0.00,-31.00,0.00,-655.00,0.00,600.00,0.00,600.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
