date,FA383162005.Q,FA213162005.Q,FA213162400.Q,FA213162200.Q,FA163162003.Q,FA103162000.Q,FA383162005.Q,FA153062005.Q,FA103062003.Q,FA113062003.Q,FA213062003.Q,FA763062000.Q,FA753062003.Q,FA743062003.Q,FA473062005.Q,FA513062003.Q,FA543062005.Q,FA223062043.Q,FA633062000.Q,FA653062003.Q,FA553062003.Q,FA563062003.Q,FA403062005.Q,FA663062003.Q,FA263062003.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,69.00,69.00,1.00,68.00,0.00,0.00,69.00,-52.00,61.00,0.00,-305.00,395.00,6.00,-2.00,0.00,-12.00,-108.00,86.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1611.00,1611.00,199.00,1412.00,0.00,0.00,1611.00,641.00,37.00,0.00,-39.00,886.00,6.00,2.00,0.00,78.00,-5.00,102.00,0.00,0.00,0.00,0.00,0.00,-97.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1334.00,1334.00,165.00,1169.00,0.00,0.00,1334.00,171.00,102.00,0.00,20.00,388.00,6.00,2.00,0.00,229.00,263.00,129.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,986.00,986.00,204.00,782.00,0.00,0.00,986.00,-905.00,33.00,0.00,313.00,902.00,11.00,0.00,0.00,284.00,180.00,183.00,0.00,0.00,0.00,0.00,0.00,-15.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,4525.00,4525.00,393.00,4132.00,0.00,0.00,4525.00,1741.00,167.00,0.00,284.00,1571.00,8.00,20.00,0.00,316.00,100.00,200.00,0.00,0.00,0.00,0.00,0.00,118.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,2115.00,2115.00,312.00,1803.00,0.00,0.00,2115.00,275.00,192.00,0.00,29.00,1128.00,15.00,5.00,0.00,304.00,-10.00,163.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00
1952:Q1,8508.00,8508.00,328.00,8180.00,0.00,0.00,8508.00,6560.00,-76.00,0.00,128.00,1556.00,16.00,4.00,0.00,536.00,-36.00,156.00,0.00,0.00,0.00,0.00,0.00,-336.00,0.00
1952:Q2,10500.00,10500.00,296.00,10204.00,0.00,0.00,10500.00,9988.00,-1348.00,0.00,48.00,1468.00,28.00,0.00,0.00,584.00,-40.00,172.00,0.00,0.00,0.00,0.00,0.00,-400.00,0.00
1952:Q3,4220.00,4220.00,12.00,4208.00,0.00,0.00,4220.00,2444.00,360.00,0.00,32.00,1540.00,-16.00,0.00,0.00,44.00,160.00,176.00,0.00,0.00,0.00,0.00,0.00,-520.00,0.00
1952:Q4,4320.00,4320.00,136.00,4184.00,0.00,0.00,4320.00,1876.00,940.00,0.00,-8.00,200.00,16.00,4.00,0.00,520.00,-40.00,180.00,0.00,0.00,0.00,0.00,0.00,632.00,0.00
1953:Q1,5776.00,5776.00,28.00,5748.00,0.00,0.00,5776.00,3192.00,208.00,0.00,12.00,1656.00,0.00,4.00,0.00,616.00,200.00,200.00,0.00,0.00,0.00,0.00,0.00,-312.00,0.00
1953:Q2,5284.00,5284.00,140.00,5144.00,0.00,0.00,5284.00,4124.00,272.00,0.00,120.00,-60.00,36.00,4.00,0.00,716.00,60.00,212.00,0.00,0.00,0.00,0.00,0.00,-200.00,0.00
