date,FA793068005.Q,FA153168005.Q,FA103168005.Q,FA113168005.Q,FA793168005.Q,FA613168000.Q,FA643168005.Q,FA663168005.Q,FA733168003.Q,FA713068505.Q,FA263168005.Q,FA263168465.Q,FA263168475.Q,FA263168485.Q,FA793068005.Q,FA713068005.Q,FA763068005.Q,FA753068005.Q,FA743068005.Q,FA473068005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3545.00,-116.00,3656.00,827.00,-1155.00,494.00,0.00,-1649.00,0.00,0.00,333.00,13.00,343.00,-23.00,3545.00,99.00,3370.00,76.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3425.00,-18.00,3073.00,647.00,-447.00,264.00,0.00,-711.00,0.00,0.00,170.00,51.00,-105.00,224.00,3425.00,-96.00,3468.00,53.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,2020.00,5.00,684.00,13.00,1078.00,586.00,0.00,492.00,0.00,0.00,240.00,-8.00,202.00,46.00,2020.00,139.00,1823.00,58.00,0.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,-1325.00,16.00,-1894.00,-132.00,971.00,499.00,0.00,472.00,0.00,0.00,-286.00,-12.00,-259.00,-15.00,-1325.00,-119.00,-1349.00,143.00,0.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,5743.00,142.00,3688.00,910.00,1285.00,1182.00,0.00,103.00,0.00,0.00,-282.00,80.00,-26.00,-336.00,5743.00,-69.00,5696.00,116.00,0.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,5129.00,231.00,4209.00,814.00,-278.00,-77.00,0.00,-201.00,0.00,0.00,153.00,166.00,53.00,-66.00,5129.00,2.00,4951.00,176.00,0.00,0.00
1952:Q1,1216.00,1000.00,203.00,569.00,-648.00,472.00,0.00,-1120.00,0.00,0.00,92.00,-312.00,-112.00,516.00,1216.00,52.00,632.00,532.00,0.00,0.00
1952:Q2,4108.00,-292.00,-260.00,496.00,4140.00,584.00,0.00,3556.00,0.00,0.00,24.00,160.00,-160.00,24.00,4108.00,8.00,3788.00,312.00,0.00,0.00
1952:Q3,-348.00,-112.00,1532.00,256.00,-2060.00,524.00,0.00,-2584.00,0.00,0.00,36.00,24.00,56.00,-44.00,-348.00,116.00,-500.00,36.00,0.00,0.00
1952:Q4,6040.00,-1128.00,1708.00,196.00,5264.00,2900.00,0.00,2364.00,0.00,0.00,0.00,-60.00,-88.00,148.00,6040.00,-60.00,6436.00,-336.00,0.00,0.00
