date,FA893170005.Q,FA163170003.Q,FA103170005.Q,FA113170005.Q,FA313170005.Q,FA213170003.Q,FA663170003.Q,FA263170003.Q,FA893070005.Q,FA103070005.Q,FA113070003.Q,FA313070000.Q,FA213070003.Q,FA513070003.Q,FA673070003.Q,FA263070003.Q,FA903070005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6121.00,167.00,6351.00,1498.00,-2013.00,146.00,15.00,-43.00,3204.00,2758.00,1005.00,-800.00,123.00,117.00,0.00,1.00,2917.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3774.00,100.00,3364.00,1016.00,-666.00,-132.00,15.00,77.00,5474.00,4975.00,311.00,-100.00,211.00,100.00,0.00,-23.00,-1700.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,2974.00,80.00,1591.00,1131.00,0.00,143.00,10.00,19.00,2220.00,2046.00,70.00,0.00,86.00,74.00,0.00,-56.00,754.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,206.00,33.00,-260.00,260.00,0.00,161.00,15.00,-3.00,-904.00,-960.00,61.00,0.00,-35.00,71.00,0.00,-41.00,1110.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,10528.00,67.00,7978.00,1258.00,1100.00,114.00,15.00,-4.00,11961.00,9943.00,1096.00,400.00,460.00,17.00,0.00,45.00,-1433.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1781.00,83.00,-368.00,325.00,1600.00,86.00,10.00,45.00,4533.00,3381.00,-117.00,900.00,238.00,110.00,0.00,21.00,-2752.00
