date,FA883140005.Q,FA313140003.Q,FA543140005.Q,FA883140005.Q,FA153040005.Q,FA763040005.Q,FA733040005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3800.00,1165.00,2635.00,3800.00,3800.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3150.00,605.00,2545.00,3150.00,3150.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND
1948:Q4,2843.00,213.00,2630.00,2843.00,2843.00,0.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND
1949:Q4,2751.00,84.00,2667.00,2751.00,2751.00,0.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND
1950:Q4,2945.00,309.00,2636.00,2945.00,2945.00,0.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND
1951:Q4,2728.00,173.00,2555.00,2728.00,2728.00,0.00,0.00
1952:Q1,2672.00,60.00,2612.00,2672.00,2672.00,0.00,0.00
1952:Q2,2832.00,80.00,2752.00,2832.00,2832.00,0.00,0.00
1952:Q3,2956.00,32.00,2924.00,2956.00,2956.00,0.00,0.00
1952:Q4,3092.00,0.00,3092.00,3092.00,3092.00,0.00,0.00
1953:Q1,3096.00,32.00,3064.00,3096.00,3096.00,0.00,0.00
1953:Q2,3040.00,72.00,2968.00,3040.00,3040.00,0.00,0.00
1953:Q3,2952.00,100.00,2852.00,2952.00,2952.00,0.00,0.00
1953:Q4,2840.00,92.00,2748.00,2840.00,2840.00,0.00,0.00
1954:Q1,2768.00,-52.00,2820.00,2768.00,2768.00,0.00,0.00
1954:Q2,2716.00,-236.00,2952.00,2716.00,2716.00,0.00,0.00
1954:Q3,2676.00,-400.00,3076.00,2676.00,2676.00,0.00,0.00
1954:Q4,2648.00,-508.00,3156.00,2648.00,2648.00,0.00,0.00
1955:Q1,2728.00,-396.00,3124.00,2728.00,2728.00,0.00,0.00
1955:Q2,2836.00,-208.00,3044.00,2836.00,2836.00,0.00,0.00
1955:Q3,3032.00,4.00,3028.00,3032.00,3032.00,0.00,0.00
1955:Q4,3024.00,-60.00,3084.00,3024.00,3024.00,0.00,0.00
1956:Q1,3400.00,232.00,3168.00,3400.00,3400.00,0.00,0.00
1956:Q2,3636.00,360.00,3276.00,3636.00,3636.00,0.00,0.00
1956:Q3,3564.00,344.00,3220.00,3564.00,3564.00,0.00,0.00
1956:Q4,3280.00,276.00,3004.00,3280.00,3280.00,0.00,0.00
1957:Q1,2976.00,184.00,2792.00,2976.00,2976.00,0.00,0.00
1957:Q2,2668.00,88.00,2580.00,2668.00,2668.00,0.00,0.00
1957:Q3,2596.00,48.00,2548.00,2596.00,2596.00,0.00,0.00
1957:Q4,2712.00,28.00,2684.00,2712.00,2712.00,0.00,0.00
1958:Q1,2884.00,28.00,2856.00,2884.00,2884.00,0.00,0.00
1958:Q2,3100.00,44.00,3056.00,3100.00,3100.00,0.00,0.00
1958:Q3,3176.00,64.00,3112.00,3176.00,3176.00,0.00,0.00
1958:Q4,3132.00,88.00,3044.00,3132.00,3132.00,0.00,0.00
1959:Q1,3184.00,108.00,3076.00,3184.00,3184.00,0.00,0.00
1959:Q2,3208.00,124.00,3084.00,3208.00,3208.00,0.00,0.00
1959:Q3,3444.00,112.00,3332.00,3444.00,3444.00,0.00,0.00
1959:Q4,3848.00,92.00,3756.00,3848.00,3848.00,0.00,0.00
