date,FA153050005.Q,FA543150005.Q,FA574190005.Q,FA344090005.Q,FA224190005.Q,FA153050005.Q,FA893131573.Q,FA763131573.Q,FA473131573.Q,FA543131503.Q,FA633131573.Q,FA653131573.Q,FA153131575.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6555.00,400.00,1380.00,3892.00,883.00,6555.00,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,6558.00,500.00,1517.00,3435.00,1106.00,6558.00,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,6948.00,600.00,1364.00,3633.00,1351.00,6948.00,ND,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,7417.00,625.00,1270.00,3962.00,1560.00,7417.00,ND,ND,ND,ND,ND,ND,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,8212.00,775.00,1002.00,4729.00,1706.00,8212.00,ND,ND,ND,ND,ND,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,13708.00,975.00,4564.00,6291.00,1878.00,13708.00,ND,ND,ND,ND,ND,ND,ND
1952:Q1,16024.00,1080.00,5972.00,6960.00,2012.00,16024.00,ND,ND,ND,ND,ND,ND,ND
1952:Q2,14912.00,1136.00,4608.00,7100.00,2068.00,14912.00,ND,ND,ND,ND,ND,ND,ND
1952:Q3,15184.00,1152.00,4608.00,7280.00,2144.00,15184.00,ND,ND,ND,ND,ND,ND,ND
1952:Q4,15636.00,1132.00,4960.00,7352.00,2192.00,15636.00,ND,ND,ND,ND,ND,ND,ND
1953:Q1,15848.00,1120.00,5300.00,7240.00,2188.00,15848.00,ND,ND,ND,ND,ND,ND,ND
1953:Q2,16428.00,1116.00,5700.00,7356.00,2256.00,16428.00,ND,ND,ND,ND,ND,ND,ND
1953:Q3,16704.00,1120.00,5792.00,7460.00,2332.00,16704.00,ND,ND,ND,ND,ND,ND,ND
1953:Q4,16512.00,1144.00,5496.00,7480.00,2392.00,16512.00,ND,ND,ND,ND,ND,ND,ND
1954:Q1,15896.00,1152.00,5004.00,7344.00,2396.00,15896.00,ND,ND,ND,ND,ND,ND,ND
1954:Q2,15744.00,1152.00,4648.00,7464.00,2480.00,15744.00,ND,ND,ND,ND,ND,ND,ND
1954:Q3,15852.00,1176.00,4508.00,7608.00,2560.00,15852.00,ND,ND,ND,ND,ND,ND,ND
1954:Q4,16116.00,1220.00,4596.00,7688.00,2612.00,16116.00,ND,ND,ND,ND,ND,ND,ND
1955:Q1,16208.00,1288.00,4708.00,7608.00,2604.00,16208.00,ND,ND,ND,ND,ND,ND,ND
1955:Q2,16816.00,1364.00,4992.00,7776.00,2684.00,16816.00,ND,ND,ND,ND,ND,ND,ND
1955:Q3,17212.00,1364.00,5136.00,7936.00,2776.00,17212.00,ND,ND,ND,ND,ND,ND,ND
1955:Q4,17188.00,1284.00,5056.00,8008.00,2840.00,17188.00,ND,ND,ND,ND,ND,ND,ND
1956:Q1,17204.00,1196.00,5116.00,8016.00,2876.00,17204.00,ND,ND,ND,ND,ND,ND,ND
1956:Q2,17624.00,1084.00,5428.00,8168.00,2944.00,17624.00,ND,ND,ND,ND,ND,ND,ND
1956:Q3,18800.00,1120.00,6144.00,8492.00,3044.00,18800.00,ND,ND,ND,ND,ND,ND,ND
1956:Q4,20424.00,1300.00,7212.00,8800.00,3112.00,20424.00,ND,ND,ND,ND,ND,ND,ND
1957:Q1,21516.00,1472.00,7996.00,8932.00,3116.00,21516.00,ND,ND,ND,ND,ND,ND,ND
1957:Q2,22912.00,1644.00,8716.00,9324.00,3228.00,22912.00,ND,ND,ND,ND,ND,ND,ND
1957:Q3,23364.00,1684.00,8668.00,9652.00,3360.00,23364.00,ND,ND,ND,ND,ND,ND,ND
1957:Q4,22764.00,1600.00,7900.00,9796.00,3468.00,22764.00,ND,ND,ND,ND,ND,ND,ND
1958:Q1,21576.00,1500.00,6916.00,9664.00,3496.00,21576.00,ND,ND,ND,ND,ND,ND,ND
1958:Q2,21216.00,1404.00,6352.00,9836.00,3624.00,21216.00,ND,ND,ND,ND,ND,ND,ND
1958:Q3,21616.00,1452.00,6412.00,10024.00,3728.00,21616.00,ND,ND,ND,ND,ND,ND,ND
1958:Q4,22612.00,1644.00,7072.00,10128.00,3768.00,22612.00,ND,ND,ND,ND,ND,ND,ND
