date,FA152090205.Q,FA112090205.Q,FA662090205.Q
1945:Q4,ND,ND,ND
1946:Q1,ND,ND,ND
1946:Q2,ND,ND,ND
1946:Q3,ND,ND,ND
1946:Q4,571.00,571.00,0.00
1947:Q1,ND,ND,ND
1947:Q2,ND,ND,ND
1947:Q3,ND,ND,ND
1947:Q4,88.00,88.00,0.00
1948:Q1,ND,ND,ND
1948:Q2,ND,ND,ND
1948:Q3,ND,ND,ND
1948:Q4,4820.00,4820.00,0.00
1949:Q1,ND,ND,ND
1949:Q2,ND,ND,ND
1949:Q3,ND,ND,ND
1949:Q4,1412.00,1412.00,0.00
1950:Q1,ND,ND,ND
1950:Q2,ND,ND,ND
1950:Q3,ND,ND,ND
1950:Q4,2103.00,2103.00,0.00
1951:Q1,ND,ND,ND
1951:Q2,ND,ND,ND
1951:Q3,ND,ND,ND
1951:Q4,1710.00,1710.00,0.00
1952:Q1,5579.00,5579.00,0.00
1952:Q2,-6.00,-6.00,0.00
1952:Q3,1705.00,1705.00,0.00
1952:Q4,2876.00,2876.00,0.00
1953:Q1,1568.00,1568.00,0.00
1953:Q2,-453.00,-453.00,0.00
1953:Q3,717.00,717.00,0.00
1953:Q4,9820.00,9820.00,0.00
1954:Q1,-1745.00,-1745.00,0.00
1954:Q2,-3056.00,-3056.00,0.00
1954:Q3,-3067.00,-3067.00,0.00
1954:Q4,3534.00,3534.00,0.00
1955:Q1,-554.00,-554.00,0.00
1955:Q2,-4618.00,-4618.00,0.00
1955:Q3,-2602.00,-2602.00,0.00
1955:Q4,3469.00,3469.00,0.00
1956:Q1,751.00,751.00,0.00
1956:Q2,-2442.00,-2442.00,0.00
1956:Q3,-1400.00,-1400.00,0.00
1956:Q4,3164.00,3164.00,0.00
1957:Q1,1114.00,1114.00,0.00
1957:Q2,-33.00,-33.00,0.00
1957:Q3,82.00,82.00,0.00
1957:Q4,410.00,410.00,0.00
1958:Q1,2987.00,2987.00,0.00
1958:Q2,1887.00,1887.00,0.00
1958:Q3,3222.00,3222.00,0.00
1958:Q4,3442.00,3442.00,0.00
1959:Q1,-2925.00,-2925.00,0.00
1959:Q2,-7727.00,-7727.00,0.00
1959:Q3,-6828.00,-6828.00,0.00
1959:Q4,-592.00,-592.00,0.00
1960:Q1,-200.00,-200.00,0.00
1960:Q2,-1772.00,-1772.00,0.00
1960:Q3,-855.00,-855.00,0.00
1960:Q4,-721.00,-721.00,0.00
1961:Q1,-5154.00,-5154.00,0.00
1961:Q2,963.00,963.00,0.00
1961:Q3,625.00,625.00,0.00
1961:Q4,4507.00,4507.00,0.00
1962:Q1,1547.00,1547.00,0.00
1962:Q2,-609.00,-609.00,0.00
1962:Q3,421.00,421.00,0.00
1962:Q4,937.00,937.00,0.00
1963:Q1,2265.00,2265.00,0.00
1963:Q2,633.00,633.00,0.00
1963:Q3,2238.00,2238.00,0.00
1963:Q4,3558.00,3558.00,0.00
1964:Q1,2791.00,2791.00,0.00
1964:Q2,227.00,227.00,0.00
1964:Q3,1187.00,1187.00,0.00
1964:Q4,5346.00,5346.00,0.00
1965:Q1,3236.00,3236.00,0.00
1965:Q2,1735.00,1735.00,0.00
1965:Q3,3467.00,3467.00,0.00
1965:Q4,6610.00,6610.00,0.00
1966:Q1,1199.00,1199.00,0.00
1966:Q2,1474.00,1474.00,0.00
1966:Q3,5483.00,5483.00,0.00
1966:Q4,5827.00,5827.00,0.00
1967:Q1,6677.00,6677.00,0.00
1967:Q2,-1090.00,-1090.00,0.00
1967:Q3,-236.00,-236.00,0.00
1967:Q4,-1615.00,-1615.00,0.00
1968:Q1,10736.00,10736.00,0.00
1968:Q2,1319.00,1319.00,0.00
1968:Q3,923.00,923.00,0.00
1968:Q4,-343.00,-343.00,0.00
1969:Q1,5627.00,5627.00,0.00
1969:Q2,-3000.00,-3000.00,0.00
1969:Q3,-1887.00,-1887.00,0.00
1969:Q4,-184.00,-184.00,0.00
1970:Q1,13776.00,13776.00,0.00
1970:Q2,-3588.00,-3588.00,0.00
1970:Q3,-6473.00,-6473.00,0.00
1970:Q4,-5148.00,-5148.00,0.00
