date,FA893193005.Q,FA103193005.Q,FA113193003.Q,FA313193005.Q,FA713193005.Q,FA763193005.Q,FA753193005.Q,FA743193005.Q,FA473193005.Q,FA543193005.Q,FA403193005.Q,FA613193005.Q,FA643193005.Q,FA663193005.Q,FA733193005.Q,FA503193005.Q,FA893093005.Q,FA103093005.Q,FA113093005.Q,FA313093003.Q,FA213093003.Q,FA713093005.Q,FA763093005.Q,FA753093005.Q,FA743093005.Q,FA473093005.Q,FA543093005.Q,FA573093005.Q,FA223093005.Q,FA633093005.Q,FA653093005.Q,FA563093003.Q,FA403093005.Q,FA613093005.Q,FA643093005.Q,FA663093005.Q,FA733093005.Q,FA903090005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-819.00,-737.00,0.00,-400.00,-84.00,374.00,0.00,-21.00,8.00,83.00,-202.00,159.00,0.00,-8.00,0.00,9.00,-2630.00,-306.00,0.00,0.00,0.00,-19.00,-2324.00,0.00,44.00,-1.00,7.00,-91.00,0.00,0.00,0.00,0.00,-26.00,90.00,0.00,-4.00,0.00,1811.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,19.00,-466.00,0.00,-400.00,240.00,126.00,0.00,-2.00,7.00,278.00,25.00,225.00,0.00,-15.00,0.00,1.00,261.00,378.00,0.00,0.00,0.00,69.00,-445.00,0.00,53.00,-2.00,-15.00,200.00,0.00,0.00,0.00,0.00,-25.00,54.00,0.00,-6.00,0.00,-242.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
