date,FA086010005.Q,FA156025105.Q,FA156020101.Q,FA156401101.Q,FA146111105.Q,FA116112103.Q,FA096060035.Q,FA096060025.Q,FA096060005.Q,FA106060005.Q,FA796060005.Q,FA266060005.Q,FA096231001.Q,FA106231005.Q,FA796231003.Q,FA096060015.Q,FA096121073.Q,FA106121075.Q,FA796121073.Q,FA266121073.Q,FA096006401.Q,FA106006405.Q,FA796006403.Q,FA266006403.Q,FA105020601.Q,FA096310003.Q,FA106310005.Q,FA796310003.Q,FA086130003.Q,FA366240005.Q,FA366402005.Q,FA146403005.Q,FA156403101.Q,FA366403145.Q,FA266403101.Q,FA366402105.Q,FA086010005.Q,FA836300005.Q,FA366300005.Q,FA087005005.Q,FA266904005.Q,FA086902005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,201470.00,122590.00,112005.00,10585.00,35671.00,6898.00,18243.00,20300.00,25563.00,22603.00,2194.00,766.00,9104.00,8573.00,531.00,16459.00,5574.00,4781.00,293.00,500.00,10885.00,9249.00,1370.00,266.00,-5263.00,-2057.00,-1909.00,-148.00,1906.00,16832.00,1728.00,692.00,428.00,264.00,0.00,366.00,201470.00,14248.00,11523.00,1223.00,652.00,227812.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,219003.00,132491.00,123097.00,9394.00,34579.00,6889.00,24164.00,26737.00,32636.00,29709.00,1942.00,985.00,11268.00,10777.00,491.00,21368.00,6321.00,5359.00,273.00,689.00,15047.00,13573.00,1178.00,296.00,-5899.00,-2573.00,-2369.00,-204.00,2454.00,18106.00,735.00,715.00,392.00,323.00,0.00,340.00,219003.00,17735.00,11465.00,2854.00,1110.00,249945.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,245140.00,144470.00,135550.00,8920.00,39279.00,7484.00,31393.00,34350.00,36502.00,32493.00,2748.00,1261.00,12421.00,11681.00,740.00,24081.00,7036.00,5877.00,323.00,836.00,17045.00,14935.00,1685.00,425.00,-2152.00,-2957.00,-2727.00,-230.00,2617.00,19726.00,815.00,708.00,371.00,337.00,0.00,278.00,245140.00,20822.00,10571.00,-271.00,1456.00,274807.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,240049.00,144512.00,134733.00,9779.00,34690.00,7798.00,29058.00,31898.00,30042.00,25616.00,3301.00,1125.00,10203.00,9262.00,941.00,19839.00,7238.00,6040.00,366.00,832.00,12601.00,10314.00,1994.00,293.00,1856.00,-2840.00,-2632.00,-208.00,2893.00,20904.00,822.00,689.00,355.00,334.00,0.00,327.00,240049.00,22591.00,9746.00,1721.00,1280.00,272827.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,266959.00,158465.00,147253.00,11212.00,37514.00,8779.00,36059.00,38816.00,43781.00,39202.00,3310.00,1269.00,17925.00,16764.00,1161.00,25856.00,8838.00,7375.00,479.00,984.00,17018.00,15063.00,1670.00,285.00,-4965.00,-2757.00,-2502.00,-255.00,3207.00,22950.00,1197.00,824.00,555.00,269.00,0.00,358.00,266959.00,24332.00,9098.00,1249.00,1440.00,300198.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,308008.00,185927.00,171607.00,14320.00,42594.00,9719.00,41198.00,44181.00,45380.00,39909.00,3727.00,1744.00,22559.00,21104.00,1455.00,22821.00,8570.00,7042.00,366.00,1162.00,14251.00,11763.00,1906.00,582.00,-1199.00,-2983.00,-2699.00,-284.00,3709.00,24745.00,1448.00,1160.00,873.00,287.00,0.00,404.00,308008.00,27746.00,10012.00,3421.00,1892.00,347294.00
1952:Q1,318911.00,196350.00,181006.00,15344.00,41691.00,10400.00,40027.00,42862.00,41590.00,35655.00,4030.00,1905.00,19804.00,18228.00,1576.00,21786.00,8156.00,6660.00,348.00,1148.00,13630.00,10767.00,2106.00,757.00,1272.00,-2835.00,-2543.00,-292.00,3949.00,26087.00,1241.00,1216.00,912.00,304.00,0.00,432.00,318911.00,28977.00,10577.00,3731.00,2001.00,360195.00
1952:Q2,320854.00,197679.00,182120.00,15559.00,42957.00,10665.00,38129.00,40823.00,39667.00,33480.00,4307.00,1880.00,18652.00,16976.00,1676.00,21015.00,8712.00,7236.00,400.00,1076.00,12303.00,9268.00,2231.00,804.00,1156.00,-2694.00,-2400.00,-294.00,4090.00,26918.00,1200.00,1203.00,896.00,307.00,0.00,413.00,320854.00,29317.00,10892.00,2370.00,2019.00,361414.00
1952:Q3,327392.00,201756.00,185952.00,15804.00,44745.00,10931.00,38071.00,40598.00,39898.00,33435.00,4547.00,1916.00,18608.00,16836.00,1772.00,21290.00,8600.00,7056.00,424.00,1120.00,12690.00,9543.00,2351.00,796.00,700.00,-2527.00,-2233.00,-294.00,4162.00,27334.00,1184.00,1186.00,876.00,310.00,0.00,391.00,327392.00,29712.00,11290.00,1672.00,1982.00,368084.00
1952:Q4,338938.00,209579.00,193466.00,16113.00,42762.00,11266.00,42432.00,44768.00,43972.00,37341.00,4779.00,1852.00,20532.00,18668.00,1864.00,23440.00,8772.00,7260.00,460.00,1052.00,14668.00,11413.00,2455.00,800.00,796.00,-2336.00,-2044.00,-292.00,4261.00,28145.00,1083.00,1183.00,868.00,315.00,0.00,393.00,338938.00,30162.00,11542.00,2538.00,1939.00,381241.00
1953:Q1,345016.00,213399.00,197069.00,16330.00,42951.00,11584.00,43340.00,45461.00,45893.00,39342.00,4679.00,1872.00,21616.00,19764.00,1852.00,24277.00,8432.00,6848.00,456.00,1128.00,15845.00,12730.00,2371.00,744.00,-432.00,-2121.00,-1832.00,-289.00,4525.00,28746.00,1146.00,1193.00,888.00,305.00,0.00,424.00,345016.00,30668.00,11824.00,2872.00,1908.00,388472.00
1953:Q2,347845.00,216485.00,200027.00,16458.00,42347.00,11894.00,42509.00,44438.00,46034.00,39383.00,4752.00,1899.00,21724.00,19836.00,1888.00,24310.00,9176.00,7440.00,520.00,1216.00,15134.00,12107.00,2344.00,683.00,-1596.00,-1929.00,-1641.00,-288.00,4682.00,29178.00,890.00,1197.00,884.00,313.00,0.00,443.00,347845.00,31140.00,12107.00,3219.00,2052.00,392259.00
1953:Q3,346163.00,216799.00,200146.00,16653.00,41216.00,12161.00,41310.00,43073.00,45077.00,38385.00,4960.00,1732.00,21232.00,19268.00,1964.00,23845.00,9044.00,7416.00,532.00,1096.00,14801.00,11701.00,2464.00,636.00,-2004.00,-1763.00,-1473.00,-290.00,4879.00,29319.00,1136.00,1150.00,836.00,314.00,0.00,465.00,346163.00,31582.00,12224.00,3536.00,1809.00,391696.00
1953:Q4,338551.00,215405.00,198715.00,16690.00,41557.00,12473.00,34016.00,35635.00,35591.00,28908.00,4996.00,1687.00,16576.00,14608.00,1968.00,19015.00,8892.00,7268.00,524.00,1100.00,10123.00,7032.00,2504.00,587.00,44.00,-1619.00,-1326.00,-293.00,5060.00,29161.00,694.00,1076.00,760.00,316.00,0.00,497.00,338551.00,31994.00,12382.00,5423.00,1828.00,386522.00
1954:Q1,340220.00,213416.00,196401.00,17015.00,42680.00,12797.00,36508.00,38007.00,38019.00,31143.00,5036.00,1840.00,16404.00,14320.00,2084.00,21615.00,9436.00,7572.00,540.00,1324.00,12179.00,9251.00,2412.00,516.00,-12.00,-1499.00,-1201.00,-298.00,5309.00,28681.00,663.00,954.00,612.00,342.00,0.00,538.00,340220.00,32374.00,12599.00,2731.00,2000.00,385924.00
1954:Q2,340530.00,212988.00,195957.00,17031.00,42099.00,13015.00,37847.00,39105.00,39141.00,32177.00,5108.00,1856.00,16904.00,14800.00,2104.00,22237.00,8880.00,7048.00,496.00,1336.00,13357.00,10329.00,2508.00,520.00,-36.00,-1258.00,-960.00,-298.00,5575.00,28812.00,1253.00,880.00,532.00,348.00,0.00,567.00,340530.00,32759.00,12948.00,2477.00,1998.00,386716.00
1954:Q3,343927.00,213528.00,196334.00,17194.00,42249.00,13145.00,39895.00,40789.00,41473.00,34465.00,5084.00,1924.00,17920.00,15844.00,2076.00,23553.00,9308.00,7424.00,500.00,1384.00,14245.00,11197.00,2508.00,540.00,-684.00,-894.00,-602.00,-292.00,5807.00,28744.00,908.00,882.00,532.00,350.00,0.00,585.00,343927.00,33151.00,13133.00,3423.00,2038.00,391596.00
1954:Q4,352851.00,217840.00,200360.00,17480.00,41993.00,13288.00,43590.00,43999.00,44539.00,37083.00,5228.00,2228.00,19268.00,17148.00,2120.00,25271.00,9504.00,7384.00,476.00,1644.00,15767.00,12551.00,2632.00,584.00,-540.00,-409.00,-129.00,-280.00,6032.00,29319.00,768.00,944.00,592.00,352.00,0.00,613.00,352851.00,33547.00,13412.00,2880.00,2343.00,400347.00
1955:Q1,365311.00,222224.00,204056.00,18168.00,43665.00,13334.00,48805.00,48607.00,49715.00,42191.00,5288.00,2236.00,21344.00,19460.00,1884.00,28371.00,10048.00,7984.00,496.00,1568.00,18323.00,14747.00,2908.00,668.00,-1108.00,198.00,461.00,-263.00,6193.00,30248.00,944.00,1101.00,732.00,369.00,0.00,685.00,365311.00,33951.00,13501.00,3413.00,2423.00,413753.00
1955:Q2,374675.00,228412.00,209851.00,18561.00,44272.00,13387.00,50106.00,49560.00,50444.00,42857.00,5347.00,2240.00,21608.00,19692.00,1916.00,28836.00,10168.00,8216.00,484.00,1468.00,18668.00,14949.00,2947.00,772.00,-884.00,546.00,801.00,-255.00,6347.00,31228.00,1061.00,1245.00,876.00,369.00,0.00,739.00,374675.00,34529.00,13662.00,1758.00,2398.00,422226.00
1955:Q3,382086.00,234239.00,215246.00,18993.00,44635.00,13442.00,50176.00,49539.00,51731.00,43988.00,5339.00,2404.00,22156.00,20216.00,1940.00,29575.00,10780.00,8704.00,488.00,1588.00,18795.00,15068.00,2911.00,816.00,-2192.00,637.00,892.00,-255.00,6309.00,31941.00,794.00,1370.00,1004.00,366.00,0.00,768.00,382086.00,35281.00,14043.00,1962.00,2447.00,430925.00
1955:Q4,388448.00,238720.00,219451.00,19269.00,44519.00,13527.00,51582.00,51111.00,53871.00,45976.00,5359.00,2536.00,23056.00,21092.00,1964.00,30815.00,10916.00,8756.00,468.00,1692.00,19899.00,16128.00,2927.00,844.00,-2760.00,471.00,734.00,-263.00,6353.00,32451.00,962.00,1472.00,1108.00,364.00,0.00,786.00,388448.00,36209.00,14365.00,1292.00,2527.00,437787.00
