date,FA886000115.Q,FA896006005.Q,FA836006005.Q,FA826006005.Q,FA106012005.Q,FA796012005.Q,FA156006005.Q,FA366006005.Q,FA316006005.Q,FA206006005.Q,FA886300095.Q,FA836300005.Q,FA826300003.Q,FA106300083.Q,FA116300001.Q,FA796300081.Q,FA156300003.Q,FA366300005.Q,FA316300003.Q,FA206300003.Q,FA885090015.Q,FA885019905.Q,FA835019905.Q,FA825019905.Q,FA105019985.Q,FA115050085.Q,FA795013005.Q,FA155019005.Q,FA365019005.Q,FA315019001.Q,FA205019001.Q,FA265430003.Q,FA835430005.Q,FA825430005.Q,FA105430005.Q,FA115440005.Q,FA795440005.Q,FA155430005.Q,FA365430005.Q,FA315430005.Q,FA205430005.Q,FA885000905.Q,FA835000905.Q,FA825000905.Q,FA105000995.Q,FA115000905.Q,FA795000905.Q,FA155000905.Q,FA365000905.Q,FA315000905.Q,FA205000905.Q,FA087005005.Q,FA895404005.Q,FA835404005.Q,FA825404003.Q,FA155404003.Q,FA365404005.Q,FA315404003.Q,FA215404003.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,41527.00,15756.00,23136.00,3565.00,2643.00,922.00,19571.00,-7380.00,-8166.00,786.00,25771.00,14248.00,11948.00,7752.00,3898.00,298.00,2300.00,11523.00,9952.00,1571.00,42754.00,37837.00,33129.00,25738.00,19243.00,5946.00,549.00,7391.00,4708.00,3079.00,1629.00,0.00,808.00,-70.00,-70.00,0.00,0.00,878.00,-808.00,-642.00,-166.00,4917.00,4674.00,-8928.00,-7551.00,-2048.00,671.00,13602.00,243.00,-651.00,894.00,1223.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,49242.00,20042.00,17591.00,6575.00,5893.00,682.00,11016.00,2451.00,2381.00,70.00,29200.00,17735.00,14764.00,9476.00,4904.00,384.00,2971.00,11465.00,9591.00,1874.00,52102.00,42813.00,37130.00,25989.00,18426.00,6932.00,631.00,11141.00,5683.00,2793.00,2890.00,0.00,906.00,-90.00,-90.00,0.00,0.00,996.00,-906.00,-676.00,-230.00,9289.00,150.00,-1700.00,-107.00,-2028.00,435.00,1850.00,9139.00,9855.00,-716.00,2854.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,61513.00,30120.00,29145.00,11936.00,10644.00,1292.00,17209.00,975.00,919.00,56.00,31393.00,20822.00,17397.00,11120.00,5835.00,442.00,3425.00,10571.00,8433.00,2138.00,61250.00,58833.00,50345.00,35850.00,21979.00,13147.00,724.00,14495.00,8488.00,4419.00,4069.00,0.00,952.00,-116.00,-116.00,0.00,0.00,1068.00,-952.00,-619.00,-333.00,2417.00,-1593.00,-6664.00,-362.00,-7312.00,1010.00,5071.00,4010.00,5552.00,-1542.00,-271.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,49553.00,17216.00,25257.00,11617.00,9979.00,1638.00,13640.00,-8041.00,-8527.00,486.00,32337.00,22591.00,18933.00,12008.00,6440.00,485.00,3658.00,9746.00,7570.00,2176.00,51283.00,50404.00,39095.00,25326.00,15256.00,9308.00,762.00,13769.00,11309.00,5912.00,5397.00,0.00,716.00,-199.00,-199.00,0.00,0.00,915.00,-716.00,-368.00,-348.00,879.00,9767.00,7153.00,8660.00,-2868.00,1361.00,2614.00,-8888.00,-6501.00,-2387.00,1721.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
