date,FA895410005.Q,FA825410005.Q,FA795410005.Q,FA515410073.Q,FA795410003.Q,FA105410003.Q,FA115410003.Q,FA365410005.Q,FA315410005.Q,FA205400033.Q,FA315410073.Q,FA315410093.Q,FA315410043.Q,FA315410053.Q,FA315410063.Q,FA205410073.Q,FA205410073.Q,FA155410035.Q,FA315400053.Q,FA205400053.Q,FA265410005.Q,FA265410073.Q,FA265410003.Q,FA895400005.Q,FA825400005.Q,FA795400005.Q,FA515400073.Q,FA795400003.Q,FA105400005.Q,FA105400073.Q,FA105400003.Q,FA115400005.Q,FA115400075.Q,FA115400003.Q,FA365400005.Q,FA315400053.Q,FA315400053.Q,FA205400005.Q,FA205400073.Q,FA205400053.Q,FA205400033.Q,FA205400003.Q,FA155400005.Q,FA155400073.Q,FA155400003.Q,FA265400005.Q,FA265400033.Q,FA265400003.Q,FA825440005.Q,FA795440005.Q,FA515440005.Q,FA765440005.Q,FA765400035.Q,FA765440015.Q,FA405400033.Q,FA735400033.Q,FA505400033.Q,FA105440005.Q,FA115440005.Q,FA365440005.Q,FA315440005.Q,FA205440005.Q,FA155440005.Q,FA265440005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,961.00,0.00,0.00,0.00,0.00,0.00,0.00,83.00,83.00,83.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,878.00,725.00,153.00,0.00,0.00,0.00,961.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,961.00,725.00,725.00,236.00,0.00,153.00,83.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-878.00,-642.00,-236.00,878.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1139.00,0.00,0.00,0.00,0.00,0.00,0.00,143.00,143.00,143.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,996.00,819.00,177.00,0.00,0.00,0.00,1139.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1139.00,819.00,819.00,320.00,0.00,177.00,143.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-996.00,-676.00,-320.00,996.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
