date,FU106060005.Q,FU106231005.Q,FU106121075.Q,FU106300015.Q,FU106000135.Q,FU106006065.Q,FU105020601.Q,FU105440005.Q,FU106000105.Q,FU105090005.Q,FU105050005.Q,FU105019005.Q,FU105020005.Q,FU105420005.Q,FU105000005.Q,FU104090005.Q,FU103091003.Q,FU103020005.Q,FU103030003.Q,FU103034003.Q,FU102051003.Q,FU104022005.Q,FU103069100.Q,FU103061103.Q,FU103061703.Q,FU103062003.Q,FU104023005.Q,FU103065003.Q,FU103066005.Q,FU103064203.Q,FU103070005.Q,FU103092005.Q,FU103090005.Q,FU103076005.Q,FU103092405.Q,FU103094105.Q,FU103093005.Q,FU104190005.Q,FU104122005.Q,FU103169100.Q,FU103162000.Q,FU103163003.Q,FU104123005.Q,FU103168005.Q,FU103169005.Q,FU103165005.Q,FU103164103.Q,FU103170005.Q,FU103178000.Q,FU103192005.Q,FU103190005.Q,FU573074005.Q,FU573073005.Q,FU103193005.Q,FU107005005.Q,FU105005305.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,22603.00,8573.00,4781.00,5843.00,15092.00,256.00,-5263.00,0.00,10085.00,6441.00,19173.00,13352.00,5891.00,-70.00,-12732.00,-1592.00,35.00,555.00,0.00,0.00,0.00,-5636.00,32.00,-5729.00,0.00,61.00,532.00,5.00,527.00,0.00,2758.00,211.00,-47.00,260.00,-1.00,0.00,-306.00,11140.00,995.00,42.00,0.00,953.00,4306.00,3656.00,-145.00,795.00,1018.00,6351.00,-1958.00,-13.00,442.00,0.00,1179.00,-737.00,3644.00,9344.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,29709.00,10777.00,5359.00,7107.00,20680.00,288.00,-5899.00,0.00,15069.00,12981.00,18336.00,17285.00,1141.00,-90.00,-5356.00,8753.00,-17.00,1955.00,0.00,0.00,0.00,-354.00,97.00,-488.00,0.00,37.00,804.00,6.00,798.00,0.00,4975.00,727.00,663.00,285.00,0.00,0.00,378.00,14108.00,2848.00,35.00,0.00,2813.00,4066.00,3073.00,-184.00,1177.00,1093.00,3364.00,2186.00,0.00,551.00,0.00,1017.00,-466.00,2088.00,3555.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
