date,FU116300005.Q,FU116000105.Q,FU116000105.Q,FU115050005.Q,FU115019005.Q,FU115020005.Q,FU115000005.Q,FU114090005.Q,FU113020005.Q,FU113030003.Q,FU113034003.Q,FU114022005.Q,FU113061003.Q,FU113062003.Q,FU114023005.Q,FU113065005.Q,FU113066003.Q,FU113070003.Q,FU113090005.Q,FU113076005.Q,FU113092405.Q,FU113093005.Q,FU114190005.Q,FU114123005.Q,FU113168005.Q,FU113169005.Q,FU113165005.Q,FU113170005.Q,FU113178003.Q,FU115114005.Q,FU113193003.Q,FU112090205.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3902.00,3902.00,3902.00,5943.00,5823.00,120.00,-2040.00,1895.00,604.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,90.00,1005.00,196.00,234.00,-38.00,0.00,3935.00,1865.00,827.00,146.00,892.00,1498.00,0.00,1.00,0.00,571.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,4900.00,4900.00,4900.00,6928.00,8619.00,-1691.00,-2028.00,814.00,150.00,0.00,0.00,0.00,0.00,0.00,112.00,0.00,112.00,311.00,241.00,261.00,-20.00,0.00,2843.00,1739.00,647.00,362.00,730.00,1016.00,0.00,1.00,0.00,86.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,5819.00,5819.00,5819.00,13144.00,10385.00,2759.00,-7324.00,-56.00,-470.00,0.00,0.00,0.00,0.00,0.00,121.00,0.00,121.00,70.00,224.00,221.00,2.00,0.00,7268.00,1314.00,13.00,327.00,975.00,1131.00,0.00,4.00,0.00,4819.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,6422.00,6422.00,6422.00,9306.00,10002.00,-696.00,-2884.00,171.00,-128.00,0.00,0.00,0.00,0.00,0.00,64.00,0.00,64.00,61.00,175.00,172.00,3.00,0.00,3055.00,1382.00,-132.00,278.00,1236.00,260.00,0.00,1.00,0.00,1412.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
