date,FU366010115.Q,FU366210005.Q,FU366240005.Q,FU366231005.Q,FU316231061.Q,FU366601005.Q,FU366150105.Q,FU366403105.Q,FU366402105.Q,FU366900015.Q,FU366901005.Q,FU366404005.Q,FU366403005.Q,FU366130005.Q,FU366402005.Q,FU366006005.Q,FU366300005.Q,FU313154015.Q,FU365440095.Q,FU366000105.Q,FU365090005.Q,FU365019005.Q,FU365420005.Q,FU365000005.Q,FU364090005.Q,FU313011005.Q,FU363020005.Q,FU363030005.Q,FU213034003.Q,FU212051003.Q,FU364022005.Q,FU213069103.Q,FU213061105.Q,FU363061705.Q,FU213062003.Q,FU363063005.Q,FU364023005.Q,FU363065005.Q,FU313066220.Q,FU313069005.Q,FU363064105.Q,FU213064203.Q,FU363070005.Q,FU363078005.Q,FU363090005.Q,FU364190005.Q,FU313111303.Q,FU713014003.Q,FU313112003.Q,FU364122005.Q,FU313161105.Q,FU213162005.Q,FU364123005.Q,FU313165403.Q,FU213169203.Q,FU363170005.Q,FU313140003.Q,FU363190005.Q,FU367005005.Q,FU374090005.Q,FU374190005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,51917.00,17210.00,16832.00,9104.00,0.00,6618.00,388.00,1399.00,366.00,59297.00,38490.00,10122.00,3144.00,5813.00,1728.00,-7380.00,11523.00,1320.00,-878.00,3701.00,8969.00,4708.00,70.00,4191.00,-15316.00,-89.00,-21856.00,195.00,0.00,0.00,-757.00,0.00,-352.00,-100.00,-305.00,0.00,1988.00,-321.00,0.00,2309.00,0.00,0.00,-677.00,5813.00,67.00,-19507.00,0.00,0.00,126.00,-23010.00,-22876.00,69.00,-21.00,0.00,-21.00,-1867.00,1165.00,4100.00,-5268.00,-14943.00,-19134.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,57002.00,19790.00,18106.00,11268.00,0.00,5564.00,439.00,1495.00,340.00,54549.00,34346.00,10428.00,2916.00,6124.00,735.00,2453.00,11465.00,1116.00,-996.00,13798.00,24156.00,5683.00,90.00,18383.00,16511.00,1401.00,181.00,150.00,0.00,0.00,675.00,0.00,711.00,3.00,-39.00,0.00,3996.00,-68.00,0.00,4064.00,0.00,0.00,111.00,9594.00,403.00,-1872.00,0.00,0.00,-28.00,-4797.00,-6371.00,1611.00,19.00,0.00,19.00,-798.00,605.00,3127.00,-10358.00,15781.00,-2602.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
