date,FU716000105.Q,FU715013005.Q,FU714090005.Q,FU713011005.Q,FU713014003.Q,FU713012003.Q,FU713022003.Q,FU713068705.Q,FU713068703.Q,FU763069143.Q,FU712051000.Q,FU714022005.Q,FU713069603.Q,FU713061100.Q,FU713061113.Q,FU713061125.Q,FU713061705.Q,FU713061903.Q,FU713061703.Q,FU713068005.Q,FU713068303.Q,FU713068665.Q,FU713068505.Q,FU713068473.Q,FU713064103.Q,FU713090005.Q,FU713091103.Q,FU713093005.Q,FU714190005.Q,FU713113003.Q,FU703025005.Q,FU713120005.Q,FU713123005.Q,FU713123023.Q,FU713123030.Q,FU713123043.Q,FU713124003.Q,FU713122605.Q,FU713125005.Q,FU712151003.Q,FU712151103.Q,FU712151115.Q,FU713190005.Q,FU713164003.Q,FU713193005.Q,FU717005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,86.00,5.00,-329.00,464.00,0.00,223.00,2.00,-186.00,-186.00,0.00,0.00,-912.00,0.00,-912.00,1046.00,-1958.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,99.00,0.00,-19.00,0.00,-19.00,-410.00,224.00,177.00,-737.00,-599.00,-15.00,-584.00,0.00,0.00,-398.00,260.00,0.00,0.00,0.00,-74.00,10.00,-84.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,11.00,6.00,1101.00,1946.00,0.00,0.00,-45.00,18.00,18.00,0.00,0.00,-791.00,0.00,-791.00,-4011.00,3220.00,0.00,0.00,0.00,-96.00,0.00,0.00,0.00,-96.00,0.00,69.00,0.00,69.00,1092.00,1760.00,170.00,-1087.00,-459.00,-936.00,477.00,0.00,0.00,-374.00,-254.00,0.00,0.00,0.00,249.00,9.00,240.00,-4.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,58.00,5.00,2464.00,1488.00,0.00,27.00,6.00,-1.00,-1.00,0.00,0.00,774.00,0.00,774.00,-6665.00,7439.00,0.00,0.00,0.00,139.00,0.00,0.00,0.00,139.00,0.00,31.00,0.00,31.00,2404.00,2580.00,-238.00,63.00,242.00,-11.00,253.00,0.00,0.00,227.00,-406.00,0.00,0.00,0.00,-1.00,5.00,-6.00,-7.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
