date,FU516000105.Q,FU515013005.Q,FU514090005.Q,FU513020003.Q,FU513034003.Q,FU512051003.Q,FU514022005.Q,FU513069103.Q,FU513061103.Q,FU513061703.Q,FU513062003.Q,FU513063003.Q,FU513065503.Q,FU513064105.Q,FU513064203.Q,FU513070003.Q,FU513092003.Q,FU513092403.Q,FU514190005.Q,FU512151003.Q,FU513164103.Q,FU513169333.Q,FU513178003.Q,FU513192003.Q,FU513190005.Q,FU513194733.Q,FU513176003.Q,FU517005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,132.00,32.00,868.00,189.00,0.00,0.00,594.00,0.00,594.00,0.00,-12.00,12.00,5.00,-41.00,0.00,117.00,4.00,0.00,761.00,0.00,53.00,0.00,-10.00,2.00,716.00,0.00,716.00,-7.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,48.00,40.00,1060.00,182.00,0.00,0.00,732.00,0.00,591.00,0.00,78.00,63.00,8.00,34.00,0.00,100.00,4.00,0.00,913.00,0.00,77.00,0.00,10.00,2.00,824.00,0.00,824.00,-139.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,249.00,47.00,1120.00,42.00,0.00,0.00,906.00,0.00,528.00,0.00,229.00,149.00,7.00,87.00,0.00,74.00,4.00,0.00,851.00,0.00,37.00,0.00,73.00,2.00,739.00,0.00,739.00,-68.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,459.00,54.00,949.00,63.00,0.00,0.00,663.00,0.00,413.00,0.00,284.00,-34.00,17.00,131.00,0.00,71.00,4.00,0.00,774.00,0.00,20.00,0.00,100.00,3.00,651.00,0.00,651.00,230.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
