date,FU574090045.Q,FU573020043.Q,FU573030043.Q,FU573034043.Q,FU572051043.Q,FU574022045.Q,FU573069143.Q,FU573061143.Q,FU573061743.Q,FU573063043.Q,FU573065043.Q,FU573064143.Q,FU573064243.Q,FU573090045.Q,FU573095405.Q,FU573074043.Q,FU573073005.Q,FU573093043.Q,FU574190043.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,1382.00,20.00,0.00,0.00,0.00,197.00,0.00,37.00,0.00,160.00,22.00,0.00,0.00,1143.00,0.00,0.00,1179.00,-36.00,1383.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1345.00,30.00,0.00,0.00,0.00,198.00,0.00,38.00,0.00,160.00,20.00,0.00,0.00,1097.00,0.00,0.00,1017.00,80.00,1344.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1192.00,30.00,0.00,0.00,0.00,197.00,0.00,37.00,0.00,160.00,20.00,0.00,0.00,945.00,0.00,0.00,865.00,80.00,1192.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1123.00,43.00,0.00,0.00,0.00,235.00,0.00,75.00,0.00,160.00,20.00,0.00,0.00,825.00,0.00,0.00,771.00,54.00,1123.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,885.00,60.00,0.00,0.00,0.00,216.00,0.00,34.00,0.00,182.00,20.00,0.00,0.00,589.00,0.00,0.00,844.00,-255.00,886.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,4389.00,65.00,0.00,0.00,0.00,599.00,0.00,75.00,0.00,524.00,18.00,0.00,0.00,3707.00,0.00,0.00,3695.00,12.00,4390.00
1952:Q1,1113.00,1.00,195.00,0.00,83.00,192.00,0.00,31.00,0.00,161.00,6.00,90.00,0.00,546.00,0.00,139.00,343.00,64.00,1113.00
1952:Q2,1019.00,-9.00,7.00,0.00,3.00,195.00,0.00,-3.00,0.00,198.00,7.00,94.00,0.00,722.00,0.00,6.00,705.00,11.00,1019.00
1952:Q3,1011.00,-9.00,8.00,0.00,4.00,222.00,0.00,-11.00,0.00,233.00,8.00,98.00,0.00,680.00,0.00,6.00,664.00,10.00,1011.00
1952:Q4,1082.00,-2.00,8.00,0.00,3.00,268.00,0.00,8.00,0.00,260.00,8.00,101.00,0.00,696.00,0.00,9.00,681.00,6.00,1082.00
1953:Q1,1164.00,9.00,8.00,0.00,1.00,278.00,0.00,26.00,0.00,252.00,10.00,102.00,0.00,756.00,0.00,7.00,745.00,4.00,1164.00
1953:Q2,1263.00,18.00,9.00,0.00,2.00,270.00,0.00,40.00,0.00,230.00,11.00,104.00,0.00,849.00,0.00,8.00,841.00,0.00,1263.00
1953:Q3,1287.00,19.00,9.00,0.00,0.00,247.00,0.00,40.00,0.00,207.00,11.00,110.00,0.00,891.00,0.00,7.00,884.00,0.00,1287.00
1953:Q4,1215.00,10.00,9.00,0.00,1.00,217.00,0.00,12.00,14.00,191.00,11.00,120.00,0.00,847.00,0.00,9.00,838.00,0.00,1215.00
1954:Q1,1078.00,2.00,10.00,0.00,2.00,221.00,0.00,12.00,-1.00,210.00,11.00,131.00,0.00,701.00,0.00,8.00,691.00,2.00,1078.00
