date,FU574090055.Q,FU573020033.Q,FU573030033.Q,FU573034055.Q,FU572051033.Q,FU574022035.Q,FU573069133.Q,FU573061133.Q,FU573061733.Q,FU573063033.Q,FU573065033.Q,FU573064133.Q,FU573064255.Q,FU573090055.Q,FU573095505.Q,FU573074033.Q,FU573093033.Q,FU574090055.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-3.00,0.00,0.00,0.00,0.00,52.00,0.00,12.00,0.00,40.00,0.00,0.00,0.00,-55.00,0.00,0.00,-55.00,-3.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,173.00,0.00,0.00,0.00,0.00,53.00,0.00,13.00,0.00,40.00,0.00,0.00,0.00,120.00,0.00,0.00,120.00,173.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,172.00,0.00,0.00,0.00,0.00,52.00,0.00,12.00,0.00,40.00,0.00,0.00,0.00,120.00,0.00,0.00,120.00,172.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,147.00,0.00,0.00,0.00,0.00,65.00,0.00,25.00,0.00,40.00,0.00,0.00,0.00,82.00,0.00,0.00,82.00,147.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,116.00,0.00,0.00,0.00,0.00,57.00,0.00,11.00,0.00,46.00,0.00,0.00,0.00,59.00,0.00,0.00,59.00,116.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,174.00,0.00,0.00,0.00,0.00,156.00,0.00,25.00,0.00,131.00,0.00,0.00,0.00,18.00,0.00,0.00,18.00,174.00
1952:Q1,380.00,0.00,172.00,0.00,0.00,51.00,0.00,11.00,0.00,40.00,0.00,60.00,0.00,97.00,0.00,0.00,97.00,380.00
1952:Q2,133.00,0.00,7.00,0.00,0.00,48.00,0.00,-1.00,0.00,49.00,0.00,62.00,0.00,16.00,0.00,0.00,16.00,133.00
1952:Q3,141.00,0.00,7.00,0.00,0.00,55.00,0.00,-4.00,0.00,59.00,0.00,64.00,0.00,15.00,0.00,0.00,15.00,141.00
1952:Q4,158.00,0.00,7.00,0.00,0.00,68.00,0.00,3.00,0.00,65.00,0.00,74.00,0.00,9.00,0.00,0.00,9.00,158.00
1953:Q1,161.00,0.00,8.00,0.00,0.00,70.00,0.00,8.00,0.00,62.00,0.00,77.00,0.00,6.00,0.00,0.00,6.00,161.00
1953:Q2,162.00,0.00,8.00,0.00,0.00,72.00,0.00,14.00,0.00,58.00,0.00,82.00,0.00,0.00,0.00,0.00,0.00,162.00
1953:Q3,161.00,0.00,8.00,0.00,0.00,65.00,0.00,13.00,0.00,52.00,0.00,87.00,0.00,1.00,0.00,0.00,1.00,161.00
1953:Q4,159.00,0.00,8.00,0.00,0.00,55.00,0.00,4.00,4.00,47.00,0.00,96.00,0.00,0.00,0.00,0.00,0.00,159.00
1954:Q1,173.00,0.00,9.00,0.00,0.00,56.00,0.00,4.00,-1.00,53.00,0.00,104.00,0.00,4.00,0.00,0.00,4.00,173.00
1954:Q2,178.00,0.00,9.00,0.00,0.00,58.00,0.00,-2.00,0.00,60.00,0.00,107.00,0.00,4.00,0.00,0.00,4.00,178.00
1954:Q3,195.00,0.00,9.00,0.00,0.00,67.00,0.00,1.00,-1.00,67.00,0.00,113.00,0.00,6.00,0.00,0.00,6.00,195.00
1954:Q4,224.00,0.00,9.00,0.00,0.00,78.00,0.00,7.00,-1.00,72.00,0.00,126.00,0.00,11.00,0.00,0.00,11.00,224.00
1955:Q1,250.00,0.00,10.00,0.00,0.00,79.00,0.00,15.00,1.00,63.00,0.00,142.00,0.00,19.00,0.00,0.00,19.00,250.00
1955:Q2,290.00,0.00,11.00,0.00,0.00,77.00,0.00,26.00,0.00,51.00,0.00,181.00,0.00,21.00,0.00,0.00,21.00,290.00
1955:Q3,322.00,0.00,11.00,0.00,0.00,66.00,0.00,24.00,1.00,41.00,0.00,218.00,0.00,27.00,0.00,0.00,27.00,322.00
1955:Q4,330.00,0.00,11.00,0.00,0.00,45.00,0.00,9.00,1.00,35.00,0.00,243.00,0.00,31.00,0.00,0.00,31.00,330.00
1956:Q1,364.00,0.00,11.00,0.00,0.00,47.00,0.00,-6.00,3.00,50.00,0.00,273.00,0.00,33.00,0.00,0.00,33.00,364.00
1956:Q2,386.00,0.00,13.00,0.00,0.00,58.00,0.00,-13.00,1.00,70.00,0.00,270.00,0.00,45.00,0.00,0.00,45.00,386.00
1956:Q3,398.00,0.00,12.00,0.00,0.00,74.00,0.00,-20.00,1.00,93.00,0.00,268.00,0.00,44.00,0.00,0.00,44.00,398.00
1956:Q4,423.00,0.00,13.00,0.00,0.00,96.00,0.00,-16.00,1.00,111.00,0.00,283.00,0.00,31.00,0.00,0.00,31.00,423.00
1957:Q1,417.00,0.00,14.00,0.00,0.00,94.00,0.00,-19.00,4.00,109.00,0.00,281.00,0.00,28.00,0.00,0.00,28.00,417.00
1957:Q2,430.00,0.00,14.00,0.00,0.00,85.00,0.00,-18.00,2.00,101.00,0.00,318.00,0.00,13.00,0.00,0.00,13.00,430.00
1957:Q3,415.00,0.00,15.00,0.00,0.00,72.00,0.00,-17.00,2.00,87.00,0.00,306.00,0.00,22.00,0.00,0.00,22.00,415.00
1957:Q4,400.00,0.00,15.00,0.00,0.00,63.00,0.00,-19.00,7.00,75.00,0.00,300.00,0.00,22.00,0.00,0.00,22.00,400.00
1958:Q1,419.00,0.00,16.00,0.00,0.00,67.00,0.00,-12.00,6.00,73.00,0.00,322.00,0.00,14.00,0.00,0.00,14.00,419.00
1958:Q2,454.00,0.00,16.00,0.00,0.00,72.00,0.00,5.00,-7.00,74.00,0.00,359.00,0.00,7.00,0.00,0.00,7.00,454.00
1958:Q3,508.00,0.00,17.00,0.00,0.00,78.00,0.00,0.00,1.00,77.00,0.00,407.00,0.00,6.00,0.00,0.00,6.00,508.00
1958:Q4,574.00,0.00,18.00,0.00,0.00,82.00,0.00,5.00,0.00,77.00,0.00,462.00,0.00,12.00,0.00,0.00,12.00,574.00
1959:Q1,583.00,0.00,18.00,0.00,0.00,54.00,0.00,6.00,5.00,43.00,0.00,485.00,0.00,26.00,0.00,0.00,26.00,583.00
1959:Q2,658.00,0.00,19.00,0.00,0.00,82.00,0.00,12.00,8.00,62.00,0.00,531.00,0.00,26.00,0.00,0.00,26.00,658.00
1959:Q3,670.00,0.00,20.00,0.00,0.00,75.00,0.00,16.00,3.00,56.00,0.00,537.00,0.00,38.00,0.00,0.00,38.00,670.00
1959:Q4,730.00,0.00,21.00,0.00,0.00,97.00,0.00,8.00,1.00,88.00,0.00,581.00,0.00,31.00,0.00,0.00,31.00,730.00
1960:Q1,698.00,0.00,21.00,0.00,0.00,63.00,0.00,-21.00,17.00,67.00,0.00,565.00,0.00,49.00,0.00,0.00,49.00,698.00
1960:Q2,723.00,0.00,22.00,0.00,0.00,53.00,0.00,-20.00,8.00,65.00,0.00,605.00,0.00,43.00,0.00,0.00,43.00,723.00
1960:Q3,730.00,0.00,23.00,0.00,0.00,68.00,0.00,-12.00,-1.00,81.00,0.00,584.00,0.00,55.00,0.00,0.00,55.00,730.00
1960:Q4,817.00,0.00,24.00,0.00,0.00,104.00,0.00,-1.00,-5.00,110.00,0.00,662.00,0.00,27.00,0.00,0.00,27.00,817.00
1961:Q1,832.00,0.00,25.00,0.00,0.00,26.00,0.00,1.00,-2.00,27.00,0.00,763.00,0.00,18.00,0.00,0.00,18.00,832.00
1961:Q2,918.00,0.00,26.00,0.00,0.00,80.00,0.00,5.00,-4.00,79.00,0.00,784.00,0.00,28.00,0.00,0.00,28.00,918.00
1961:Q3,932.00,0.00,26.00,0.00,0.00,55.00,0.00,1.00,2.00,52.00,0.00,826.00,0.00,25.00,0.00,0.00,25.00,932.00
