date,FU344090045.Q,FU344022045.Q,FU343061165.Q,FU343061733.Q,FU343063033.Q,FU343064133.Q,FU343073045.Q,FU344190045.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3892.00,370.00,370.00,0.00,0.00,0.00,3522.00,3892.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3435.00,823.00,823.00,0.00,0.00,0.00,2612.00,3435.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,3633.00,823.00,823.00,0.00,0.00,0.00,2810.00,3633.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,3962.00,1040.00,1040.00,0.00,0.00,0.00,2922.00,3962.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,4729.00,784.00,784.00,0.00,0.00,0.00,3945.00,4729.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,6291.00,710.00,710.00,0.00,0.00,0.00,5581.00,6291.00
1952:Q1,1740.00,99.00,99.00,0.00,0.00,0.00,1641.00,1740.00
1952:Q2,1775.00,386.00,386.00,0.00,0.00,0.00,1389.00,1775.00
1952:Q3,1820.00,425.00,425.00,0.00,0.00,0.00,1395.00,1820.00
1952:Q4,1838.00,48.00,48.00,0.00,0.00,0.00,1790.00,1838.00
1953:Q1,1810.00,60.00,60.00,0.00,0.00,0.00,1750.00,1810.00
1953:Q2,1839.00,333.00,333.00,0.00,0.00,0.00,1506.00,1839.00
1953:Q3,1865.00,98.00,98.00,0.00,0.00,0.00,1767.00,1865.00
1953:Q4,1870.00,39.00,39.00,0.00,0.00,0.00,1831.00,1870.00
1954:Q1,1836.00,20.00,20.00,0.00,0.00,0.00,1816.00,1836.00
1954:Q2,1866.00,312.00,312.00,0.00,0.00,0.00,1554.00,1866.00
1954:Q3,1902.00,8.00,8.00,0.00,0.00,0.00,1894.00,1902.00
1954:Q4,1922.00,78.00,78.00,0.00,0.00,0.00,1844.00,1922.00
1955:Q1,1902.00,-12.00,-12.00,0.00,0.00,0.00,1914.00,1902.00
1955:Q2,1944.00,355.00,355.00,0.00,0.00,0.00,1589.00,1944.00
1955:Q3,1984.00,273.00,273.00,0.00,0.00,0.00,1711.00,1984.00
1955:Q4,2002.00,73.00,73.00,0.00,0.00,0.00,1929.00,2002.00
1956:Q1,2004.00,13.00,13.00,0.00,0.00,0.00,1991.00,2004.00
1956:Q2,2042.00,316.00,316.00,0.00,0.00,0.00,1726.00,2042.00
1956:Q3,2123.00,541.00,541.00,0.00,0.00,0.00,1582.00,2123.00
1956:Q4,2200.00,-7.00,-7.00,0.00,0.00,0.00,2207.00,2200.00
1957:Q1,2233.00,13.00,13.00,0.00,0.00,0.00,2220.00,2233.00
1957:Q2,2331.00,300.00,300.00,0.00,0.00,0.00,2031.00,2331.00
1957:Q3,2413.00,46.00,46.00,0.00,0.00,0.00,2367.00,2413.00
1957:Q4,2449.00,76.00,76.00,0.00,0.00,0.00,2373.00,2449.00
1958:Q1,2416.00,165.00,165.00,0.00,0.00,0.00,2251.00,2416.00
1958:Q2,2459.00,348.00,348.00,0.00,0.00,0.00,2111.00,2459.00
1958:Q3,2506.00,311.00,311.00,0.00,0.00,0.00,2195.00,2506.00
1958:Q4,2532.00,110.00,110.00,0.00,0.00,0.00,2422.00,2532.00
1959:Q1,2505.00,133.00,133.00,0.00,0.00,0.00,2372.00,2505.00
1959:Q2,2563.00,385.00,385.00,0.00,0.00,0.00,2178.00,2563.00
1959:Q3,2620.00,323.00,323.00,0.00,0.00,0.00,2297.00,2620.00
1959:Q4,2648.00,43.00,43.00,0.00,0.00,0.00,2605.00,2648.00
1960:Q1,2646.00,87.00,87.00,0.00,0.00,0.00,2559.00,2646.00
1960:Q2,2676.00,685.00,685.00,0.00,0.00,0.00,1991.00,2676.00
1960:Q3,2741.00,102.00,102.00,0.00,0.00,0.00,2639.00,2741.00
1960:Q4,2781.00,52.00,52.00,0.00,0.00,0.00,2729.00,2781.00
1961:Q1,2764.00,51.00,51.00,0.00,0.00,0.00,2713.00,2764.00
1961:Q2,2840.00,786.00,786.00,0.00,0.00,0.00,2054.00,2840.00
1961:Q3,2918.00,69.00,69.00,0.00,0.00,0.00,2849.00,2918.00
1961:Q4,2964.00,10.00,10.00,0.00,0.00,0.00,2954.00,2964.00
1962:Q1,2944.00,48.00,48.00,0.00,0.00,0.00,2896.00,2944.00
1962:Q2,3019.00,854.00,854.00,0.00,0.00,0.00,2165.00,3019.00
1962:Q3,3093.00,15.00,15.00,0.00,0.00,0.00,3078.00,3093.00
1962:Q4,3132.00,76.00,76.00,0.00,0.00,0.00,3056.00,3132.00
1963:Q1,3101.00,49.00,49.00,0.00,0.00,0.00,3052.00,3101.00
1963:Q2,3173.00,952.00,952.00,0.00,0.00,0.00,2221.00,3173.00
1963:Q3,3250.00,73.00,73.00,0.00,0.00,0.00,3177.00,3250.00
1963:Q4,3296.00,87.00,87.00,0.00,0.00,0.00,3209.00,3296.00
1964:Q1,3307.00,108.00,108.00,0.00,0.00,0.00,3199.00,3307.00
1964:Q2,3356.00,911.00,911.00,0.00,0.00,0.00,2445.00,3356.00
1964:Q3,3445.00,169.00,169.00,0.00,0.00,0.00,3276.00,3445.00
1964:Q4,3500.00,61.00,61.00,0.00,0.00,0.00,3439.00,3500.00
1965:Q1,3480.00,71.00,71.00,0.00,0.00,0.00,3409.00,3480.00
1965:Q2,3582.00,1070.00,1070.00,0.00,0.00,0.00,2512.00,3582.00
1965:Q3,3693.00,178.00,178.00,0.00,0.00,0.00,3515.00,3693.00
1965:Q4,3773.00,-4.00,-4.00,0.00,0.00,0.00,3777.00,3773.00
1966:Q1,3771.00,23.00,23.00,0.00,0.00,0.00,3748.00,3771.00
1966:Q2,3894.00,1088.00,1088.00,0.00,0.00,0.00,2806.00,3894.00
1966:Q3,4017.00,100.00,100.00,0.00,0.00,0.00,3917.00,4017.00
1966:Q4,4094.00,42.00,42.00,0.00,0.00,0.00,4052.00,4094.00
1967:Q1,4078.00,-52.00,-52.00,0.00,0.00,0.00,4130.00,4078.00
1967:Q2,4200.00,1118.00,1118.00,0.00,0.00,0.00,3082.00,4200.00
1967:Q3,4327.00,31.00,31.00,0.00,0.00,0.00,4296.00,4327.00
1967:Q4,4413.00,218.00,218.00,0.00,0.00,0.00,4195.00,4413.00
1968:Q1,4448.00,42.00,42.00,0.00,0.00,0.00,4406.00,4448.00
1968:Q2,4524.00,1269.00,1269.00,0.00,0.00,0.00,3255.00,4524.00
1968:Q3,4643.00,-9.00,-9.00,0.00,0.00,0.00,4652.00,4643.00
1968:Q4,4716.00,34.00,34.00,0.00,0.00,0.00,4682.00,4716.00
1969:Q1,4712.00,127.00,127.00,0.00,0.00,0.00,4585.00,4712.00
1969:Q2,4921.00,1116.00,1116.00,0.00,0.00,0.00,3805.00,4921.00
1969:Q3,5219.00,305.00,305.00,0.00,0.00,0.00,4914.00,5219.00
1969:Q4,5542.00,-29.00,-29.00,0.00,0.00,0.00,5571.00,5542.00
1970:Q1,5771.00,38.00,38.00,0.00,0.00,0.00,5733.00,5771.00
1970:Q2,6183.00,1725.00,1725.00,0.00,0.00,0.00,4458.00,6183.00
1970:Q3,6561.00,136.00,136.00,0.00,0.00,0.00,6425.00,6561.00
1970:Q4,6811.00,482.00,482.00,0.00,0.00,0.00,6329.00,6811.00
1971:Q1,6854.00,198.00,198.00,0.00,0.00,0.00,6656.00,6854.00
1971:Q2,7082.00,1857.00,1857.00,0.00,0.00,0.00,5225.00,7082.00
1971:Q3,7282.00,231.00,231.00,0.00,0.00,0.00,7051.00,7282.00
1971:Q4,7383.00,557.00,557.00,0.00,0.00,0.00,6826.00,7383.00
1972:Q1,7388.00,-82.00,-82.00,0.00,0.00,0.00,7470.00,7388.00
1972:Q2,7466.00,2134.00,2134.00,0.00,0.00,0.00,5332.00,7466.00
1972:Q3,7628.00,270.00,270.00,0.00,0.00,0.00,7358.00,7628.00
1972:Q4,7710.00,671.00,671.00,0.00,0.00,0.00,7039.00,7710.00
1973:Q1,7621.00,-182.00,-182.00,0.00,0.00,0.00,7803.00,7621.00
1973:Q2,7778.00,2315.00,2315.00,0.00,0.00,0.00,5463.00,7778.00
1973:Q3,7927.00,-304.00,-304.00,0.00,0.00,0.00,8231.00,7927.00
1973:Q4,7979.00,306.00,306.00,0.00,0.00,0.00,7673.00,7979.00
1974:Q1,7846.00,-386.00,-386.00,0.00,0.00,0.00,8232.00,7846.00
1974:Q2,7964.00,3799.00,3799.00,0.00,0.00,0.00,4165.00,7964.00
1974:Q3,8077.00,-786.00,-786.00,0.00,0.00,0.00,8863.00,8077.00
1974:Q4,8100.00,112.00,112.00,0.00,0.00,0.00,7988.00,8100.00
1975:Q1,7946.00,-409.00,-409.00,0.00,0.00,0.00,8355.00,7946.00
1975:Q2,8063.00,5096.00,5096.00,0.00,0.00,0.00,2967.00,8063.00
1975:Q3,8191.00,-1081.00,-1081.00,0.00,0.00,0.00,9272.00,8191.00
1975:Q4,8244.00,99.00,99.00,0.00,0.00,0.00,8145.00,8244.00
1976:Q1,8217.00,-738.00,-738.00,0.00,0.00,0.00,8955.00,8217.00
1976:Q2,8288.00,6358.00,6358.00,0.00,0.00,0.00,1930.00,8288.00
1976:Q3,8461.00,-1369.00,-1369.00,0.00,0.00,0.00,9830.00,8461.00
1976:Q4,8565.00,345.00,345.00,0.00,0.00,0.00,8220.00,8565.00
1977:Q1,8527.00,-1191.00,-1191.00,0.00,0.00,0.00,9718.00,8527.00
1977:Q2,8846.00,1462.00,1462.00,0.00,0.00,0.00,7384.00,8846.00
1977:Q3,9273.00,6174.00,6174.00,0.00,0.00,0.00,3099.00,9273.00
1977:Q4,9687.00,130.00,130.00,0.00,0.00,0.00,9557.00,9687.00
1978:Q1,9893.00,-1266.00,-1266.00,0.00,0.00,0.00,11159.00,9893.00
1978:Q2,10374.00,1459.00,1459.00,0.00,0.00,0.00,8915.00,10374.00
1978:Q3,10753.00,6228.00,6228.00,0.00,0.00,0.00,4525.00,10753.00
1978:Q4,10892.00,606.00,606.00,0.00,0.00,0.00,10286.00,10892.00
1979:Q1,10708.00,-1708.00,-1708.00,0.00,0.00,0.00,12416.00,10708.00
1979:Q2,10843.00,1495.00,1495.00,0.00,0.00,0.00,9348.00,10843.00
1979:Q3,10984.00,7561.00,7561.00,0.00,0.00,0.00,3423.00,10984.00
1979:Q4,11034.00,652.00,652.00,0.00,0.00,0.00,10382.00,11034.00
1980:Q1,10985.00,-2098.00,-2098.00,0.00,0.00,0.00,13083.00,10985.00
1980:Q2,11073.00,1197.00,1197.00,0.00,0.00,0.00,9876.00,11073.00
1980:Q3,11296.00,9566.00,9566.00,0.00,0.00,0.00,1730.00,11296.00
1980:Q4,11408.00,259.00,259.00,0.00,0.00,0.00,11149.00,11408.00
1981:Q1,11283.00,-2744.00,-2744.00,0.00,0.00,0.00,14027.00,11283.00
1981:Q2,11550.00,1214.00,1214.00,0.00,0.00,0.00,10336.00,11550.00
1981:Q3,11844.00,11242.00,11242.00,0.00,0.00,0.00,602.00,11844.00
1981:Q4,12024.00,284.00,284.00,0.00,0.00,0.00,11740.00,12024.00
1982:Q1,11927.00,-2866.00,-2866.00,0.00,0.00,0.00,14793.00,11927.00
1982:Q2,12189.00,2032.00,2032.00,0.00,0.00,0.00,10157.00,12189.00
1982:Q3,12399.00,12171.00,12171.00,0.00,0.00,0.00,228.00,12399.00
1982:Q4,12438.00,729.00,729.00,0.00,0.00,0.00,11709.00,12438.00
1983:Q1,12225.00,-2871.00,-2871.00,0.00,0.00,0.00,15096.00,12225.00
1983:Q2,12501.00,2361.00,2361.00,0.00,0.00,0.00,10140.00,12501.00
1983:Q3,12920.00,12765.00,12765.00,0.00,0.00,0.00,155.00,12920.00
1983:Q4,13331.00,2287.00,2287.00,0.00,0.00,0.00,11044.00,13331.00
1984:Q1,13635.00,-2147.00,-2147.00,0.00,0.00,0.00,15782.00,13635.00
1984:Q2,14036.00,3907.00,3907.00,0.00,0.00,0.00,10129.00,14036.00
1984:Q3,14468.00,13417.00,13417.00,0.00,0.00,0.00,1051.00,14468.00
1984:Q4,14613.00,3298.00,3298.00,0.00,0.00,0.00,11315.00,14613.00
1985:Q1,14377.00,8601.00,8601.00,0.00,0.00,0.00,5776.00,14377.00
1985:Q2,14640.00,3976.00,3976.00,0.00,0.00,0.00,10664.00,14640.00
1985:Q3,15001.00,13902.00,13902.00,0.00,0.00,0.00,1099.00,15001.00
1985:Q4,15295.00,13389.00,13389.00,0.00,0.00,0.00,1906.00,15295.00
1986:Q1,15251.00,-2428.00,-2428.00,0.00,0.00,0.00,17679.00,15251.00
1986:Q2,15626.00,5467.00,5467.00,0.00,0.00,0.00,10159.00,15626.00
1986:Q3,15836.00,11472.00,11472.00,0.00,0.00,0.00,4364.00,15836.00
1986:Q4,15702.00,15041.00,15041.00,0.00,0.00,0.00,661.00,15702.00
