date,FU344090025.Q,FU344022025.Q,FU343061155.Q,FU343061723.Q,FU343063023.Q,FU343064123.Q,FU343073053.Q,FU344090025.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1962:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1962:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1962:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1962:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1963:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1963:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1963:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1963:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1964:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1964:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1964:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1964:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1965:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1965:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1965:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1965:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1966:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1966:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1966:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1966:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1967:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1967:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1967:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1967:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1968:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1968:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1968:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1968:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1969:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1969:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1969:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1969:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1970:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1970:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1970:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1970:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1971:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1971:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1971:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1971:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1972:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1972:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1972:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1972:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1973:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1973:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1973:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1973:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1974:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1974:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1974:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1974:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1976:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1976:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1976:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1976:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1977:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1977:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1977:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1977:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1978:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1978:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1978:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1978:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1979:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1979:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1979:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1979:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1980:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1980:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1980:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1980:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1981:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1981:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1981:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1981:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1982:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1982:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1982:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1982:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1983:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1983:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1983:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1983:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1984:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1984:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1984:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1984:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1985:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1985:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1985:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1985:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1986:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1986:Q2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1986:Q3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1986:Q4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1987:Q1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1987:Q2,390.00,390.00,390.00,0.00,0.00,0.00,0.00,390.00
1987:Q3,337.00,337.00,337.00,0.00,0.00,0.00,0.00,337.00
1987:Q4,359.00,359.00,359.00,0.00,0.00,0.00,0.00,359.00
1988:Q1,349.00,349.00,349.00,0.00,0.00,0.00,0.00,349.00
1988:Q2,411.00,411.00,411.00,0.00,0.00,0.00,0.00,411.00
1988:Q3,430.00,425.00,422.00,0.00,3.00,5.00,0.00,430.00
1988:Q4,466.00,464.00,463.00,0.00,1.00,2.00,0.00,466.00
1989:Q1,502.00,491.00,488.00,0.00,3.00,11.00,0.00,502.00
1989:Q2,547.00,538.00,535.00,0.00,3.00,9.00,0.00,547.00
1989:Q3,530.00,518.00,515.00,0.00,3.00,12.00,0.00,530.00
1989:Q4,604.00,591.00,586.00,0.00,5.00,13.00,0.00,604.00
1990:Q1,616.00,582.00,573.00,0.00,9.00,34.00,0.00,616.00
1990:Q2,713.00,679.00,669.00,0.00,10.00,34.00,0.00,713.00
1990:Q3,695.00,656.00,647.00,0.00,9.00,39.00,0.00,695.00
