date,FU224090045.Q,FU223020043.Q,FU223030045.Q,FU223034043.Q,FU222051043.Q,FU224022045.Q,FU223069143.Q,FU223061143.Q,FU223061743.Q,FU223062043.Q,FU223063045.Q,FU223065043.Q,FU223064145.Q,FU223064243.Q,FU223090045.Q,FU223073045.Q,FU223093043.Q,FU224190043.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00,ND,ND,ND,ND,ND,ND
1946:Q4,883.00,8.00,0.00,0.00,0.00,258.00,0.00,152.00,0.00,86.00,20.00,3.00,1.00,0.00,613.00,613.00,0.00,883.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1106.00,8.00,0.00,0.00,0.00,321.00,0.00,189.00,0.00,102.00,30.00,4.00,2.00,0.00,771.00,771.00,0.00,1106.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1351.00,6.00,0.00,0.00,0.00,419.00,0.00,213.00,0.00,129.00,77.00,10.00,3.00,0.00,913.00,913.00,0.00,1351.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1560.00,10.00,0.00,0.00,0.00,502.00,0.00,184.00,0.00,183.00,135.00,17.00,7.00,0.00,1024.00,1024.00,0.00,1560.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1705.00,18.00,0.00,0.00,0.00,624.00,0.00,241.00,0.00,200.00,183.00,23.00,9.00,0.00,1031.00,1031.00,0.00,1706.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1877.00,19.00,0.00,0.00,0.00,699.00,0.00,420.00,0.00,163.00,116.00,30.00,12.00,0.00,1117.00,1117.00,0.00,1878.00
1952:Q1,503.00,5.00,0.00,0.00,0.00,241.00,0.00,152.00,5.00,39.00,45.00,8.00,3.00,0.00,246.00,246.00,0.00,503.00
1952:Q2,517.00,5.00,0.00,0.00,0.00,177.00,0.00,78.00,5.00,43.00,51.00,9.00,4.00,0.00,322.00,322.00,0.00,517.00
1952:Q3,536.00,5.00,0.00,0.00,0.00,340.00,0.00,165.00,5.00,44.00,126.00,9.00,4.00,0.00,178.00,178.00,0.00,536.00
1952:Q4,548.00,5.00,0.00,0.00,0.00,198.00,0.00,61.00,5.00,45.00,87.00,10.00,4.00,0.00,331.00,331.00,0.00,548.00
1953:Q1,547.00,6.00,0.00,0.00,0.00,274.00,0.00,91.00,2.00,50.00,131.00,11.00,4.00,0.00,252.00,252.00,0.00,547.00
1953:Q2,564.00,9.00,0.00,0.00,0.00,371.00,0.00,190.00,1.00,53.00,127.00,11.00,5.00,0.00,168.00,168.00,0.00,564.00
1953:Q3,583.00,9.00,0.00,0.00,0.00,359.00,0.00,175.00,1.00,56.00,127.00,12.00,5.00,0.00,198.00,198.00,0.00,583.00
1953:Q4,598.00,7.00,0.00,0.00,0.00,223.00,0.00,30.00,1.00,61.00,131.00,13.00,5.00,0.00,350.00,350.00,0.00,598.00
1954:Q1,599.00,4.00,0.00,0.00,0.00,384.00,0.00,183.00,3.00,63.00,135.00,14.00,6.00,0.00,191.00,191.00,0.00,599.00
1954:Q2,620.00,2.00,0.00,0.00,0.00,407.00,0.00,191.00,3.00,66.00,147.00,15.00,6.00,0.00,190.00,190.00,0.00,620.00
1954:Q3,640.00,0.00,0.00,0.00,0.00,301.00,0.00,76.00,3.00,70.00,152.00,16.00,6.00,0.00,317.00,317.00,0.00,640.00
1954:Q4,653.00,-1.00,0.00,0.00,0.00,306.00,0.00,73.00,4.00,74.00,155.00,16.00,6.00,0.00,326.00,326.00,0.00,653.00
1955:Q1,651.00,-3.00,0.00,0.00,0.00,276.00,0.00,55.00,5.00,80.00,136.00,17.00,7.00,0.00,354.00,354.00,0.00,651.00
1955:Q2,671.00,-6.00,0.00,0.00,0.00,271.00,0.00,40.00,5.00,86.00,140.00,17.00,7.00,0.00,382.00,382.00,0.00,671.00
1955:Q3,694.00,-6.00,0.00,0.00,0.00,329.00,0.00,88.00,5.00,90.00,146.00,18.00,7.00,0.00,346.00,346.00,0.00,694.00
1955:Q4,710.00,-5.00,0.00,0.00,0.00,351.00,0.00,100.00,5.00,91.00,155.00,17.00,7.00,0.00,340.00,340.00,0.00,710.00
1956:Q1,719.00,1.00,0.00,0.00,0.00,455.00,0.00,213.00,2.00,93.00,147.00,18.00,8.00,0.00,237.00,237.00,0.00,719.00
