date,FU406000105.Q,FU405013005.Q,FU404090005.Q,FU403020005.Q,FU403030005.Q,FU402050005.Q,FU404022005.Q,FU403069105.Q,FU403061105.Q,FU403061705.Q,FU403062005.Q,FU403063005.Q,FU404023005.Q,FU403069305.Q,FU403069385.Q,FU403069345.Q,FU403069330.Q,FU403065005.Q,FU403065105.Q,FU403065195.Q,FU403065185.Q,FU403065405.Q,FU403065495.Q,FU403065485.Q,FU403065605.Q,FU403066005.Q,FU403093005.Q,FU404190005.Q,FU402150005.Q,FU403161705.Q,FU403161795.Q,FU403161785.Q,FU403169283.Q,FU403164105.Q,FU403190005.Q,FU407005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,2.00,2.00,55.00,2.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,74.00,150.00,0.00,54.00,96.00,-76.00,0.00,0.00,0.00,0.00,0.00,0.00,-76.00,0.00,-26.00,30.00,0.00,295.00,0.00,295.00,0.00,0.00,-265.00,-25.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1.00,3.00,167.00,-3.00,0.00,0.00,-31.00,0.00,-31.00,0.00,0.00,0.00,226.00,298.00,0.00,167.00,131.00,-72.00,0.00,0.00,0.00,0.00,0.00,0.00,-72.00,0.00,-25.00,139.00,0.00,116.00,0.00,116.00,0.00,0.00,23.00,-29.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
