date,FU504090005.Q,FU503034003.Q,FU502051003.Q,FU504022005.Q,FU503069105.Q,FU503063005.Q,FU503069805.Q,FU503064105.Q,FU503094505.Q,FU753194503.Q,FU663194505.Q,FU504190005.Q,FU504122005.Q,FU503169105.Q,FU503163005.Q,FU504123005.Q,FU713068505.Q,FU503169205.Q,FU503164105.Q,FU503192003.Q,FU503190005.Q,FU663097005.Q,FU503194305.Q,FU503193005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,9.00,0.00,0.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,9.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,-1.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,-1.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,7.00,0.00,0.00,7.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,7.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,8.00,0.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,8.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,22.00,0.00,0.00,22.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,22.00
1952:Q1,5.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,5.00
1952:Q2,-11.00,0.00,0.00,-11.00,-11.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.00,0.00,0.00,-11.00
1952:Q3,-5.00,0.00,0.00,-5.00,-5.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,-5.00
1952:Q4,6.00,0.00,0.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,6.00
1953:Q1,4.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,4.00
1953:Q2,-10.00,0.00,0.00,-10.00,-10.00,0.00,0.00,0.00,0.00,0.00,0.00,-10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-10.00,0.00,0.00,-10.00
1953:Q3,-2.00,0.00,0.00,-2.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.00,0.00,0.00,-2.00
1953:Q4,20.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00
1954:Q1,-4.00,0.00,0.00,-4.00,-4.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.00,0.00,0.00,-4.00
1954:Q2,-6.00,0.00,0.00,-6.00,-6.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.00,0.00,0.00,-6.00
1954:Q3,3.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,3.00
1954:Q4,6.00,0.00,0.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,6.00
1955:Q1,17.00,0.00,0.00,17.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,17.00
1955:Q2,-3.00,0.00,0.00,-3.00,-3.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,0.00,0.00,-3.00
1955:Q3,13.00,0.00,0.00,13.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,13.00
1955:Q4,-13.00,0.00,0.00,-13.00,-13.00,0.00,0.00,0.00,0.00,0.00,0.00,-13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-13.00,0.00,0.00,-13.00
1956:Q1,44.00,0.00,0.00,44.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.00,0.00,0.00,44.00
1956:Q2,-37.00,0.00,0.00,-37.00,-37.00,0.00,0.00,0.00,0.00,0.00,0.00,-37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-37.00,0.00,0.00,-37.00
1956:Q3,22.00,0.00,0.00,22.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,22.00
1956:Q4,-12.00,0.00,0.00,-12.00,-12.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.00,0.00,0.00,-12.00
1957:Q1,12.00,0.00,0.00,12.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,12.00
1957:Q2,6.00,0.00,0.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,6.00
1957:Q3,-7.00,0.00,0.00,-7.00,-7.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.00,0.00,0.00,-7.00
1957:Q4,4.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,4.00
1958:Q1,30.00,0.00,0.00,30.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,30.00
1958:Q2,30.00,0.00,0.00,30.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,30.00
1958:Q3,-12.00,0.00,0.00,-12.00,-12.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.00,0.00,0.00,-12.00
1958:Q4,-55.00,0.00,0.00,-55.00,-55.00,0.00,0.00,0.00,0.00,0.00,0.00,-55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-55.00,0.00,0.00,-55.00
1959:Q1,33.00,0.00,0.00,33.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,33.00
1959:Q2,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
1959:Q3,36.00,0.00,0.00,36.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,0.00,36.00
1959:Q4,-34.00,0.00,0.00,-34.00,-34.00,0.00,0.00,0.00,0.00,0.00,0.00,-34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-34.00,0.00,0.00,-34.00
1960:Q1,28.00,0.00,0.00,28.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,0.00,28.00
1960:Q2,9.00,0.00,0.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,9.00
1960:Q3,19.00,0.00,0.00,19.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,19.00
1960:Q4,-31.00,0.00,0.00,-31.00,-31.00,0.00,0.00,0.00,0.00,0.00,0.00,-31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-31.00,0.00,0.00,-31.00
1961:Q1,63.00,0.00,0.00,63.00,63.00,0.00,0.00,0.00,0.00,0.00,0.00,63.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.00,0.00,0.00,63.00
1961:Q2,-38.00,0.00,0.00,-38.00,-38.00,0.00,0.00,0.00,0.00,0.00,0.00,-38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-38.00,0.00,0.00,-38.00
1961:Q3,54.00,0.00,0.00,54.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.00,0.00,0.00,54.00
1961:Q4,-82.00,0.00,0.00,-82.00,-82.00,0.00,0.00,0.00,0.00,0.00,0.00,-82.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-82.00,0.00,0.00,-82.00
