date,FU263191005.Q,FU153091003.Q,FU103091003.Q,FU633091003.Q,FU903091005.Q
1945:Q4,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND
1946:Q4,35.00,0.00,35.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND
1947:Q4,-17.00,0.00,-17.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND
1948:Q4,-41.00,0.00,-41.00,0.00,0.00
1949:Q1,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND
1949:Q4,0.00,0.00,0.00,0.00,0.00
1950:Q1,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND
1950:Q4,47.00,0.00,47.00,0.00,0.00
1951:Q1,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND
1951:Q4,34.00,0.00,34.00,0.00,0.00
1952:Q1,-7.00,0.00,-7.00,0.00,0.00
1952:Q2,18.00,0.00,18.00,0.00,0.00
1952:Q3,-4.00,0.00,-4.00,0.00,0.00
1952:Q4,-23.00,0.00,-23.00,0.00,0.00
1953:Q1,27.00,0.00,27.00,0.00,0.00
1953:Q2,-28.00,0.00,-28.00,0.00,0.00
1953:Q3,11.00,0.00,11.00,0.00,0.00
1953:Q4,29.00,0.00,29.00,0.00,0.00
1954:Q1,1.00,0.00,1.00,0.00,0.00
1954:Q2,13.00,0.00,13.00,0.00,0.00
1954:Q3,22.00,0.00,22.00,0.00,0.00
1954:Q4,8.00,0.00,8.00,0.00,0.00
1955:Q1,-11.00,0.00,-11.00,0.00,0.00
1955:Q2,-20.00,0.00,-20.00,0.00,0.00
1955:Q3,-4.00,0.00,-4.00,0.00,0.00
1955:Q4,6.00,0.00,6.00,0.00,0.00
1956:Q1,-34.00,0.00,-34.00,0.00,0.00
1956:Q2,46.00,0.00,46.00,0.00,0.00
1956:Q3,-22.00,0.00,-22.00,0.00,0.00
1956:Q4,19.00,0.00,19.00,0.00,0.00
1957:Q1,60.00,0.00,60.00,0.00,0.00
1957:Q2,-22.00,0.00,-22.00,0.00,0.00
1957:Q3,-23.00,0.00,-23.00,0.00,0.00
1957:Q4,-22.00,0.00,-22.00,0.00,0.00
1958:Q1,29.00,0.00,29.00,0.00,0.00
1958:Q2,-28.00,0.00,-28.00,0.00,0.00
1958:Q3,40.00,0.00,40.00,0.00,0.00
1958:Q4,-23.00,0.00,-23.00,0.00,0.00
