date,FU794110005.Q,FU714110005.Q,FU764110005.Q,FU754110005.Q,FU744110005.Q,FU474110005.Q,FU894010005.Q,FU714010005.Q,FU763020005.Q,FU753020005.Q,FU473013003.Q,FU264016005.Q,FU904010005.Q,FU703025005.Q,FU763025000.Q,FU753025003.Q,FU713113003.Q,FU763013005.Q,FU753013003.Q,FU473013003.Q,FU714010005.Q,FU714010005.Q,FU713022003.Q,FU713068705.Q,FU764116205.Q,FU763192605.Q,FU763092605.Q,FU754116205.Q,FU753192605.Q,FU753092605.Q,FU264116205.Q,FU764016205.Q,FU754016205.Q,FU264035125.Q,FU274135123.Q,FU284135125.Q,FU264016005.Q,FU764112005.Q,FU764112205.Q,FU754012205.Q,FU743020003.Q,FU474012205.Q,FU754112205.Q,FU904010005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-462.00,401.00,-909.00,44.00,21.00,-19.00,36.00,-184.00,401.00,0.00,0.00,-181.00,-498.00,177.00,177.00,0.00,224.00,224.00,0.00,0.00,-184.00,-184.00,2.00,-186.00,-216.00,-216.00,0.00,63.00,71.00,8.00,28.00,29.00,-1.00,0.00,0.00,0.00,-181.00,-480.00,-493.00,7.00,-21.00,19.00,-13.00,-498.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,2121.00,1930.00,57.00,123.00,2.00,9.00,1996.00,-27.00,1930.00,0.00,0.00,93.00,125.00,170.00,170.00,0.00,1760.00,1760.00,0.00,0.00,-27.00,-27.00,-45.00,18.00,55.00,55.00,0.00,125.00,133.00,8.00,87.00,86.00,1.00,0.00,0.00,0.00,93.00,115.00,122.00,8.00,-2.00,-9.00,7.00,125.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
