date,FU893163005.Q,FU103163003.Q,FU793163005.Q,FU763163005.Q,FU673163005.Q,FU613163005.Q,FU643163005.Q,FU663163003.Q,FU733163003.Q,FU503163005.Q,FU263163005.Q,FU893163005.Q,FU153063005.Q,FU313063763.Q,FU213063003.Q,FU763063005.Q,FU763063605.Q,FU763063095.Q,FU753063005.Q,FU743063005.Q,FU473063005.Q,FU473063605.Q,FU473063095.Q,FU513063003.Q,FU513063603.Q,FU513063095.Q,FU543063005.Q,FU543063673.Q,FU543063095.Q,FU573063005.Q,FU343063005.Q,FU223063045.Q,FU633063003.Q,FU653063005.Q,FU553063003.Q,FU563063003.Q,FU403063005.Q,FU403063605.Q,FU403063095.Q,FU613063003.Q,FU643063005.Q,FU663063005.Q,FU733063003.Q,FU503063005.Q,FU263063005.Q,FU263063603.Q,FU263063095.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,923.00,953.00,62.00,0.00,0.00,62.00,0.00,0.00,0.00,0.00,-92.00,923.00,-944.00,0.00,0.00,151.00,0.00,151.00,9.00,15.00,0.00,0.00,0.00,12.00,0.00,12.00,1805.00,0.00,1805.00,200.00,0.00,20.00,0.00,27.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,-103.00,0.00,0.00,-274.00,0.00,-274.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,2923.00,2813.00,131.00,0.00,0.00,131.00,0.00,0.00,0.00,0.00,-21.00,2923.00,-808.00,0.00,0.00,322.00,0.00,322.00,10.00,-11.00,0.00,0.00,0.00,63.00,0.00,63.00,3020.00,0.00,3020.00,200.00,0.00,30.00,0.00,-8.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,51.00,0.00,51.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
