date,FU893169005.Q,FU313069205.Q,FU153169203.Q,FU103169205.Q,FU113169205.Q,FU213169203.Q,FU403169283.Q,FU313069223.Q,FU503169205.Q,FU263169205.Q,FU263069500.Q,FU263069500.Q,FU763069703.Q,FU753069703.Q,FU103169705.Q,FU263169705.Q,FU733069005.Q,FU733069013.Q,FU733069023.Q,FU153169405.Q,FU313069403.Q,FU543069405.Q,FU403069330.Q,FU763169335.Q,FU473169333.Q,FU513169333.Q,FU543169373.Q,FU613169333.Q,FU643169373.Q,FU403069395.Q,FU153169305.Q,FU183169305.Q,FU113169305.Q,FU763169383.Q,FU673069505.Q,FU673069505.Q,FU613069500.Q,FU103169535.Q,FU113169535.Q,FU663067003.Q,FU663067003.Q,FU153067005.Q,FU153067005.Q,FU103169803.Q,FU153069803.Q,FU543069873.Q,FU653069803.Q,FU673069803.Q,FU663069803.Q,FU503069805.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,1792.00,2311.00,0.00,-155.00,98.00,-21.00,0.00,0.00,0.00,2389.00,0.00,0.00,59.00,14.00,57.00,16.00,0.00,0.00,0.00,-70.00,-2.00,-68.00,96.00,96.00,0.00,0.00,0.00,0.00,0.00,54.00,0.00,1.00,53.00,0.00,0.00,0.00,-53.00,-48.00,-5.00,-658.00,-658.00,39.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,4171.00,4065.00,0.00,31.00,221.00,19.00,0.00,0.00,0.00,3794.00,0.00,0.00,27.00,7.00,-4.00,38.00,0.00,0.00,0.00,42.00,-1.00,43.00,131.00,131.00,0.00,0.00,0.00,0.00,0.00,167.00,0.00,3.00,164.00,0.00,0.00,0.00,-237.00,-213.00,-24.00,42.00,42.00,-73.00,-73.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
