date,FU153050005.Q,FU543150005.Q,FU574190005.Q,FU344090005.Q,FU224190005.Q,FU153050005.Q,FU893131573.Q,FU763131573.Q,FU473131573.Q,FU543131503.Q,FU633131573.Q,FU653131573.Q,FU153131575.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6555.00,400.00,1380.00,3892.00,883.00,6555.00,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,6558.00,500.00,1517.00,3435.00,1106.00,6558.00,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,6948.00,600.00,1364.00,3633.00,1351.00,6948.00,ND,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,7417.00,625.00,1270.00,3962.00,1560.00,7417.00,ND,ND,ND,ND,ND,ND,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,8212.00,775.00,1002.00,4729.00,1706.00,8212.00,ND,ND,ND,ND,ND,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,13708.00,975.00,4564.00,6291.00,1878.00,13708.00,ND,ND,ND,ND,ND,ND,ND
1952:Q1,4006.00,270.00,1493.00,1740.00,503.00,4006.00,ND,ND,ND,ND,ND,ND,ND
1952:Q2,3728.00,284.00,1152.00,1775.00,517.00,3728.00,ND,ND,ND,ND,ND,ND,ND
1952:Q3,3796.00,288.00,1152.00,1820.00,536.00,3796.00,ND,ND,ND,ND,ND,ND,ND
1952:Q4,3909.00,283.00,1240.00,1838.00,548.00,3909.00,ND,ND,ND,ND,ND,ND,ND
1953:Q1,3962.00,280.00,1325.00,1810.00,547.00,3962.00,ND,ND,ND,ND,ND,ND,ND
1953:Q2,4107.00,279.00,1425.00,1839.00,564.00,4107.00,ND,ND,ND,ND,ND,ND,ND
1953:Q3,4176.00,280.00,1448.00,1865.00,583.00,4176.00,ND,ND,ND,ND,ND,ND,ND
1953:Q4,4128.00,286.00,1374.00,1870.00,598.00,4128.00,ND,ND,ND,ND,ND,ND,ND
1954:Q1,3974.00,288.00,1251.00,1836.00,599.00,3974.00,ND,ND,ND,ND,ND,ND,ND
1954:Q2,3936.00,288.00,1162.00,1866.00,620.00,3936.00,ND,ND,ND,ND,ND,ND,ND
1954:Q3,3963.00,294.00,1127.00,1902.00,640.00,3963.00,ND,ND,ND,ND,ND,ND,ND
1954:Q4,4029.00,305.00,1149.00,1922.00,653.00,4029.00,ND,ND,ND,ND,ND,ND,ND
1955:Q1,4052.00,322.00,1177.00,1902.00,651.00,4052.00,ND,ND,ND,ND,ND,ND,ND
1955:Q2,4204.00,341.00,1248.00,1944.00,671.00,4204.00,ND,ND,ND,ND,ND,ND,ND
1955:Q3,4303.00,341.00,1284.00,1984.00,694.00,4303.00,ND,ND,ND,ND,ND,ND,ND
1955:Q4,4297.00,321.00,1264.00,2002.00,710.00,4297.00,ND,ND,ND,ND,ND,ND,ND
1956:Q1,4301.00,299.00,1279.00,2004.00,719.00,4301.00,ND,ND,ND,ND,ND,ND,ND
1956:Q2,4406.00,271.00,1357.00,2042.00,736.00,4406.00,ND,ND,ND,ND,ND,ND,ND
1956:Q3,4700.00,280.00,1536.00,2123.00,761.00,4700.00,ND,ND,ND,ND,ND,ND,ND
1956:Q4,5106.00,325.00,1803.00,2200.00,778.00,5106.00,ND,ND,ND,ND,ND,ND,ND
1957:Q1,5379.00,368.00,1999.00,2233.00,779.00,5379.00,ND,ND,ND,ND,ND,ND,ND
1957:Q2,5728.00,411.00,2179.00,2331.00,807.00,5728.00,ND,ND,ND,ND,ND,ND,ND
1957:Q3,5841.00,421.00,2167.00,2413.00,840.00,5841.00,ND,ND,ND,ND,ND,ND,ND
1957:Q4,5691.00,400.00,1975.00,2449.00,867.00,5691.00,ND,ND,ND,ND,ND,ND,ND
1958:Q1,5394.00,375.00,1729.00,2416.00,874.00,5394.00,ND,ND,ND,ND,ND,ND,ND
1958:Q2,5304.00,351.00,1588.00,2459.00,906.00,5304.00,ND,ND,ND,ND,ND,ND,ND
1958:Q3,5404.00,363.00,1603.00,2506.00,932.00,5404.00,ND,ND,ND,ND,ND,ND,ND
1958:Q4,5653.00,411.00,1768.00,2532.00,942.00,5653.00,ND,ND,ND,ND,ND,ND,ND
1959:Q1,5817.00,468.00,1916.00,2505.00,928.00,5817.00,ND,ND,ND,ND,ND,ND,ND
