date,FU152090205.Q,FU112090205.Q,FU662090205.Q
1945:Q4,ND,ND,ND
1946:Q1,ND,ND,ND
1946:Q2,ND,ND,ND
1946:Q3,ND,ND,ND
1946:Q4,571.00,571.00,0.00
1947:Q1,ND,ND,ND
1947:Q2,ND,ND,ND
1947:Q3,ND,ND,ND
1947:Q4,86.00,86.00,0.00
1948:Q1,ND,ND,ND
1948:Q2,ND,ND,ND
1948:Q3,ND,ND,ND
1948:Q4,4819.00,4819.00,0.00
1949:Q1,ND,ND,ND
1949:Q2,ND,ND,ND
1949:Q3,ND,ND,ND
1949:Q4,1412.00,1412.00,0.00
1950:Q1,ND,ND,ND
1950:Q2,ND,ND,ND
1950:Q3,ND,ND,ND
1950:Q4,2103.00,2103.00,0.00
1951:Q1,ND,ND,ND
1951:Q2,ND,ND,ND
1951:Q3,ND,ND,ND
1951:Q4,1709.00,1709.00,0.00
1952:Q1,1376.00,1376.00,0.00
1952:Q2,-285.00,-285.00,0.00
1952:Q3,490.00,490.00,0.00
1952:Q4,957.00,957.00,0.00
1953:Q1,376.00,376.00,0.00
1953:Q2,-407.00,-407.00,0.00
1953:Q3,237.00,237.00,0.00
1953:Q4,2707.00,2707.00,0.00
1954:Q1,-454.00,-454.00,0.00
1954:Q2,-1067.00,-1067.00,0.00
1954:Q3,-722.00,-722.00,0.00
1954:Q4,1158.00,1158.00,0.00
1955:Q1,-152.00,-152.00,0.00
1955:Q2,-1482.00,-1482.00,0.00
1955:Q3,-628.00,-628.00,0.00
1955:Q4,1186.00,1186.00,0.00
1956:Q1,167.00,167.00,0.00
1956:Q2,-968.00,-968.00,0.00
1956:Q3,-322.00,-322.00,0.00
1956:Q4,1141.00,1141.00,0.00
1957:Q1,254.00,254.00,0.00
1957:Q2,-401.00,-401.00,0.00
1957:Q3,64.00,64.00,0.00
1957:Q4,476.00,476.00,0.00
1958:Q1,706.00,706.00,0.00
1958:Q2,60.00,60.00,0.00
1958:Q3,878.00,878.00,0.00
1958:Q4,1239.00,1239.00,0.00
1959:Q1,-783.00,-783.00,0.00
1959:Q2,-2359.00,-2359.00,0.00
1959:Q3,-1619.00,-1619.00,0.00
1959:Q4,243.00,243.00,0.00
1960:Q1,-122.00,-122.00,0.00
1960:Q2,-884.00,-884.00,0.00
1960:Q3,-112.00,-112.00,0.00
1960:Q4,230.00,230.00,0.00
1961:Q1,-1380.00,-1380.00,0.00
1961:Q2,-209.00,-209.00,0.00
1961:Q3,280.00,280.00,0.00
1961:Q4,1543.00,1543.00,0.00
1962:Q1,276.00,276.00,0.00
1962:Q2,-610.00,-610.00,0.00
1962:Q3,250.00,250.00,0.00
1962:Q4,658.00,658.00,0.00
1963:Q1,435.00,435.00,0.00
1963:Q2,-305.00,-305.00,0.00
1963:Q3,738.00,738.00,0.00
1963:Q4,1306.00,1306.00,0.00
1964:Q1,547.00,547.00,0.00
1964:Q2,-413.00,-413.00,0.00
1964:Q3,512.00,512.00,0.00
1964:Q4,1742.00,1742.00,0.00
1965:Q1,634.00,634.00,0.00
1965:Q2,-41.00,-41.00,0.00
1965:Q3,1125.00,1125.00,0.00
1965:Q4,2044.00,2044.00,0.00
1966:Q1,98.00,98.00,0.00
1966:Q2,-104.00,-104.00,0.00
1966:Q3,1657.00,1657.00,0.00
1966:Q4,1845.00,1845.00,0.00
1967:Q1,1435.00,1435.00,0.00
1967:Q2,-742.00,-742.00,0.00
1967:Q3,241.00,241.00,0.00
1967:Q4,-1.00,-1.00,0.00
1968:Q1,2420.00,2420.00,0.00
1968:Q2,-130.00,-130.00,0.00
1968:Q3,538.00,538.00,0.00
1968:Q4,331.00,331.00,0.00
1969:Q1,1125.00,1125.00,0.00
1969:Q2,-1206.00,-1206.00,0.00
1969:Q3,-159.00,-159.00,0.00
1969:Q4,379.00,379.00,0.00
1970:Q1,3277.00,3277.00,0.00
1970:Q2,-1486.00,-1486.00,0.00
1970:Q3,-1491.00,-1491.00,0.00
1970:Q4,-658.00,-658.00,0.00
1971:Q1,1338.00,1338.00,0.00
1971:Q2,-572.00,-572.00,0.00
