date,FU886000115.Q,FU896006005.Q,FU836006005.Q,FU826006005.Q,FU106012005.Q,FU796012005.Q,FU156006005.Q,FU366006005.Q,FU316006005.Q,FU206006005.Q,FU886300095.Q,FU836300005.Q,FU826300003.Q,FU106300083.Q,FU116300001.Q,FU796300081.Q,FU156300003.Q,FU366300005.Q,FU316300003.Q,FU206300003.Q,FU885090015.Q,FU885019905.Q,FU835019905.Q,FU825019905.Q,FU105019985.Q,FU115050085.Q,FU795013005.Q,FU155019005.Q,FU365019005.Q,FU315019001.Q,FU205019001.Q,FU265430003.Q,FU835430005.Q,FU825430005.Q,FU105430005.Q,FU115440005.Q,FU795440005.Q,FU155430005.Q,FU365430005.Q,FU315430005.Q,FU205430005.Q,FU885000905.Q,FU835000905.Q,FU825000905.Q,FU105000995.Q,FU115000905.Q,FU795000905.Q,FU155000905.Q,FU365000905.Q,FU315000905.Q,FU205000905.Q,FU087005005.Q,FU895404005.Q,FU835404005.Q,FU825404003.Q,FU155404003.Q,FU365404005.Q,FU315404003.Q,FU215404003.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,41527.00,15756.00,23136.00,3565.00,2643.00,922.00,19571.00,-7380.00,-8166.00,786.00,25771.00,14248.00,11948.00,7752.00,3898.00,298.00,2300.00,11523.00,9952.00,1571.00,42754.00,37837.00,33129.00,25738.00,19243.00,5943.00,552.00,7391.00,4708.00,3079.00,1629.00,0.00,808.00,-70.00,-70.00,0.00,0.00,878.00,-808.00,-642.00,-166.00,4917.00,4674.00,-8928.00,-7551.00,-2045.00,668.00,13602.00,243.00,-651.00,894.00,1223.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,49244.00,20044.00,17591.00,6575.00,5893.00,682.00,11016.00,2453.00,2381.00,72.00,29200.00,17735.00,14764.00,9476.00,4904.00,384.00,2971.00,11465.00,9591.00,1874.00,52102.00,42813.00,37130.00,25989.00,18426.00,6928.00,635.00,11141.00,5683.00,2793.00,2890.00,0.00,906.00,-90.00,-90.00,0.00,0.00,996.00,-906.00,-676.00,-230.00,9289.00,148.00,-1702.00,-109.00,-2024.00,431.00,1850.00,9141.00,9855.00,-714.00,2852.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,61514.00,30121.00,29145.00,11936.00,10644.00,1292.00,17209.00,976.00,919.00,57.00,31393.00,20822.00,17397.00,11120.00,5835.00,442.00,3425.00,10571.00,8433.00,2138.00,61250.00,58833.00,50345.00,35850.00,21979.00,13144.00,727.00,14495.00,8488.00,4419.00,4069.00,0.00,952.00,-116.00,-116.00,0.00,0.00,1068.00,-952.00,-619.00,-333.00,2417.00,-1594.00,-6665.00,-363.00,-7309.00,1007.00,5071.00,4011.00,5552.00,-1541.00,-272.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,49556.00,17219.00,25257.00,11617.00,9979.00,1638.00,13640.00,-8038.00,-8527.00,489.00,32337.00,22591.00,18933.00,12008.00,6440.00,485.00,3658.00,9746.00,7570.00,2176.00,51283.00,50404.00,39095.00,25326.00,15256.00,9306.00,764.00,13769.00,11309.00,5912.00,5397.00,0.00,716.00,-199.00,-199.00,0.00,0.00,915.00,-716.00,-368.00,-348.00,879.00,9764.00,7150.00,8657.00,-2866.00,1359.00,2614.00,-8885.00,-6501.00,-2384.00,1718.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
