date,FU895410005.Q,FU825410005.Q,FU795410005.Q,FU515410073.Q,FU795410003.Q,FU105410003.Q,FU115410003.Q,FU365410005.Q,FU315410005.Q,FU205400033.Q,FU315410073.Q,FU315410093.Q,FU315410043.Q,FU315410053.Q,FU315410063.Q,FU205410073.Q,FU205410073.Q,FU155410035.Q,FU315400053.Q,FU205400053.Q,FU265410005.Q,FU265410073.Q,FU265410003.Q,FU895400005.Q,FU825400005.Q,FU795400005.Q,FU515400073.Q,FU795400003.Q,FU105400005.Q,FU105400073.Q,FU105400003.Q,FU115400005.Q,FU115400075.Q,FU115400003.Q,FU365400005.Q,FU315400053.Q,FU315400053.Q,FU205400005.Q,FU205400073.Q,FU205400053.Q,FU205400033.Q,FU205400003.Q,FU155400005.Q,FU155400073.Q,FU155400003.Q,FU265400005.Q,FU265400033.Q,FU265400003.Q,FU825440005.Q,FU795440005.Q,FU515440005.Q,FU765440005.Q,FU765400035.Q,FU765440015.Q,FU405400033.Q,FU735400033.Q,FU505400033.Q,FU105440005.Q,FU115440005.Q,FU365440005.Q,FU315440005.Q,FU205440005.Q,FU155440005.Q,FU265440005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,961.00,0.00,0.00,0.00,0.00,0.00,0.00,83.00,83.00,83.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,878.00,725.00,153.00,0.00,0.00,0.00,961.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,961.00,725.00,725.00,236.00,0.00,153.00,83.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-878.00,-642.00,-236.00,878.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1139.00,0.00,0.00,0.00,0.00,0.00,0.00,143.00,143.00,143.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,996.00,819.00,177.00,0.00,0.00,0.00,1139.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1139.00,819.00,819.00,320.00,0.00,177.00,143.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-996.00,-676.00,-320.00,996.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
