date,FL384090005.Q,FL313011005.Q,FL383091005.Q,FL383020005.Q,FL383030005.Q,FL383034005.Q,FL382051005.Q,FL384022005.Q,FL383069105.Q,FL383061105.Q,FL383061705.Q,FL383062005.Q,FL383063005.Q,FL384023005.Q,FL383069005.Q,FL383065005.Q,FL383066005.Q,LM383064105.Q,LM383064205.Q,FL383070005.Q,FL153040005.Q,FL153050005.Q,FL383078005.Q,FL152090205.Q,FL103092005.Q,FL383090005.Q,FL384190005.Q,FL313111303.Q,FL713014003.Q,FL313112003.Q,FL384122005.Q,FL103169100.Q,FL313161105.Q,FL313161705.Q,FL383162005.Q,FL103163003.Q,FL384123005.Q,FL383168005.Q,FL383169005.Q,FL383165005.Q,FL153166000.Q,FL383170005.Q,FL313140003.Q,FL143178005.Q,FL143192005.Q,FL383190005.Q
1945:Q4,793728.93,18.00,33.00,122118.00,51763.00,0.00,0.00,105127.00,0.00,90556.00,295.00,5880.00,8396.00,22107.00,5156.00,13578.00,3373.00,144855.00,1245.00,26311.00,39560.00,57011.00,10107.00,197384.93,6990.00,9099.00,424781.90,0.00,0.00,2310.00,290515.00,95.00,254077.00,308.00,12130.00,23905.00,61887.00,10543.00,8691.00,35853.00,6800.00,21091.00,3593.00,10105.00,1548.00,33732.90
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,825752.00,-71.00,68.00,106619.00,58296.00,0.00,0.00,96465.00,117.00,83085.00,227.00,5584.00,7452.00,27080.00,8306.00,14784.00,3990.00,138515.00,1298.00,29397.00,43360.00,64505.00,8718.00,234183.00,6971.00,10348.00,427286.00,0.00,0.00,2436.00,268500.00,137.00,231201.00,105.00,12199.00,24858.00,75464.00,14910.00,8745.00,42032.00,9777.00,27240.00,4758.00,8147.00,1536.00,39205.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,891327.00,1330.00,51.00,108785.00,61925.00,0.00,0.00,96630.00,232.00,83246.00,285.00,6223.00,6644.00,33273.00,12292.00,16081.00,4900.00,136405.00,1413.00,34794.00,46510.00,71873.00,11066.00,267381.00,8088.00,11803.00,450888.00,0.00,0.00,2408.00,266551.00,172.00,224830.00,68.00,13810.00,27671.00,90134.00,18612.00,9026.00,49198.00,13298.00,30922.00,5363.00,10333.00,1627.00,43550.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
