date,FL164090005.A,FL163020005.A,FL163030005.A,FL163034005.A,FL162051005.A,FL164022005.A,FL163069103.A,FL163061105.A,FL163061705.A,FL163062005.A,FL163063005.A,FL164023005.A,FL163065005.A,FL163067005.A,LM163064105.A,LM163064205.A,FL163070005.A,FL162090205.A,FL163093005.A,FL164190005.A,FL163162003.A,FL164123005.A,FL163168003.A,FL163169385.A,FL163165505.A,FL163170003.A,FL163193005.A
1987,496934.00,12510.00,1245.00,25039.00,852.00,171024.00,55346.00,49284.00,21837.00,97.00,44460.00,21927.00,2898.00,19029.00,128880.00,10463.00,19029.00,21121.00,65815.00,175384.00,78073.00,60073.00,10193.00,334.00,49546.00,31272.00,5966.00
1988,616337.00,16953.00,1459.00,15865.00,1654.00,226732.00,93557.00,55716.00,26297.00,102.00,51060.00,28277.00,2599.00,25678.00,145759.00,10246.00,25678.00,26073.00,91963.00,253833.00,79564.00,74840.00,11773.00,325.00,62742.00,41271.00,58158.00
1989,739032.00,15940.00,6811.00,20785.00,4792.00,247706.00,87881.00,69492.00,28922.00,626.00,60785.00,32037.00,3526.00,28511.00,203000.00,15803.00,28511.00,22217.00,112919.00,287458.00,82715.00,83380.00,13130.00,278.00,69972.00,57444.00,63919.00
1990,773258.00,17252.00,646.00,19625.00,2544.00,270582.00,93658.00,74250.00,33524.00,135.00,69015.00,33959.00,2844.00,31115.00,197465.00,15334.00,31115.00,16176.00,137445.00,319530.00,85694.00,92237.00,14487.00,545.00,77205.00,66788.00,74811.00
1991,861180.00,21264.00,11058.00,52546.00,1287.00,253076.00,58500.00,80316.00,37124.00,184.00,76952.00,35900.00,2785.00,33115.00,214556.00,15859.00,33115.00,31422.00,157982.00,357124.00,89511.00,102769.00,16092.00,921.00,85756.00,76202.00,88642.00
1992,924421.00,22486.00,8678.00,56507.00,7265.00,263105.00,52676.00,87132.00,40270.00,430.00,82597.00,37936.00,3676.00,34260.00,241066.00,17682.00,34260.00,42014.00,159162.00,386828.00,91891.00,110392.00,17326.00,733.00,92333.00,82073.00,102473.00
1993,992161.00,24143.00,7145.00,42725.00,7810.00,287707.00,65040.00,92192.00,42608.00,763.00,87104.00,39640.00,4593.00,35047.00,270176.00,18503.00,36072.00,49030.00,174163.00,420961.00,92952.00,123146.00,19331.00,796.00,103019.00,88063.00,116800.00
1994,1062577.00,21595.00,7328.00,43822.00,8010.00,304450.00,69716.00,98548.00,45545.00,1145.00,89496.00,41522.00,4451.00,37071.00,308161.00,18990.00,38145.00,49190.00,184293.00,444935.00,96138.00,122313.00,19177.00,938.00,102198.00,93230.00,133254.00
1995,1252625.00,23872.00,7536.00,45066.00,8237.00,342381.00,71731.00,114920.00,53110.00,1241.00,101379.00,43916.00,5325.00,38591.00,397077.00,24586.00,39710.00,59404.00,222249.00,481352.00,96359.00,121535.00,19072.00,824.00,101639.00,101090.00,162368.00
1996,1456109.00,32137.00,8591.00,54474.00,9627.00,378479.00,75821.00,128778.00,59513.00,1267.00,113100.00,47986.00,5957.00,42029.00,494704.00,30422.00,43170.00,67795.00,246695.00,517655.00,102440.00,126439.00,19843.00,853.00,105743.00,109116.00,179661.00
1997,1653074.00,35003.00,8902.00,52694.00,9632.00,400980.00,77115.00,137641.00,63609.00,1208.00,121407.00,52364.00,6586.00,45778.00,604890.00,34538.00,45778.00,77493.00,285022.00,555836.00,109571.00,129899.00,20415.00,689.00,108795.00,118008.00,198359.00
1998,1844214.00,38101.00,9994.00,59772.00,10925.00,436493.00,80163.00,149245.00,68972.00,1343.00,136770.00,57789.00,7448.00,50341.00,692037.00,38724.00,50341.00,89986.00,309711.00,609330.00,121329.00,141533.00,22269.00,590.00,118674.00,126753.00,219715.00
1999,2026157.00,40432.00,10632.00,63582.00,11622.00,482352.00,84859.00,166777.00,77077.00,1475.00,152164.00,59721.00,8270.00,51451.00,769338.00,42702.00,51451.00,102008.00,340866.00,644065.00,131742.00,144668.00,22745.00,712.00,121211.00,130895.00,236760.00
2000,2059536.00,45520.00,11392.00,68126.00,12452.00,513214.00,97305.00,172185.00,79577.00,1517.00,162630.00,65739.00,9986.00,55753.00,708648.00,38799.00,55753.00,118286.00,365854.00,712534.00,137501.00,158180.00,24925.00,426.00,132829.00,134711.00,282143.00
