date,FL114090005.Q,FL113020005.Q,FL113030003.Q,FL113034003.Q,FL114022005.Q,FL113061003.Q,FL113062003.Q,FL114023005.Q,FL113065005.Q,FL113066003.Q,FL113070003.Q,FL113090005.Q,FL113076005.Q,FL113092405.Q,FL113093005.Q,FL114190005.Q,FL114123005.Q,FL113168005.Q,FL113169005.Q,FL113165005.Q,FL113170005.Q,FL113178003.Q,FL115114005.Q,FL113193003.Q
1945:Q4,23596.56,16988.53,0.00,0.00,0.00,0.00,0.00,579.00,0.00,579.00,4548.00,1481.03,1299.73,181.30,0.00,14900.05,11287.33,1340.68,1656.53,8290.12,3557.72,0.00,55.00,0.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,25492.00,17593.00,0.00,0.00,0.00,0.00,0.00,669.00,0.00,669.00,5553.00,1677.00,1534.00,143.00,0.00,19129.00,14019.00,2231.00,2605.00,9183.00,5056.00,0.00,55.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,26336.00,17770.00,0.00,0.00,0.00,0.00,0.00,781.00,0.00,781.00,5864.00,1921.00,1798.00,124.00,0.00,21915.00,15781.00,2882.00,2968.00,9930.00,6078.00,0.00,56.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,26255.00,17276.00,0.00,0.00,0.00,0.00,0.00,902.00,0.00,902.00,5934.00,2142.00,2017.00,126.00,0.00,24421.00,17157.00,2972.00,3295.00,10890.00,7203.00,0.00,61.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,26426.00,17148.00,0.00,0.00,0.00,0.00,0.00,966.00,0.00,966.00,5995.00,2317.00,2188.00,129.00,0.00,26064.00,18539.00,2840.00,3572.00,12126.00,7463.00,0.00,62.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
