date,FL364090005.Q,FL313011005.Q,FL363020005.Q,FL363030005.Q,FL213034003.Q,FL212051003.Q,FL364022005.Q,FL213069103.Q,FL213061105.Q,FL363061705.Q,FL213062003.Q,FL363063005.Q,FL364023005.Q,FL363065005.Q,FL313066220.Q,FL313069005.Q,LM363064105.Q,LM213064203.Q,FL363070005.Q,FL363078005.Q,FL363090005.Q,FL364190005.Q,FL313111303.Q,FL713014003.Q,FL313112003.Q,FL364122005.Q,FL314122005.Q,FL213162005.Q,FL364123005.Q,FL313165403.Q,FL213169203.Q,FL363170005.Q,FL313140003.Q,FL363190005.Q,FL374090005.Q,FL374190005.Q
1945:Q4,57567.00,18.00,30652.00,633.00,0.00,0.00,7524.00,0.00,5531.00,234.00,1759.00,0.00,5846.00,1384.00,0.00,4462.00,0.00,0.00,1942.00,10107.00,845.00,308953.00,0.00,0.00,2310.00,266515.00,254385.00,12130.00,505.00,0.00,505.00,3311.00,3593.00,32719.00,51531.00,302917.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,35851.00,-71.00,8796.00,828.00,0.00,0.00,6767.00,0.00,5179.00,134.00,1454.00,0.00,8636.00,1063.00,0.00,7573.00,0.00,0.00,1265.00,8718.00,912.00,290385.00,0.00,0.00,2436.00,243505.00,231306.00,12199.00,484.00,0.00,484.00,1444.00,4758.00,37758.00,30188.00,284722.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,45111.00,1330.00,8977.00,978.00,0.00,0.00,7442.00,0.00,5890.00,137.00,1415.00,0.00,12627.00,995.00,0.00,11632.00,0.00,0.00,1376.00,11066.00,1315.00,289323.00,0.00,0.00,2408.00,238708.00,224898.00,13810.00,503.00,0.00,503.00,646.00,5363.00,41695.00,38718.00,282930.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,50299.00,1729.00,10655.00,1255.00,0.00,0.00,8046.00,0.00,6277.00,334.00,1435.00,0.00,14044.00,1095.00,0.00,12949.00,0.00,0.00,1462.00,11878.00,1230.00,290128.00,0.00,0.00,2403.00,235156.00,220012.00,15144.00,573.00,0.00,573.00,789.00,5576.00,45631.00,43449.00,283278.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,50755.00,1878.00,11230.00,1472.00,0.00,0.00,8425.00,0.00,6343.00,334.00,1748.00,0.00,15330.00,1641.00,0.00,13689.00,0.00,0.00,1427.00,9614.00,1379.00,298682.00,0.00,0.00,2384.00,239759.00,223629.00,16130.00,488.00,0.00,488.00,950.00,5660.00,49441.00,43924.00,291851.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,60499.00,1594.00,11443.00,1581.00,0.00,0.00,9118.00,0.00,6852.00,234.00,2032.00,0.00,16087.00,2010.00,0.00,14077.00,0.00,0.00,2287.00,17015.00,1374.00,309084.00,0.00,0.00,2374.00,243889.00,223234.00,20655.00,555.00,0.00,555.00,2164.00,5969.00,54133.00,53092.00,301677.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,69464.00,1631.00,11957.00,1821.00,0.00,0.00,9832.00,0.00,7332.00,439.00,2061.00,0.00,17376.00,2609.00,0.00,14767.00,0.00,0.00,3425.00,22101.00,1321.00,319854.00,0.00,0.00,2398.00,246276.00,223506.00,22770.00,816.00,0.00,816.00,3850.00,6142.00,60372.00,61316.00,311706.00
1952:Q1,62017.00,1634.00,15475.00,1927.00,0.00,80.00,10141.00,0.00,7680.00,368.00,2093.00,0.00,17927.00,2983.00,0.00,14944.00,0.00,0.00,3657.00,9830.00,1346.00,322591.00,0.00,0.00,2413.00,247217.00,222201.00,25016.00,771.00,0.00,771.00,3771.00,6157.00,62262.00,53566.00,314140.00
1952:Q2,63564.00,1663.00,15479.00,1948.00,0.00,167.00,10808.00,0.00,8140.00,563.00,2105.00,0.00,18262.00,3044.00,0.00,15218.00,0.00,0.00,3964.00,9836.00,1437.00,326705.00,0.00,0.00,2420.00,249512.00,222032.00,27480.00,844.00,0.00,844.00,3797.00,6177.00,63955.00,54580.00,317721.00
1952:Q3,64774.00,1671.00,15138.00,1949.00,0.00,679.00,10957.00,0.00,8218.00,626.00,2113.00,0.00,18716.00,3136.00,0.00,15580.00,0.00,0.00,4292.00,9832.00,1540.00,333489.00,0.00,0.00,2429.00,254348.00,225653.00,28695.00,980.00,0.00,980.00,4017.00,6185.00,65530.00,55576.00,324291.00
1952:Q4,64749.00,1557.00,14631.00,1979.00,0.00,247.00,11251.00,0.00,8538.00,602.00,2111.00,0.00,19124.00,3342.00,0.00,15782.00,0.00,0.00,4450.00,9842.00,1668.00,341306.00,0.00,0.00,2435.00,259486.00,229829.00,29657.00,1138.00,0.00,1138.00,4415.00,6185.00,67647.00,55073.00,331630.00
1953:Q1,64504.00,1578.00,15466.00,2003.00,0.00,256.00,11532.00,0.00,8826.00,592.00,2114.00,0.00,19492.00,3548.00,0.00,15944.00,0.00,0.00,4746.00,7868.00,1563.00,341946.00,0.00,0.00,2438.00,258132.00,226911.00,31221.00,913.00,0.00,913.00,4651.00,6193.00,69619.00,54765.00,332207.00
1953:Q2,63056.00,1506.00,13539.00,2082.00,0.00,0.00,11647.00,0.00,8988.00,515.00,2144.00,0.00,20312.00,3718.00,0.00,16594.00,0.00,0.00,4671.00,7867.00,1432.00,344623.00,0.00,0.00,2451.00,259305.00,226926.00,32379.00,839.00,0.00,839.00,4572.00,6211.00,71245.00,53229.00,334796.00
1953:Q3,67105.00,1561.00,15709.00,2040.00,0.00,815.00,11811.00,0.00,9114.00,494.00,2203.00,0.00,20997.00,3826.00,0.00,17171.00,0.00,0.00,4748.00,7859.00,1565.00,354812.00,0.00,0.00,2458.00,267403.00,233608.00,33795.00,842.00,0.00,842.00,4691.00,6236.00,73182.00,57149.00,344856.00
1953:Q4,64666.00,1471.00,13483.00,2299.00,0.00,175.00,12151.00,0.00,9342.00,516.00,2293.00,0.00,21159.00,3815.00,0.00,17344.00,0.00,0.00,4417.00,7820.00,1691.00,361947.00,0.00,0.00,2469.00,272391.00,237379.00,35012.00,774.00,0.00,774.00,4758.00,6259.00,75296.00,54550.00,351831.00
1954:Q1,64110.00,1429.00,15685.00,2627.00,0.00,-216.00,12351.00,0.00,9402.00,565.00,2384.00,0.00,21098.00,3769.00,0.00,17329.00,0.00,0.00,4682.00,4926.00,1528.00,361831.00,0.00,0.00,2491.00,270009.00,233493.00,36516.00,670.00,0.00,670.00,5061.00,6246.00,77354.00,54038.00,351759.00
1954:Q2,64915.00,1439.00,16087.00,2670.00,0.00,0.00,12483.00,0.00,9466.00,576.00,2441.00,0.00,21299.00,4337.00,0.00,16962.00,0.00,0.00,4577.00,4940.00,1420.00,363739.00,0.00,0.00,2501.00,270601.00,232735.00,37866.00,477.00,0.00,477.00,4853.00,6187.00,79120.00,54972.00,353796.00
1954:Q3,63024.00,1264.00,13091.00,2782.00,0.00,1006.00,12712.00,0.00,9638.00,606.00,2468.00,0.00,20765.00,3877.00,0.00,16888.00,0.00,0.00,4867.00,4959.00,1578.00,369292.00,0.00,0.00,2503.00,273942.00,234566.00,39376.00,453.00,0.00,453.00,4897.00,6087.00,81410.00,52933.00,359201.00
1954:Q4,63238.00,1302.00,13510.00,2789.00,0.00,172.00,12916.00,0.00,9789.00,660.00,2467.00,0.00,20957.00,4007.00,0.00,16950.00,0.00,0.00,4823.00,4985.00,1784.00,378465.00,0.00,0.00,2505.00,280858.00,240195.00,40663.00,439.00,0.00,439.00,5104.00,5960.00,83599.00,53010.00,368237.00
