date,FL314090005.Q,FL313011005.Q,FL313020005.Q,FL313030003.Q,FL314022005.Q,FL313061703.Q,FL313063763.Q,FL314023005.Q,FL313069005.Q,FL313065005.Q,FL313066220.Q,LM313064105.Q,FL313070000.Q,FL313078005.Q,FL313090005.Q,FL314190005.Q,FL313111303.Q,FL713014003.Q,FL313112003.Q,FL314122005.Q,FL313161105.Q,FL313161205.Q,FL313161305.Q,FL313161705.Q,FL313165403.Q,FL313170005.Q,FL313140003.Q,FL313190005.Q,FL343073005.Q,FL313190015.Q
1945:Q4,44257.00,18.00,26937.00,104.00,0.00,0.00,0.00,5846.00,4462.00,1384.00,0.00,0.00,900.00,9607.00,845.00,288729.00,0.00,0.00,2310.00,254385.00,254077.00,208239.00,45838.00,308.00,0.00,2679.00,3593.00,25762.00,21152.00,4610.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,22104.00,-71.00,4214.00,120.00,0.00,0.00,0.00,8611.00,7573.00,1038.00,0.00,0.00,100.00,8218.00,912.00,268630.00,0.00,0.00,2436.00,231306.00,231201.00,183777.00,47424.00,105.00,0.00,666.00,4758.00,29464.00,24889.00,4575.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,29561.00,1330.00,3662.00,111.00,0.00,0.00,0.00,12577.00,11632.00,945.00,0.00,0.00,0.00,10566.00,1315.00,264457.00,0.00,0.00,2408.00,224898.00,224830.00,174498.00,50332.00,68.00,0.00,0.00,5363.00,31788.00,27469.00,4319.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,33241.00,1729.00,4847.00,117.00,0.00,0.00,0.00,13940.00,12949.00,991.00,0.00,0.00,0.00,11378.00,1230.00,262227.00,0.00,0.00,2403.00,220012.00,219097.00,166341.00,52756.00,915.00,0.00,0.00,5576.00,34236.00,30203.00,4033.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,32884.00,1878.00,5186.00,182.00,0.00,0.00,0.00,15145.00,13689.00,1456.00,0.00,0.00,0.00,9114.00,1379.00,268261.00,0.00,0.00,2384.00,223629.00,222625.00,167366.00,55259.00,1004.00,0.00,0.00,5660.00,36588.00,33015.00,3573.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
