date,FL214090005.Q,FL213020005.Q,FL213030005.Q,FL213034003.Q,FL212051003.Q,FL214022005.Q,FL213069103.Q,FL213061105.Q,FL213061703.Q,FL213062003.Q,FL213063003.Q,FL213065005.Q,LM213064103.Q,LM213064203.Q,FL213070003.Q,FL213078005.Q,FL213093003.Q,FL214190005.Q,FL213162005.Q,FL213162400.Q,FL213162200.Q,FL213169203.Q,FL213170003.Q,FL223073045.Q
1945:Q4,13310.00,3715.00,529.00,0.00,0.00,7524.00,0.00,5531.00,234.00,1759.00,0.00,0.00,0.00,0.00,1042.00,500.00,0.00,20224.00,12130.00,312.00,11818.00,505.00,632.00,6957.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,13747.00,4582.00,708.00,0.00,0.00,6767.00,0.00,5179.00,134.00,1454.00,0.00,25.00,0.00,0.00,1165.00,500.00,0.00,21755.00,12199.00,313.00,11886.00,484.00,778.00,8294.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,15550.00,5315.00,867.00,0.00,0.00,7442.00,0.00,5890.00,137.00,1415.00,0.00,50.00,0.00,0.00,1376.00,500.00,0.00,24866.00,13810.00,512.00,13298.00,503.00,646.00,9907.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,17058.00,5808.00,1138.00,0.00,0.00,8046.00,0.00,6277.00,334.00,1435.00,0.00,104.00,0.00,0.00,1462.00,500.00,0.00,27901.00,15144.00,677.00,14467.00,573.00,789.00,11395.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,17871.00,6044.00,1290.00,0.00,0.00,8425.00,0.00,6343.00,334.00,1748.00,0.00,185.00,0.00,0.00,1427.00,500.00,0.00,30421.00,16130.00,881.00,15249.00,488.00,950.00,12853.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,19628.00,6495.00,1391.00,0.00,0.00,9118.00,0.00,6852.00,234.00,2032.00,0.00,237.00,0.00,0.00,1887.00,500.00,0.00,36559.00,20655.00,1274.00,19381.00,555.00,1064.00,14285.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
