date,FL794090005.Q,FL713011005.Q,FL713014003.Q,FL713012003.Q,FL633091003.Q,FL794010005.Q,FL793020005.Q,FL793030005.Q,FL793034005.Q,FL792050005.Q,FL794022005.Q,FL793069175.Q,FL793061105.Q,FL793061705.Q,FL793062005.Q,FL793063005.Q,FL794023005.Q,FL793068005.Q,FL793069005.Q,FL793065005.Q,FL793066005.Q,LM793064105.Q,LM793064205.Q,FL793070005.Q,FL793040005.Q,FL793092005.Q,FL793090005.Q,FL794190005.Q,FL794110005.Q,FL793120005.Q,FL703130005.Q,FL634090005.Q,FL792150005.Q,FL794122005.Q,FL793169175.Q,FL423161705.Q,FL793163005.Q,FL794123005.Q,FL793168005.Q,FL793169005.Q,FL643165005.Q,LM653164205.Q,FL663170003.Q,FL543140005.Q,FL153050005.Q,FL793178005.Q,FL793192005.Q,FL793190005.Q,LM793164105.Q,FL662090205.Q
1945:Q4,336242.00,20065.00,0.00,4183.00,0.00,18564.00,2662.00,160.00,0.00,28.00,186406.00,273.00,160947.00,886.00,6250.00,18050.00,47002.00,14601.00,6699.00,22275.00,3427.00,5297.00,0.00,361.00,0.00,237.00,51277.00,316901.00,18507.00,133687.00,53501.00,0.00,18.00,1224.00,220.00,873.00,131.00,4468.00,3569.00,899.00,0.00,1245.00,10.00,35967.00,57011.00,443.00,959.00,9861.00,48216.00,0.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,340105.00,20529.00,0.00,4406.00,0.00,18781.00,3098.00,158.00,0.00,42.00,174266.00,398.00,146016.00,1046.00,6615.00,20191.00,57324.00,18146.00,6143.00,27248.00,5787.00,5451.00,0.00,478.00,0.00,256.00,55316.00,319371.00,18045.00,119110.00,60036.00,0.00,23.00,1797.00,436.00,1168.00,193.00,3448.00,2414.00,1034.00,0.00,1298.00,25.00,38602.00,64505.00,457.00,967.00,11058.00,48353.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,359911.00,22475.00,0.00,4406.00,0.00,20684.00,3413.00,142.00,0.00,124.00,171878.00,469.00,138884.00,1067.00,7587.00,23871.00,69409.00,21571.00,6323.00,33117.00,8398.00,5944.00,0.00,578.00,0.00,278.00,60580.00,337984.00,20166.00,120215.00,63631.00,0.00,25.00,2201.00,593.00,1284.00,324.00,3059.00,1967.00,1092.00,0.00,1413.00,40.00,41147.00,71873.00,348.00,976.00,12890.00,48741.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
