date,FL714090005.Q,FL713011005.Q,FL713014003.Q,FL713012003.Q,FL713022003.Q,FL713068705.Q,FL713068703.Q,FL763069143.Q,FL712051000.Q,FL714022005.Q,FL713069603.Q,FL713061100.Q,FL713061113.Q,FL713061125.Q,FL713061705.Q,FL713061903.Q,FL713061703.Q,FL713068005.Q,FL713068303.Q,FL713068665.Q,FL713068505.Q,FL713068473.Q,FL713064103.Q,FL713090005.Q,FL713091103.Q,FL713093005.Q,FL714190005.Q,FL713113003.Q,FL703025005.Q,FL713120005.Q,FL713123005.Q,FL713123023.Q,FL713123030.Q,FL713123043.Q,FL713122605.Q,FL713124003.Q,FL713125005.Q,FL712151003.Q,FL712151103.Q,FL712151115.Q,FL713190005.Q,FL713164003.Q,FL713193005.Q
1945:Q4,49439.00,20065.00,0.00,4183.00,578.00,202.00,202.00,0.00,0.00,24262.00,0.00,24262.00,21195.00,3067.00,0.00,0.00,0.00,49.00,0.00,0.00,0.00,49.00,0.00,100.00,0.00,100.00,49029.00,15915.00,1869.00,31114.00,3264.00,2287.00,977.00,0.00,1204.00,0.00,26646.00,0.00,0.00,0.00,131.00,177.00,-46.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,49110.00,20529.00,0.00,4406.00,580.00,16.00,16.00,0.00,0.00,23350.00,0.00,23350.00,22241.00,1109.00,0.00,0.00,0.00,148.00,0.00,0.00,0.00,148.00,0.00,81.00,0.00,81.00,48619.00,16139.00,2046.00,30377.00,2665.00,2272.00,393.00,0.00,806.00,0.00,26906.00,0.00,0.00,0.00,57.00,187.00,-130.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,50211.00,22475.00,0.00,4406.00,535.00,34.00,34.00,0.00,0.00,22559.00,0.00,22559.00,18230.00,4329.00,0.00,0.00,0.00,52.00,0.00,0.00,0.00,52.00,0.00,150.00,0.00,150.00,49711.00,17899.00,2216.00,29290.00,2206.00,1336.00,870.00,0.00,432.00,0.00,26652.00,0.00,0.00,0.00,306.00,196.00,110.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,52675.00,23963.00,0.00,4433.00,541.00,33.00,33.00,0.00,0.00,23333.00,0.00,23333.00,11565.00,11768.00,0.00,0.00,0.00,191.00,0.00,0.00,0.00,191.00,0.00,181.00,0.00,181.00,52115.00,20479.00,1978.00,29353.00,2448.00,1325.00,1123.00,0.00,659.00,0.00,26246.00,0.00,0.00,0.00,305.00,201.00,104.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
