date,FL704090005.Q,FL703025005.Q,FL713113003.Q,FL702050005.Q,FL704022005.Q,FL703069175.Q,FL703061105.Q,FL703061705.Q,FL703062005.Q,FL703063005.Q,FL704023005.Q,FL703068005.Q,FL703069005.Q,FL703065005.Q,FL703066005.Q,LM703064105.Q,LM703064205.Q,FL763040005.Q,FL763092000.Q,FL703090005.Q,FL704190005.Q,FL704110005.Q,FL703127005.Q,FL703131005.Q,FL703135005.Q,FL702150005.Q,FL704122005.Q,FL703169175.Q,FL763163005.Q,FL703169005.Q,FL763178003.Q,FL753192003.Q,FL703190005.Q,FL763194735.Q,FL753194503.Q,FL703193005.Q,FL763066303.Q
1945:Q4,168331.00,1869.00,15915.00,3.00,113361.00,223.00,104606.00,886.00,4090.00,3556.00,31689.00,14552.00,154.00,14466.00,2517.00,167.00,0.00,0.00,23.00,5304.00,158480.00,723.00,102573.00,50276.00,3225.00,18.00,156.00,156.00,0.00,205.00,338.00,176.00,790.00,0.00,0.00,790.00,0.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,161786.00,2046.00,16139.00,7.00,98934.00,329.00,89339.00,1046.00,4489.00,3731.00,41385.00,17998.00,227.00,18867.00,4293.00,181.00,0.00,0.00,26.00,3068.00,150865.00,-140.00,88733.00,56625.00,3411.00,23.00,229.00,229.00,0.00,301.00,354.00,178.00,1151.00,0.00,0.00,1151.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,168660.00,2216.00,17899.00,88.00,94498.00,398.00,83598.00,1067.00,5383.00,4052.00,51014.00,21519.00,261.00,23195.00,6039.00,147.00,0.00,0.00,29.00,2769.00,157035.00,51.00,90925.00,60038.00,3593.00,25.00,264.00,264.00,0.00,432.00,244.00,181.00,1282.00,0.00,0.00,1282.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
